hash,time
350|401|1,11
350|58|2,11
350|265|2,11
350|169|8,11
350|132|14,11
350|100|21,11
350|68|28,11
350|201|40,11
401|58|1,12
401|265|1,12
401|169|7,12
401|132|13,12
401|100|20,12
401|68|27,12
401|201|39,12
401|8|42,12
58|265|0,13
58|169|6,13
58|132|12,13
58|100|19,13
58|68|26,13
58|201|38,13
58|8|41,13
58|300|44,13
265|169|6,13
265|132|12,13
265|100|19,13
265|68|26,13
265|201|38,13
265|8|41,13
265|300|44,13
265|252|59,13
169|132|6,19
169|100|13,19
169|68|20,19
169|201|32,19
169|8|35,19
169|300|38,19
169|252|53,19
169|168|66,19
132|100|7,25
132|68|14,25
132|201|26,25
132|8|29,25
132|300|32,25
132|252|47,25
132|168|60,25
132|100|69,25
100|68|7,32
100|201|19,32
100|8|22,32
100|300|25,32
100|252|40,32
100|168|53,32
100|100|62,32
100|214|65,32
68|201|12,39
68|8|15,39
68|300|18,39
68|252|33,39
68|168|46,39
68|100|55,39
68|214|58,39
68|125|82,39
201|8|3,51
201|300|6,51
201|252|21,51
201|168|34,51
201|100|43,51
201|214|46,51
201|125|70,51
201|261|71,51
8|300|3,54
8|252|18,54
8|168|31,54
8|100|40,54
8|214|43,54
8|125|67,54
8|261|68,54
8|8|71,54
300|252|15,57
300|168|28,57
300|100|37,57
300|214|40,57
300|125|64,57
300|261|65,57
300|8|68,57
300|300|70,57
252|168|13,72
252|100|22,72
252|214|25,72
252|125|49,72
252|261|50,72
252|8|53,72
252|300|55,72
252|103|69,72
168|100|9,85
168|214|12,85
168|125|36,85
168|261|37,85
168|8|40,85
168|300|42,85
168|103|56,85
168|169|57,85
100|214|3,94
100|125|27,94
100|261|28,94
100|8|31,94
100|300|33,94
100|103|47,94
100|169|48,94
100|134|55,94
214|125|24,97
214|261|25,97
214|8|28,97
214|300|30,97
214|103|44,97
214|169|45,97
214|134|52,97
214|200|61,97
125|261|1,121
125|8|4,121
125|300|6,121
125|103|20,121
125|169|21,121
125|134|28,121
125|200|37,121
125|153|57,121
261|8|3,122
261|300|5,122
261|103|19,122
261|169|20,122
261|134|27,122
261|200|36,122
261|153|56,122
261|61|68,122
8|300|2,125
8|103|16,125
8|169|17,125
8|134|24,125
8|200|33,125
8|153|53,125
8|61|65,125
8|403|68,125
300|103|14,127
300|169|15,127
300|134|22,127
300|200|31,127
300|153|51,127
300|61|63,127
300|403|66,127
300|16|70,127
103|169|1,141
103|134|8,141
103|200|17,141
103|153|37,141
103|61|49,141
103|403|52,141
103|16|56,141
103|169|73,141
169|134|7,142
169|200|16,142
169|153|36,142
169|61|48,142
169|403|51,142
169|16|55,142
169|169|72,142
169|31|73,142
134|200|9,149
134|153|29,149
134|61|41,149
134|403|44,149
134|16|48,149
134|169|65,149
134|31|66,149
134|8|84,149
200|153|20,158
200|61|32,158
200|403|35,158
200|16|39,158
200|169|56,158
200|31|57,158
200|8|75,158
200|63|75,158
153|61|12,178
153|403|15,178
153|16|19,178
153|169|36,178
153|31|37,178
153|8|55,178
153|63|55,178
153|136|62,178
61|403|3,190
61|16|7,190
61|169|24,190
61|31|25,190
61|8|43,190
61|63|43,190
61|136|50,190
61|63|81,190
403|16|4,193
403|169|21,193
403|31|22,193
403|8|40,193
403|63|40,193
403|136|47,193
403|63|78,193
403|8|82,193
16|169|17,197
16|31|18,197
16|8|36,197
16|63|36,197
16|136|43,197
16|63|74,197
16|8|78,197
16|137|108,197
169|31|1,214
169|8|19,214
169|63|19,214
169|136|26,214
169|63|57,214
169|8|61,214
169|137|91,214
169|212|91,214
31|8|18,215
31|63|18,215
31|136|25,215
31|63|56,215
31|8|60,215
31|137|90,215
31|212|90,215
31|377|91,215
