hash,time
479|694|0,7
479|735|0,7
479|272|1,7
479|595|1,7
479|646|1,7
479|824|1,7
479|857|1,7
479|922|1,7
694|735|0,7
694|272|1,7
694|595|1,7
694|646|1,7
694|824|1,7
694|857|1,7
694|922|1,7
694|974|1,7
735|272|1,7
735|595|1,7
735|646|1,7
735|824|1,7
735|857|1,7
735|922|1,7
735|974|1,7
735|1014|1,7
272|595|0,8
272|646|0,8
272|824|0,8
272|857|0,8
272|922|0,8
272|974|0,8
272|1014|0,8
272|1078|0,8
595|646|0,8
595|824|0,8
595|857|0,8
595|922|0,8
595|974|0,8
595|1014|0,8
595|1078|0,8
595|343|1,8
646|824|0,8
646|857|0,8
646|922|0,8
646|974|0,8
646|1014|0,8
646|1078|0,8
646|343|1,8
646|1114|1,8
824|857|0,8
824|922|0,8
824|974|0,8
824|1014|0,8
824|1078|0,8
824|343|1,8
824|1114|1,8
824|1222|1,8
857|922|0,8
857|974|0,8
857|1014|0,8
857|1078|0,8
857|343|1,8
857|1114|1,8
857|1222|1,8
857|377|2,8
922|974|0,8
922|1014|0,8
922|1078|0,8
922|343|1,8
922|1114|1,8
922|1222|1,8
922|377|2,8
922|1163|3,8
974|1014|0,8
974|1078|0,8
974|343|1,8
974|1114|1,8
974|1222|1,8
974|377|2,8
974|1163|3,8
974|7|4,8
1014|1078|0,8
1014|343|1,8
1014|1114|1,8
1014|1222|1,8
1014|377|2,8
1014|1163|3,8
1014|7|4,8
1014|101|4,8
1078|343|1,8
1078|1114|1,8
1078|1222|1,8
1078|377|2,8
1078|1163|3,8
1078|7|4,8
1078|101|4,8
1078|67|8,8
343|1114|0,9
343|1222|0,9
343|377|1,9
343|1163|2,9
343|7|3,9
343|101|3,9
343|67|7,9
343|168|13,9
1114|1222|0,9
1114|377|1,9
1114|1163|2,9
1114|7|3,9
1114|101|3,9
1114|67|7,9
1114|168|13,9
1114|127|15,9
1222|377|1,9
1222|1163|2,9
1222|7|3,9
1222|101|3,9
1222|67|7,9
1222|168|13,9
