hash,time
330|18|1,40
330|210|2,40
330|90|5,40
330|422|6,40
330|301|20,40
330|155|36,40
330|12|44,40
330|102|77,40
18|210|1,41
18|90|4,41
18|422|5,41
18|301|19,41
18|155|35,41
18|12|43,41
18|102|76,41
18|163|76,41
210|90|3,42
210|422|4,42
210|301|18,42
210|155|34,42
210|12|42,42
210|102|75,42
210|163|75,42
210|36|76,42
90|422|1,45
90|301|15,45
90|155|31,45
90|12|39,45
90|102|72,45
90|163|72,45
90|36|73,45
90|462|78,45
422|301|14,46
422|155|30,46
422|12|38,46
422|102|71,46
422|163|71,46
422|36|72,46
422|462|77,46
422|285|81,46
301|155|16,60
301|12|24,60
301|102|57,60
301|163|57,60
301|36|58,60
301|462|63,60
301|285|67,60
301|381|69,60
155|12|8,76
155|102|41,76
155|163|41,76
155|36|42,76
155|462|47,76
155|285|51,76
155|381|53,76
155|526|53,76
12|102|33,84
12|163|33,84
12|36|34,84
12|462|39,84
12|285|43,84
12|381|45,84
12|526|45,84
12|143|46,84
102|163|0,117
102|36|1,117
102|462|6,117
102|285|10,117
102|381|12,117
102|526|12,117
102|143|13,117
102|238|14,117
163|36|1,117
163|462|6,117
163|285|10,117
163|381|12,117
163|526|12,117
163|143|13,117
163|238|14,117
163|179|15,117
36|462|5,118
36|285|9,118
36|381|11,118
36|526|11,118
36|143|12,118
36|238|13,118
36|179|14,118
36|333|14,118
462|285|4,123
462|381|6,123
462|526|6,123
462|143|7,123
462|238|8,123
462|179|9,123
462|333|9,123
462|428|10,123
285|381|2,127
285|526|2,127
285|143|3,127
285|238|4,127
285|179|5,127
285|333|5,127
285|428|6,127
285|95|29,127
381|526|0,129
381|143|1,129
381|238|2,129
381|179|3,129
381|333|3,129
381|428|4,129
381|95|27,129
381|168|27,129
526|143|1,129
526|238|2,129
526|179|3,129
526|333|3,129
526|428|4,129
526|95|27,129
526|168|27,129
526|36|32,129
143|238|1,130
143|179|2,130
143|333|2,130
143|428|3,130
143|95|26,130
143|168|26,130
143|36|31,130
143|197|40,130
238|179|1,131
238|333|1,131
238|428|2,131
238|95|25,131
238|168|25,131
238|36|30,131
238|197|39,131
238|324|61,131
179|333|0,132
179|428|1,132
179|95|24,132
179|168|24,132
179|36|29,132
179|197|38,132
179|324|60,132
179|380|60,132
333|428|1,132
333|95|24,132
333|168|24,132
333|36|29,132
333|197|38,132
333|324|60,132
333|380|60,132
333|269|61,132
428|95|23,133
428|168|23,133
428|36|28,133
428|197|37,133
428|324|59,133
428|380|59,133
428|269|60,133
428|542|60,133
95|168|0,156
95|36|5,156
95|197|14,156
95|324|36,156
95|380|36,156
95|269|37,156
95|542|37,156
95|771|37,156
168|36|5,156
168|197|14,156
168|324|36,156
168|380|36,156
168|269|37,156
168|542|37,156
168|771|37,156
168|450|38,156
36|197|9,161
36|324|31,161
36|380|31,161
36|269|32,161
36|542|32,161
36|771|32,161
36|450|33,161
36|587|33,161
197|324|22,170
197|380|22,170
197|269|23,170
197|542|23,170
197|771|23,170
197|450|24,170
197|587|24,170
197|633|24,170
324|380|0,192
324|269|1,192
324|542|1,192
324|771|1,192
324|450|2,192
324|587|2,192
324|633|2,192
324|679|2,192
380|269|1,192
380|542|1,192
380|771|1,192
380|450|2,192
380|587|2,192
380|633|2,192
380|679|2,192
380|90|3,192
269|542|0,193
269|771|0,193
269|450|1,193
269|587|1,193
269|633|1,193
269|679|1,193
269|90|2,193
269|215|4,193
542|771|0,193
542|450|1,193
542|587|1,193
542|633|1,193
542|679|1,193
542|90|2,193
542|215|4,193
542|161|7,193
771|450|1,193
771|587|1,193
771|633|1,193
771|679|1,193
771|90|2,193
771|215|4,193
771|161|7,193
771|16|36,193
450|587|0,194
450|633|0,194
450|679|0,194
450|90|1,194
450|215|3,194
450|161|6,194
450|16|35,194
450|192|35,194
587|633|0,194
587|679|0,194
587|90|1,194
587|215|3,194
587|161|6,194
587|16|35,194
587|192|35,194
587|321|35,194
633|679|0,194
633|90|1,194
633|215|3,194
633|161|6,194
633|16|35,194
633|192|35,194
633|321|35,194
633|95|36,194
679|90|1,194
679|215|3,194
679|161|6,194
679|16|35,194
679|192|35,194
679|321|35,194
679|95|36,194
679|281|36,194
90|215|2,195
90|161|5,195
90|16|34,195
90|192|34,195
90|321|34,195
90|95|35,195
90|281|35,195
90|240|36,195
215|161|3,197
215|16|32,197
215|192|32,197
215|321|32,197
215|95|33,197
215|281|33,197
215|240|34,197
215|490|35,197
161|16|29,200
161|192|29,200
161|321|29,200
161|95|30,200
161|281|30,200
161|240|31,200
161|490|32,200
161|648|67,200
16|192|0,229
16|321|0,229
16|95|1,229
16|281|1,229
16|240|2,229
16|490|3,229
16|648|38,229
16|71|39,229
192|321|0,229
192|95|1,229
192|281|1,229
192|240|2,229
192|490|3,229
192|648|38,229
192|71|39,229
192|287|39,229
321|95|1,229
321|281|1,229
321|240|2,229
321|490|3,229
321|648|38,229
321|71|39,229
321|287|39,229
321|458|39,229
95|281|0,230
95|240|1,230
95|490|2,230
95|648|37,230
95|71|38,230
95|287|38,230
95|458|38,230
95|364|39,230
281|240|1,230
281|490|2,230
281|648|37,230
281|71|38,230
281|287|38,230
281|458|38,230
281|364|39,230
281|576|39,230
240|490|1,231
240|648|36,231
240|71|37,231
240|287|37,231
240|458|37,231
240|364|38,231
240|576|38,231
240|203|39,231
490|648|35,232
490|71|36,232
490|287|36,232
490|458|36,232
490|364|37,232
490|576|37,232
490|203|38,232
490|36|45,232
648|71|1,267
648|287|1,267
648|458|1,267
648|364|2,267
648|576|2,267
648|203|3,267
648|36|10,267
648|120|38,267
71|287|0,268
71|458|0,268
71|364|1,268
71|576|1,268
71|203|2,268
71|36|9,268
71|120|37,268
71|241|38,268
287|458|0,268
287|364|1,268
287|576|1,268
287|203|2,268
287|36|9,268
287|120|37,268
287|241|38,268
287|272|38,268
458|364|1,268
458|576|1,268
458|203|2,268
458|36|9,268
458|120|37,268
458|241|38,268
458|272|38,268
458|452|38,268
364|576|0,269
364|203|1,269
364|36|8,269
364|120|36,269
364|241|37,269
364|272|37,269
364|452|37,269
364|60|38,269
576|203|1,269
576|36|8,269
576|120|36,269
576|241|37,269
576|272|37,269
576|452|37,269
576|60|38,269
576|647|39,269
203|36|7,270
203|120|35,270
203|241|36,270
203|272|36,270
203|452|36,270
203|60|37,270
203|647|38,270
203|393|40,270
36|120|28,277
36|241|29,277
36|272|29,277
36|452|29,277
36|60|30,277
36|647|31,277
36|393|33,277
36|302|36,277
120|241|1,305
120|272|1,305
120|452|1,305
120|60|2,305
120|647|3,305
120|393|5,305
120|302|8,305
120|13|37,305
241|272|0,306
241|452|0,306
241|60|1,306
241|647|2,306
241|393|4,306
241|302|7,306
241|13|36,306
241|272|42,306
272|452|0,306
272|60|1,306
272|647|2,306
272|393|4,306
272|302|7,306
272|13|36,306
272|272|42,306
272|215|43,306
452|60|1,306
452|647|2,306
452|393|4,306
452|302|7,306
452|13|36,306
452|272|42,306
452|215|43,306
452|318|43,306
60|647|1,307
60|393|3,307
60|302|6,307
60|13|35,307
60|272|41,307
60|215|42,307
60|318|42,307
60|136|47,307
647|393|2,308
647|302|5,308
647|13|34,308
647|272|40,308
647|215|41,308
647|318|41,308
647|136|46,308
647|202|75,308
393|302|3,310
393|13|32,310
393|272|38,310
393|215|39,310
393|318|39,310
393|136|44,310
393|202|73,310
393|16|74,310
302|13|29,313
302|272|35,313
302|215|36,313
302|318|36,313
302|136|41,313
302|202|70,313
302|16|71,313
302|263|72,313
13|272|6,342
13|215|7,342
13|318|7,342
13|136|12,342
13|202|41,342
13|16|42,342
13|263|43,342
13|158|49,342
272|215|1,348
272|318|1,348
272|136|6,348
272|202|35,348
272|16|36,348
272|263|37,348
272|158|43,348
272|7|71,348
215|318|0,349
215|136|5,349
215|202|34,349
215|16|35,349
215|263|36,349
215|158|42,349
215|7|70,349
215|360|71,349
318|136|5,349
318|202|34,349
318|16|35,349
318|263|36,349
318|158|42,349
318|7|70,349
318|360|71,349
318|399|71,349
136|202|29,354
136|16|30,354
136|263|31,354
136|158|37,354
136|7|65,354
136|360|66,354
136|399|66,354
136|252|67,354
202|16|1,383
202|263|2,383
202|158|8,383
202|7|36,383
202|360|37,383
202|399|37,383
202|252|38,383
202|161|40,383
16|263|1,384
16|158|7,384
16|7|35,384
16|360|36,384
16|399|36,384
16|252|37,384
16|161|39,384
16|680|40,384
263|158|6,385
263|7|34,385
263|360|35,385
263|399|35,385
263|252|36,385
263|161|38,385
263|680|39,385
263|125|45,385
158|7|28,391
158|360|29,391
158|399|29,391
158|252|30,391
158|161|32,391
158|680|33,391
158|125|39,391
158|90|42,391
7|360|1,419
7|399|1,419
7|252|2,419
7|161|4,419
7|680|5,419
7|125|11,419
7|90|14,419
7|262|38,419
360|399|0,420
360|252|1,420
360|161|3,420
360|680|4,420
360|125|10,420
360|90|13,420
360|262|37,420
360|201|46,420
399|252|1,420
399|161|3,420
399|680|4,420
399|125|10,420
399|90|13,420
399|262|37,420
399|201|46,420
399|60|48,420
252|161|2,421
252|680|3,421
252|125|9,421
252|90|12,421
252|262|36,421
252|201|45,421
252|60|47,421
252|162|73,421
161|680|1,423
161|125|7,423
161|90|10,423
161|262|34,423
161|201|43,423
161|60|45,423
161|162|71,423
161|270|71,423
680|125|6,424
680|90|9,424
680|262|33,424
680|201|42,424
680|60|44,424
680|162|70,424
680|270|70,424
680|15|71,424
125|90|3,430
125|262|27,430
125|201|36,430
125|60|38,430
125|162|64,430
125|270|64,430
125|15|65,430
125|319|65,430
90|262|24,433
90|201|33,433
90|60|35,433
90|162|61,433
90|270|61,433
90|15|62,433
90|319|62,433
90|113|65,433
262|201|9,457
262|60|11,457
262|162|37,457
262|270|37,457
262|15|38,457
262|319|38,457
262|113|41,457
262|365|41,457
201|60|2,466
201|162|28,466
201|270|28,466
201|15|29,466
201|319|29,466
201|113|32,466
201|365|32,466
201|227|33,466
60|162|26,468
60|270|26,468
60|15|27,468
60|319|27,468
60|113|30,468
60|365|30,468
60|227|31,468
60|90|44,468
162|270|0,494
162|15|1,494
162|319|1,494
162|113|4,494
162|365|4,494
162|227|5,494
162|90|18,494
162|366|39,494
270|15|1,494
270|319|1,494
270|113|4,494
270|365|4,494
270|227|5,494
270|90|18,494
270|366|39,494
270|682|39,494
15|319|0,495
15|113|3,495
15|365|3,495
15|227|4,495
15|90|17,495
15|366|38,495
15|682|38,495
15|532|40,495
319|113|3,495
319|365|3,495
319|227|4,495
319|90|17,495
319|366|38,495
319|682|38,495
319|532|40,495
319|159|42,495
113|365|0,498
113|227|1,498
113|90|14,498
113|366|35,498
113|682|35,498
113|532|37,498
113|159|39,498
113|227|41,498
365|227|1,498
365|90|14,498
365|366|35,498
365|682|35,498
365|532|37,498
365|159|39,498
365|227|41,498
365|60|42,498
227|90|13,499
227|366|34,499
227|682|34,499
227|532|36,499
227|159|38,499
227|227|40,499
227|60|41,499
227|484|43,499
90|366|21,512
90|682|21,512
90|532|23,512
90|159|25,512
90|227|27,512
90|60|28,512
90|484|30,512
90|16|57,512
366|682|0,533
366|532|2,533
366|159|4,533
366|227|6,533
366|60|7,533
366|484|9,533
366|16|36,533
366|216|36,533
682|532|2,533
682|159|4,533
682|227|6,533
682|60|7,533
682|484|9,533
682|16|36,533
682|216|36,533
682|320|38,533
532|159|2,535
532|227|4,535
532|60|5,535
532|484|7,535
532|16|34,535
532|216|34,535
532|320|36,535
532|366|36,535
159|227|2,537
159|60|3,537
159|484|5,537
159|16|32,537
159|216|32,537
159|320|34,537
159|366|34,537
159|250|36,537
227|60|1,539
227|484|3,539
227|16|30,539
227|216|30,539
227|320|32,539
227|366|32,539
227|250|34,539
227|136|35,539
60|484|2,540
60|16|29,540
60|216|29,540
60|320|31,540
60|366|31,540
60|250|33,540
60|136|34,540
60|75|39,540
484|16|27,542
484|216|27,542
484|320|29,542
484|366|29,542
484|250|31,542
484|136|32,542
484|75|37,542
484|158|68,542
16|216|0,569
16|320|2,569
16|366|2,569
16|250|4,569
16|136|5,569
16|75|10,569
16|158|41,569
16|197|41,569
216|320|2,569
216|366|2,569
216|250|4,569
216|136|5,569
216|75|10,569
216|158|41,569
216|197|41,569
216|263|41,569
320|366|0,571
320|250|2,571
320|136|3,571
320|75|8,571
320|158|39,571
320|197|39,571
320|263|39,571
320|15|40,571
366|250|2,571
366|136|3,571
366|75|8,571
366|158|39,571
366|197|39,571
366|263|39,571
366|15|40,571
366|509|73,571
250|136|1,573
250|75|6,573
250|158|37,573
250|197|37,573
250|263|37,573
250|15|38,573
250|509|71,573
250|261|72,573
136|75|5,574
136|158|36,574
136|197|36,574
136|263|36,574
136|15|37,574
136|509|70,574
136|261|71,574
136|14|72,574
75|158|31,579
75|197|31,579
75|263|31,579
75|15|32,579
75|509|65,579
75|261|66,579
75|14|67,579
75|320|68,579
158|197|0,610
158|263|0,610
158|15|1,610
158|509|34,610
158|261|35,610
158|14|36,610
158|320|37,610
158|362|38,610
197|263|0,610
197|15|1,610
197|509|34,610
197|261|35,610
197|14|36,610
197|320|37,610
197|362|38,610
197|158|39,610
263|15|1,610
263|509|34,610
263|261|35,610
263|14|36,610
263|320|37,610
263|362|38,610
263|158|39,610
263|400|39,610
15|509|33,611
15|261|34,611
15|14|35,611
15|320|36,611
15|362|37,611
15|158|38,611
15|400|38,611
15|67|43,611
509|261|1,644
509|14|2,644
509|320|3,644
509|362|4,644
509|158|5,644
509|400|5,644
509|67|10,644
509|263|42,644
261|14|1,645
261|320|2,645
261|362|3,645
261|158|4,645
261|400|4,645
261|67|9,645
261|263|41,645
261|40|47,645
14|320|1,646
14|362|2,646
14|158|3,646
14|400|3,646
14|67|8,646
14|263|40,646
14|40|46,646
14|121|46,646
320|362|1,647
320|158|2,647
320|400|2,647
320|67|7,647
320|263|39,647
320|40|45,647
320|121|45,647
320|162|78,647
362|158|1,648
362|400|1,648
362|67|6,648
362|263|38,648
362|40|44,648
362|121|44,648
362|162|77,648
362|250|79,648
158|400|0,649
158|67|5,649
158|263|37,649
158|40|43,649
158|121|43,649
158|162|76,649
158|250|78,649
158|216|79,649
400|67|5,649
400|263|37,649
400|40|43,649
400|121|43,649
400|162|76,649
400|250|78,649
400|216|79,649
400|484|79,649
67|263|32,654
67|40|38,654
67|121|38,654
67|162|71,654
67|250|73,654
67|216|74,654
67|484|74,654
67|9|77,654
263|40|6,686
263|121|6,686
263|162|39,686
263|250|41,686
263|216|42,686
263|484|42,686
263|9|45,686
263|90|50,686
40|121|0,692
40|162|33,692
40|250|35,692
40|216|36,692
40|484|36,692
40|9|39,692
40|90|44,692
40|319|72,692
121|162|33,692
121|250|35,692
121|216|36,692
121|484|36,692
121|9|39,692
121|90|44,692
121|319|72,692
121|181|73,692
162|250|2,725
162|216|3,725
162|484|3,725
162|9|6,725
162|90|11,725
162|319|39,725
162|181|40,725
162|249|40,725
250|216|1,727
250|484|1,727
250|9|4,727
250|90|9,727
250|319|37,727
250|181|38,727
250|249|38,727
250|221|41,727
216|484|0,728
216|9|3,728
216|90|8,728
216|319|36,728
216|181|37,728
216|249|37,728
216|221|40,728
216|272|70,728
484|9|3,728
484|90|8,728
484|319|36,728
484|181|37,728
484|249|37,728
484|221|40,728
484|272|70,728
484|307|70,728
9|90|5,731
9|319|33,731
9|181|34,731
9|249|34,731
9|221|37,731
9|272|67,731
9|307|67,731
9|534|67,731
90|319|28,736
90|181|29,736
90|249|29,736
90|221|32,736
90|272|62,736
90|307|62,736
90|534|62,736
90|203|63,736
319|181|1,764
319|249|1,764
319|221|4,764
319|272|34,764
319|307|34,764
319|534|34,764
319|203|35,764
319|389|35,764
