hash,time
402|354|4,430
402|163|20,430
402|390|27,430
402|57|31,430
402|345|50,430
402|339|80,430
402|57|105,430
402|342|115,430
354|163|16,434
354|390|23,434
354|57|27,434
354|345|46,434
354|339|76,434
354|57|101,434
354|342|111,434
354|376|141,434
163|390|7,450
163|57|11,450
163|345|30,450
163|339|60,450
163|57|85,450
163|342|95,450
163|376|125,450
163|326|131,450
390|57|4,457
390|345|23,457
390|339|53,457
390|57|78,457
390|342|88,457
390|376|118,457
390|326|124,457
390|332|163,457
57|345|19,461
57|339|49,461
57|57|74,461
57|342|84,461
57|376|114,461
57|326|120,461
57|332|159,461
57|20|161,461
345|339|30,480
345|57|55,480
345|342|65,480
345|376|95,480
345|326|101,480
345|332|140,480
345|20|142,480
345|215|167,480
339|57|25,510
339|342|35,510
339|376|65,510
339|326|71,510
339|332|110,510
339|20|112,510
339|215|137,510
339|10|145,510
57|342|10,535
57|376|40,535
57|326|46,535
57|332|85,535
57|20|87,535
57|215|112,535
57|10|120,535
57|362|123,535
342|376|30,545
342|326|36,545
342|332|75,545
342|20|77,545
342|215|102,545
342|10|110,545
342|362|113,545
342|240|115,545
376|326|6,575
376|332|45,575
376|20|47,575
376|215|72,575
376|10|80,575
376|362|83,575
376|240|85,575
376|269|89,575
326|332|39,581
326|20|41,581
326|215|66,581
326|10|74,581
326|362|77,581
326|240|79,581
326|269|83,581
326|53|91,581
332|20|2,620
332|215|27,620
332|10|35,620
332|362|38,620
332|240|40,620
332|269|44,620
332|53|52,620
332|160|61,620
20|215|25,622
20|10|33,622
20|362|36,622
20|240|38,622
20|269|42,622
20|53|50,622
20|160|59,622
20|325|59,622
215|10|8,647
215|362|11,647
215|240|13,647
215|269|17,647
215|53|25,647
215|160|34,647
215|325|34,647
215|731|37,647
10|362|3,655
10|240|5,655
10|269|9,655
10|53|17,655
10|160|26,655
10|325|26,655
10|731|29,655
10|95|34,655
362|240|2,658
362|269|6,658
362|53|14,658
362|160|23,658
362|325|23,658
362|731|26,658
362|95|31,658
362|47|43,658
240|269|4,660
240|53|12,660
240|160|21,660
240|325|21,660
240|731|24,660
240|95|29,660
240|47|41,660
240|702|59,660
269|53|8,664
269|160|17,664
269|325|17,664
269|731|20,664
269|95|25,664
269|47|37,664
269|702|55,664
269|90|65,664
53|160|9,672
53|325|9,672
53|731|12,672
53|95|17,672
53|47|29,672
53|702|47,672
53|90|57,672
53|158|59,672
160|325|0,681
160|731|3,681
160|95|8,681
160|47|20,681
160|702|38,681
160|90|48,681
160|158|50,681
160|291|54,681
325|731|3,681
325|95|8,681
325|47|20,681
325|702|38,681
325|90|48,681
325|158|50,681
325|291|54,681
325|323|56,681
731|95|5,684
731|47|17,684
731|702|35,684
731|90|45,684
731|158|47,684
731|291|51,684
731|323|53,684
731|134|57,684
95|47|12,689
95|702|30,689
95|90|40,689
95|158|42,689
95|291|46,689
95|323|48,689
95|134|52,689
95|200|53,689
47|702|18,701
47|90|28,701
47|158|30,701
47|291|34,701
47|323|36,701
47|134|40,701
47|200|41,701
47|722|59,701
702|90|10,719
702|158|12,719
702|291|16,719
702|323|18,719
702|134|22,719
702|200|23,719
702|722|41,719
702|353|47,719
90|158|2,729
90|291|6,729
90|323|8,729
90|134|12,729
