hash,time
168|307|1,13
168|330|1,13
168|353|1,13
168|390|1,13
168|445|1,13
168|535|1,13
168|572|1,13
168|691|1,13
307|330|0,14
307|353|0,14
307|390|0,14
307|445|0,14
307|535|0,14
307|572|0,14
307|691|0,14
307|796|0,14
330|353|0,14
330|390|0,14
330|445|0,14
330|535|0,14
330|572|0,14
330|691|0,14
330|796|0,14
330|954|0,14
353|390|0,14
353|445|0,14
353|535|0,14
353|572|0,14
353|691|0,14
353|796|0,14
353|954|0,14
353|1097|0,14
390|445|0,14
390|535|0,14
390|572|0,14
390|691|0,14
390|796|0,14
390|954|0,14
390|1097|0,14
390|264|1,14
445|535|0,14
445|572|0,14
445|691|0,14
445|796|0,14
445|954|0,14
445|1097|0,14
445|264|1,14
445|285|1,14
535|572|0,14
535|691|0,14
535|796|0,14
535|954|0,14
535|1097|0,14
535|264|1,14
535|285|1,14
535|419|1,14
572|691|0,14
572|796|0,14
572|954|0,14
572|1097|0,14
572|264|1,14
572|285|1,14
572|419|1,14
572|595|1,14
691|796|0,14
691|954|0,14
691|1097|0,14
691|264|1,14
691|285|1,14
691|419|1,14
691|595|1,14
691|661|1,14
796|954|0,14
796|1097|0,14
796|264|1,14
796|285|1,14
796|419|1,14
796|595|1,14
796|661|1,14
796|750|1,14
954|1097|0,14
954|264|1,14
954|285|1,14
954|419|1,14
954|595|1,14
954|661|1,14
954|750|1,14
954|1003|1,14
1097|264|1,14
1097|285|1,14
1097|419|1,14
1097|595|1,14
1097|661|1,14
1097|750|1,14
1097|1003|1,14
1097|1050|1,14
264|285|0,15
264|419|0,15
264|595|0,15
264|661|0,15
264|750|0,15
264|1003|0,15
264|1050|0,15
264|63|2,15
285|419|0,15
285|595|0,15
285|661|0,15
285|750|0,15
285|1003|0,15
285|1050|0,15
285|63|2,15
285|111|2,15
419|595|0,15
419|661|0,15
419|750|0,15
419|1003|0,15
419|1050|0,15
419|63|2,15
419|111|2,15
419|708|4,15
595|661|0,15
595|750|0,15
595|1003|0,15
595|1050|0,15
595|63|2,15
595|111|2,15
595|708|4,15
595|730|4,15
661|750|0,15
661|1003|0,15
661|1050|0,15
661|63|2,15
661|111|2,15
661|708|4,15
661|730|4,15
661|889|4,15
750|1003|0,15
750|1050|0,15
750|63|2,15
750|111|2,15
750|708|4,15
750|730|4,15
750|889|4,15
750|775|5,15
1003|1050|0,15
1003|63|2,15
1003|111|2,15
1003|708|4,15
1003|730|4,15
1003|889|4,15
1003|775|5,15
1003|912|5,15
1050|63|2,15
1050|111|2,15
1050|708|4,15
1050|730|4,15
1050|889|4,15
1050|775|5,15
1050|912|5,15
1050|1030|5,15
63|111|0,17
63|708|2,17
63|730|2,17
63|889|2,17
63|775|3,17
63|912|3,17
63|1030|3,17
63|84|5,17
111|708|2,17
111|730|2,17
111|889|2,17
111|775|3,17
111|912|3,17
111|1030|3,17
111|84|5,17
111|8|6,17
708|730|0,19
708|889|0,19
708|775|1,19
708|912|1,19
708|1030|1,19
708|84|3,19
708|8|4,19
708|641|4,19
730|889|0,19
730|775|1,19
730|912|1,19
730|1030|1,19
730|84|3,19
730|8|4,19
730|641|4,19
730|42|16,19
889|775|1,19
889|912|1,19
889|1030|1,19
889|84|3,19
889|8|4,19
889|641|4,19
889|42|16,19
889|486|19,19
775|912|0,20
775|1030|0,20
775|84|2,20
775|8|3,20
775|641|3,20
775|42|15,20
775|486|18,20
775|315|26,20
912|1030|0,20
912|84|2,20
912|8|3,20
912|641|3,20
912|42|15,20
912|486|18,20
912|315|26,20
912|443|26,20
1030|84|2,20
1030|8|3,20
1030|641|3,20
1030|42|15,20
1030|486|18,20
1030|315|26,20
1030|443|26,20
1030|616|26,20
84|8|1,22
84|641|1,22
84|42|13,22
84|486|16,22
84|315|24,22
84|443|24,22
84|616|24,22
84|817|25,22
8|641|0,23
8|42|12,23
8|486|15,23
8|315|23,23
8|443|23,23
8|616|23,23
8|817|24,23
8|1002|24,23
641|42|12,23
641|486|15,23
641|315|23,23
641|443|23,23
641|616|23,23
641|817|24,23
641|1002|24,23
641|83|25,23
42|486|3,35
42|315|11,35
42|443|11,35
42|616|11,35
42|817|12,35
42|1002|12,35
42|83|13,35
42|682|13,35
486|315|8,38
486|443|8,38
486|616|8,38
486|817|9,38
486|1002|9,38
486|83|10,38
486|682|10,38
486|794|10,38
315|443|0,46
315|616|0,46
315|817|1,46
315|1002|1,46
315|83|2,46
315|682|2,46
315|794|2,46
315|421|3,46
443|616|0,46
443|817|1,46
443|1002|1,46
443|83|2,46
443|682|2,46
443|794|2,46
443|421|3,46
443|378|4,46
616|817|1,46
616|1002|1,46
616|83|2,46
616|682|2,46
616|794|2,46
616|421|3,46
616|378|4,46
616|660|5,46
817|1002|0,47
817|83|1,47
817|682|1,47
817|794|1,47
817|421|2,47
817|378|3,47
817|660|4,47
817|251|5,47
1002|83|1,47
1002|682|1,47
1002|794|1,47
1002|421|2,47
1002|378|3,47
1002|660|4,47
1002|251|5,47
1002|288|17,47
83|682|0,48
83|794|0,48
83|421|1,48
83|378|2,48
83|660|3,48
83|251|4,48
83|288|16,48
83|720|16,48
682|794|0,48
682|421|1,48
682|378|2,48
