hash,time
99|345|1,197
99|30|13,197
99|382|23,197
99|535|24,197
99|613|24,197
99|176|44,197
99|355|45,197
99|296|46,197
345|30|12,198
345|382|22,198
345|535|23,198
345|613|23,198
345|176|43,198
345|355|44,198
345|296|45,198
345|238|47,198
30|382|10,210
30|535|11,210
30|613|11,210
30|176|31,210
30|355|32,210
30|296|33,210
30|238|35,210
30|652|44,210
382|535|1,220
382|613|1,220
382|176|21,220
382|355|22,220
382|296|23,220
382|238|25,220
382|652|34,220
382|506|35,220
535|613|0,221
535|176|20,221
535|355|21,221
535|296|22,221
535|238|24,221
535|652|33,221
535|506|34,221
535|440|35,221
613|176|20,221
613|355|21,221
613|296|22,221
613|238|24,221
613|652|33,221
613|506|34,221
613|440|35,221
613|589|36,221
176|355|1,241
176|296|2,241
176|238|4,241
176|652|13,241
176|506|14,241
176|440|15,241
176|589|16,241
176|33|44,241
355|296|1,242
355|238|3,242
355|652|12,242
355|506|13,242
355|440|14,242
355|589|15,242
355|33|43,242
355|206|43,242
296|238|2,243
296|652|11,243
296|506|12,243
296|440|13,243
296|589|14,243
296|33|42,243
296|206|42,243
296|120|46,243
238|652|9,245
238|506|10,245
238|440|11,245
238|589|12,245
238|33|40,245
238|206|40,245
238|120|44,245
238|33|73,245
652|506|1,254
652|440|2,254
652|589|3,254
652|33|31,254
652|206|31,254
652|120|35,254
652|33|64,254
652|175|68,254
506|440|1,255
506|589|2,255
506|33|30,255
506|206|30,255
506|120|34,255
506|33|63,255
506|175|67,255
506|354|68,255
440|589|1,256
440|33|29,256
440|206|29,256
440|120|33,256
440|33|62,256
440|175|66,256
440|354|67,256
440|234|89,256
589|33|28,257
589|206|28,257
589|120|32,257
589|33|61,257
589|175|65,257
589|354|66,257
589|234|88,257
589|133|103,257
33|206|0,285
33|120|4,285
33|33|33,285
33|175|37,285
33|354|38,285
33|234|60,285
33|133|75,285
33|33|86,285
206|120|4,285
206|33|33,285
206|175|37,285
206|354|38,285
206|234|60,285
206|133|75,285
206|33|86,285
206|397|93,285
120|33|29,289
120|175|33,289
120|354|34,289
120|234|56,289
120|133|71,289
120|33|82,289
120|397|89,289
120|356|93,289
33|175|4,318
33|354|5,318
33|234|27,318
33|133|42,318
33|33|53,318
33|397|60,318
33|356|64,318
33|66|77,318
175|354|1,322
175|234|23,322
175|133|38,322
175|33|49,322
175|397|56,322
175|356|60,322
175|66|73,322
175|263|82,322
354|234|22,323
354|133|37,323
354|33|48,323
354|397|55,323
354|356|59,323
354|66|72,323
354|263|81,323
354|99|88,323
234|133|15,345
234|33|26,345
234|397|33,345
234|356|37,345
234|66|50,345
234|263|59,345
234|99|66,345
234|231|71,345
133|33|11,360
133|397|18,360
133|356|22,360
133|66|35,360
133|263|44,360
133|99|51,360
133|231|56,360
133|132|58,360
33|397|7,371
33|356|11,371
33|66|24,371
