hash,time
357|227|3,15
357|67|4,15
357|138|6,15
357|299|6,15
357|388|9,15
357|360|33,15
357|87|36,15
357|115|40,15
227|67|1,18
227|138|3,18
227|299|3,18
227|388|6,18
227|360|30,18
227|87|33,18
227|115|37,18
227|417|53,18
67|138|2,19
67|299|2,19
67|388|5,19
67|360|29,19
67|87|32,19
67|115|36,19
67|417|52,19
67|1294|52,19
138|299|0,21
138|388|3,21
138|360|27,21
138|87|30,21
138|115|34,21
138|417|50,21
138|1294|50,21
138|208|53,21
299|388|3,21
299|360|27,21
299|87|30,21
299|115|34,21
299|417|50,21
299|1294|50,21
299|208|53,21
299|587|55,21
388|360|24,24
388|87|27,24
388|115|31,24
388|417|47,24
388|1294|47,24
388|208|50,24
388|587|52,24
388|310|54,24
360|87|3,48
360|115|7,48
360|417|23,48
360|1294|23,48
360|208|26,48
360|587|28,48
360|310|30,48
360|242|31,48
87|115|4,51
87|417|20,51
87|1294|20,51
87|208|23,51
87|587|25,51
87|310|27,51
87|242|28,51
87|656|29,51
115|417|16,55
115|1294|16,55
115|208|19,55
115|587|21,55
115|310|23,55
115|242|24,55
115|656|25,55
115|172|27,55
417|1294|0,71
417|208|3,71
417|587|5,71
417|310|7,71
417|242|8,71
417|656|9,71
417|172|11,71
417|35|18,71
1294|208|3,71
1294|587|5,71
1294|310|7,71
1294|242|8,71
1294|656|9,71
1294|172|11,71
1294|35|18,71
1294|835|19,71
208|587|2,74
208|310|4,74
208|242|5,74
208|656|6,74
208|172|8,74
208|35|15,74
208|835|16,74
208|802|18,74
587|310|2,76
587|242|3,76
587|656|4,76
587|172|6,76
587|35|13,76
587|835|14,76
587|802|16,76
587|553|20,76
310|242|1,78
310|656|2,78
310|172|4,78
310|35|11,78
310|835|12,78
310|802|14,78
310|553|18,78
310|999|18,78
242|656|1,79
242|172|3,79
242|35|10,79
242|835|11,79
242|802|13,79
242|553|17,79
242|999|17,79
242|9|18,79
656|172|2,80
656|35|9,80
656|835|10,80
656|802|12,80
656|553|16,80
656|999|16,80
656|9|17,80
656|736|18,80
172|35|7,82
172|835|8,82
172|802|10,82
172|553|14,82
172|999|14,82
172|9|15,82
