hash,time
15|152|0,12
15|312|0,12
15|346|0,12
15|466|0,12
15|493|0,12
15|533|0,12
15|764|0,12
15|809|0,12
152|312|0,12
152|346|0,12
152|466|0,12
152|493|0,12
152|533|0,12
152|764|0,12
152|809|0,12
152|840|0,12
312|346|0,12
312|466|0,12
312|493|0,12
312|533|0,12
312|764|0,12
312|809|0,12
312|840|0,12
312|953|0,12
346|466|0,12
346|493|0,12
346|533|0,12
346|764|0,12
346|809|0,12
346|840|0,12
346|953|0,12
346|1017|0,12
466|493|0,12
466|533|0,12
466|764|0,12
466|809|0,12
466|840|0,12
466|953|0,12
466|1017|0,12
466|1068|0,12
493|533|0,12
493|764|0,12
493|809|0,12
493|840|0,12
493|953|0,12
493|1017|0,12
493|1068|0,12
493|1096|0,12
533|764|0,12
533|809|0,12
533|840|0,12
533|953|0,12
533|1017|0,12
533|1068|0,12
533|1096|0,12
533|1122|0,12
764|809|0,12
764|840|0,12
764|953|0,12
764|1017|0,12
764|1068|0,12
764|1096|0,12
764|1122|0,12
764|1162|0,12
809|840|0,12
809|953|0,12
809|1017|0,12
809|1068|0,12
809|1096|0,12
809|1122|0,12
809|1162|0,12
809|1263|0,12
840|953|0,12
840|1017|0,12
840|1068|0,12
840|1096|0,12
840|1122|0,12
840|1162|0,12
840|1263|0,12
840|1307|0,12
953|1017|0,12
953|1068|0,12
953|1096|0,12
953|1122|0,12
953|1162|0,12
953|1263|0,12
953|1307|0,12
953|584|1,12
1017|1068|0,12
1017|1096|0,12
1017|1122|0,12
1017|1162|0,12
1017|1263|0,12
1017|1307|0,12
1017|584|1,12
1017|633|1,12
1068|1096|0,12
1068|1122|0,12
1068|1162|0,12
1068|1263|0,12
1068|1307|0,12
1068|584|1,12
1068|633|1,12
1068|693|1,12
1096|1122|0,12
1096|1162|0,12
1096|1263|0,12
1096|1307|0,12
1096|584|1,12
1096|633|1,12
1096|693|1,12
1096|903|1,12
1122|1162|0,12
1122|1263|0,12
1122|1307|0,12
1122|584|1,12
1122|633|1,12
1122|693|1,12
1122|903|1,12
1122|1233|1,12
1162|1263|0,12
1162|1307|0,12
1162|584|1,12
1162|633|1,12
1162|693|1,12
1162|903|1,12
1162|1233|1,12
1162|114|2,12
1263|1307|0,12
1263|584|1,12
1263|633|1,12
1263|693|1,12
1263|903|1,12
1263|1233|1,12
1263|114|2,12
1263|669|2,12
1307|584|1,12
1307|633|1,12
1307|693|1,12
1307|903|1,12
1307|1233|1,12
1307|114|2,12
1307|669|2,12
1307|244|3,12
584|633|0,13
584|693|0,13
584|903|0,13
584|1233|0,13
584|114|1,13
584|669|1,13
584|244|2,13
584|267|2,13
633|693|0,13
633|903|0,13
633|1233|0,13
633|114|1,13
633|669|1,13
633|244|2,13
633|267|2,13
633|399|3,13
693|903|0,13
693|1233|0,13
693|114|1,13
693|669|1,13
693|244|2,13
693|267|2,13
693|399|3,13
693|189|4,13
903|1233|0,13
903|114|1,13
903|669|1,13
903|244|2,13
903|267|2,13
903|399|3,13
903|189|4,13
903|222|5,13
1233|114|1,13
1233|669|1,13
1233|244|2,13
1233|267|2,13
1233|399|3,13
1233|189|4,13
1233|222|5,13
1233|76|7,13
114|669|0,14
114|244|1,14
114|267|1,14
114|399|2,14
114|189|3,14
114|222|4,14
114|76|6,14
114|778|22,14
669|244|1,14
669|267|1,14
669|399|2,14
669|189|3,14
669|222|4,14
669|76|6,14
669|778|22,14
669|697|23,14
244|267|0,15
244|399|1,15
244|189|2,15
244|222|3,15
244|76|5,15
244|778|21,15
244|697|22,15
244|15|34,15
267|399|1,15
267|189|2,15
267|222|3,15
267|76|5,15
267|778|21,15
267|697|22,15
267|15|34,15
267|376|34,15
399|189|1,16
399|222|2,16
399|76|4,16
399|778|20,16
399|697|21,16
399|15|33,16
399|376|33,16
399|532|33,16
189|222|1,17
189|76|3,17
189|778|19,17
189|697|20,17
189|15|32,17
189|376|32,17
189|532|32,17
189|651|32,17
222|76|2,18
222|778|18,18
222|697|19,18
222|15|31,18
222|376|31,18
222|532|31,18
222|651|31,18
222|810|31,18
76|778|16,20
76|697|17,20
76|15|29,20
76|376|29,20
76|532|29,20
76|651|29,20
76|810|29,20
76|937|29,20
778|697|1,36
778|15|13,36
778|376|13,36
778|532|13,36
778|651|13,36
778|810|13,36
778|937|13,36
778|975|13,36
697|15|12,37
697|376|12,37
697|532|12,37
697|651|12,37
697|810|12,37
697|937|12,37
697|975|12,37
697|1006|12,37
15|376|0,49
15|532|0,49
