hash,time
268|155|2,9
268|86|3,9
268|28|47,9
268|76|60,9
268|293|65,9
268|147|82,9
268|199|85,9
268|276|104,9
155|86|1,11
155|28|45,11
155|76|58,11
155|293|63,11
155|147|80,11
155|199|83,11
155|276|102,11
155|96|103,11
86|28|44,12
86|76|57,12
86|293|62,12
86|147|79,12
86|199|82,12
86|276|101,12
86|96|102,12
86|198|118,12
28|76|13,56
28|293|18,56
28|147|35,56
28|199|38,56
28|276|57,56
28|96|58,56
28|198|74,56
28|71|78,56
76|293|5,69
76|147|22,69
76|199|25,69
76|276|44,69
76|96|45,69
76|198|61,69
76|71|65,69
76|305|85,69
293|147|17,74
293|199|20,74
293|276|39,74
293|96|40,74
293|198|56,74
293|71|60,74
293|305|80,74
293|242|81,74
147|199|3,91
147|276|22,91
147|96|23,91
147|198|39,91
147|71|43,91
147|305|63,91
147|242|64,91
147|369|64,91
199|276|19,94
199|96|20,94
199|198|36,94
199|71|40,94
199|305|60,94
199|242|61,94
199|369|61,94
199|153|62,94
276|96|1,113
276|198|17,113
276|71|21,113
276|305|41,113
276|242|42,113
276|369|42,113
276|153|43,113
276|63|73,113
96|198|16,114
96|71|20,114
96|305|40,114
96|242|41,114
96|369|41,114
96|153|42,114
96|63|72,114
96|240|123,114
198|71|4,130
198|305|24,130
198|242|25,130
198|369|25,130
198|153|26,130
198|63|56,130
198|240|107,130
198|145|108,130
71|305|20,134
71|242|21,134
71|369|21,134
71|153|22,134
71|63|52,134
71|240|103,134
71|145|104,134
71|294|104,134
305|242|1,154
305|369|1,154
305|153|2,154
305|63|32,154
305|240|83,154
305|145|84,154
305|294|84,154
305|96|88,154
242|369|0,155
242|153|1,155
242|63|31,155
242|240|82,155
242|145|83,155
242|294|83,155
242|96|87,155
242|96|123,155
369|153|1,155
369|63|31,155
369|240|82,155
369|145|83,155
369|294|83,155
369|96|87,155
369|96|123,155
369|63|132,155
153|63|30,156
153|240|81,156
153|145|82,156
153|294|82,156
153|96|86,156
153|96|122,156
153|63|131,156
153|344|141,156
63|240|51,186
63|145|52,186
63|294|52,186
63|96|56,186
63|96|92,186
63|63|101,186
63|344|111,186
63|242|112,186
240|145|1,237
240|294|1,237
240|96|5,237
240|96|41,237
240|63|50,237
240|344|60,237
240|242|61,237
240|285|61,237
145|294|0,238
145|96|4,238
145|96|40,238
145|63|49,238
145|344|59,238
145|242|60,238
145|285|60,238
145|153|61,238
294|96|4,238
294|96|40,238
294|63|49,238
294|344|59,238
294|242|60,238
294|285|60,238
294|153|61,238
294|189|65,238
96|96|36,242
96|63|45,242
96|344|55,242
96|242|56,242
96|285|56,242
96|153|57,242
96|189|61,242
96|7|100,242
96|63|9,278
96|344|19,278
96|242|20,278
96|285|20,278
96|153|21,278
96|189|25,278
96|7|64,278
96|71|82,278
63|344|10,287
63|242|11,287
63|285|11,287
63|153|12,287
63|189|16,287
63|7|55,287
63|71|73,287
63|300|113,287
344|242|1,297
344|285|1,297
344|153|2,297
344|189|6,297
344|7|45,297
344|71|63,297
344|300|103,297
344|148|104,297
242|285|0,298
242|153|1,298
242|189|5,298
242|7|44,298
242|71|62,298
242|300|102,298
242|148|103,298
242|206|104,298
285|153|1,298
285|189|5,298
285|7|44,298
285|71|62,298
285|300|102,298
285|148|103,298
285|206|104,298
285|76|105,298
153|189|4,299
153|7|43,299
153|71|61,299
153|300|101,299
153|148|102,299
153|206|103,299
153|76|104,299
153|8|111,299
189|7|39,303
189|71|57,303
189|300|97,303
189|148|98,303
189|206|99,303
189|76|100,303
189|8|107,303
189|63|140,303
7|71|18,342
7|300|58,342
7|148|59,342
7|206|60,342
7|76|61,342
7|8|68,342
7|63|101,342
7|95|102,342
71|300|40,360
71|148|41,360
71|206|42,360
71|76|43,360
71|8|50,360
71|63|83,360
71|95|84,360
71|11|87,360
300|148|1,400
300|206|2,400
300|76|3,400
300|8|10,400
300|63|43,400
300|95|44,400
300|11|47,400
300|327|61,400
148|206|1,401
148|76|2,401
148|8|9,401
148|63|42,401
148|95|43,401
148|11|46,401
148|327|60,401
148|242|61,401
206|76|1,402
206|8|8,402
206|63|41,402
206|95|42,402
206|11|45,402
206|327|59,402
206|242|60,402
206|114|63,402
76|8|7,403
76|63|40,403
76|95|41,403
76|11|44,403
76|327|58,403
76|242|59,403
76|114|62,403
76|369|81,403
8|63|33,410
8|95|34,410
8|11|37,410
8|327|51,410
8|242|52,410
8|114|55,410
8|369|74,410
8|153|75,410
63|95|1,443
63|11|4,443
63|327|18,443
63|242|19,443
63|114|22,443
63|369|41,443
63|153|42,443
63|254|44,443
95|11|3,444
95|327|17,444
95|242|18,444
95|114|21,444
95|369|40,444
95|153|41,444
95|254|43,444
95|189|47,444
11|327|14,447
11|242|15,447
11|114|18,447
11|369|37,447
11|153|38,447
11|254|40,447
11|189|44,447
11|63|80,447
327|242|1,461
327|114|4,461
327|369|23,461
327|153|24,461
327|254|26,461
327|189|30,461
327|63|66,461
327|10|82,461
242|114|3,462
242|369|22,462
242|153|23,462
242|254|25,462
242|189|29,462
242|63|65,462
242|10|81,462
242|145|105,462
114|369|19,465
114|153|20,465
114|254|22,465
114|189|26,465
114|63|62,465
114|10|78,465
114|145|102,465
114|294|102,465
369|153|1,484
369|254|3,484
369|189|7,484
369|63|43,484
369|10|59,484
369|145|83,484
369|294|83,484
369|223|85,484
153|254|2,485
153|189|6,485
153|63|42,485
153|10|58,485
153|145|82,485
153|294|82,485
153|223|84,485
153|96|86,485
254|189|4,487
254|63|40,487
254|10|56,487
254|145|80,487
254|294|80,487
254|223|82,487
254|96|84,487
254|63|99,487
189|63|36,491
189|10|52,491
189|145|76,491
189|294|76,491
189|223|78,491
189|96|80,491
189|63|95,491
189|204|118,491
63|10|16,527
63|145|40,527
63|294|40,527
63|223|42,527
63|96|44,527
63|63|59,527
63|204|82,527
63|11|84,527
10|145|24,543
10|294|24,543
10|223|26,543
10|96|28,543
10|63|43,543
10|204|66,543
10|11|68,543
10|153|85,543
145|294|0,567
145|223|2,567
145|96|4,567
145|63|19,567
145|204|42,567
145|11|44,567
145|153|61,567
145|357|61,567
294|223|2,567
294|96|4,567
294|63|19,567
294|204|42,567
294|11|44,567
294|153|61,567
294|357|61,567
294|63|65,567
223|96|2,569
223|63|17,569
223|204|40,569
223|11|42,569
223|153|59,569
223|357|59,569
223|63|63,569
223|254|64,569
96|63|15,571
96|204|38,571
96|11|40,571
96|153|57,571
96|357|57,571
96|63|61,571
96|254|62,571
96|114|77,571
63|204|23,586
63|11|25,586
63|153|42,586
63|357|42,586
63|63|46,586
63|254|47,586
63|114|62,586
63|431|68,586
204|11|2,609
204|153|19,609
204|357|19,609
204|63|23,609
204|254|24,609
204|114|39,609
204|431|45,609
204|234|59,609
11|153|17,611
11|357|17,611
11|63|21,611
11|254|22,611
11|114|37,611
11|431|43,611
11|234|57,611
11|71|58,611
153|357|0,628
153|63|4,628
153|254|5,628
153|114|20,628
153|431|26,628
153|234|40,628
153|71|41,628
153|197|41,628
357|63|4,628
357|254|5,628
357|114|20,628
357|431|26,628
357|234|40,628
357|71|41,628
357|197|41,628
357|7|47,628
63|254|1,632
63|114|16,632
63|431|22,632
63|234|36,632
63|71|37,632
63|197|37,632
63|7|43,632
63|606|43,632
254|114|15,633
254|431|21,633
254|234|35,633
254|71|36,633
254|197|36,633
254|7|42,633
254|606|42,633
254|943|43,633
114|431|6,648
114|234|20,648
114|71|21,648
114|197|21,648
114|7|27,648
114|606|27,648
114|943|28,648
114|307|62,648
431|234|14,654
431|71|15,654
431|197|15,654
431|7|21,654
431|606|21,654
431|943|22,654
431|307|56,654
