hash,time
399|952|0,71
399|500|1,71
399|545|1,71
399|638|1,71
399|703|1,71
399|824|1,71
399|894|1,71
399|239|2,71
952|500|1,71
952|545|1,71
952|638|1,71
952|703|1,71
952|824|1,71
952|894|1,71
952|239|2,71
952|368|2,71
500|545|0,72
500|638|0,72
500|703|0,72
500|824|0,72
500|894|0,72
500|239|1,72
500|368|1,72
500|469|1,72
545|638|0,72
545|703|0,72
545|824|0,72
545|894|0,72
545|239|1,72
545|368|1,72
545|469|1,72
545|18|21,72
638|703|0,72
638|824|0,72
638|894|0,72
638|239|1,72
638|368|1,72
638|469|1,72
638|18|21,72
638|55|31,72
703|824|0,72
703|894|0,72
703|239|1,72
703|368|1,72
703|469|1,72
703|18|21,72
703|55|31,72
703|293|34,72
824|894|0,72
824|239|1,72
824|368|1,72
824|469|1,72
824|18|21,72
824|55|31,72
824|293|34,72
824|147|38,72
894|239|1,72
894|368|1,72
894|469|1,72
894|18|21,72
894|55|31,72
894|293|34,72
894|147|38,72
894|221|38,72
239|368|0,73
239|469|0,73
239|18|20,73
239|55|30,73
239|293|33,73
239|147|37,73
239|221|37,73
239|350|37,73
368|469|0,73
368|18|20,73
368|55|30,73
368|293|33,73
368|147|37,73
368|221|37,73
368|350|37,73
368|259|41,73
469|18|20,73
469|55|30,73
469|293|33,73
469|147|37,73
469|221|37,73
469|350|37,73
469|259|41,73
469|454|52,73
18|55|10,93
18|293|13,93
18|147|17,93
18|221|17,93
18|350|17,93
18|259|21,93
18|454|32,93
18|16|47,93
55|293|3,103
55|147|7,103
55|221|7,103
55|350|7,103
55|259|11,103
55|454|22,103
55|16|37,103
55|705|44,103
293|147|4,106
293|221|4,106
293|350|4,106
293|259|8,106
293|454|19,106
293|16|34,106
293|705|41,106
293|67|49,106
147|221|0,110
147|350|0,110
147|259|4,110
147|454|15,110
147|16|30,110
147|705|37,110
147|67|45,110
147|293|56,110
221|350|0,110
221|259|4,110
221|454|15,110
221|16|30,110
221|705|37,110
221|67|45,110
221|293|56,110
221|143|62,110
350|259|4,110
350|454|15,110
350|16|30,110
350|705|37,110
350|67|45,110
350|293|56,110
350|143|62,110
350|423|67,110
259|454|11,114
259|16|26,114
259|705|33,114
259|67|41,114
259|293|52,114
259|143|58,114
259|423|63,114
259|582|63,114
454|16|15,125
454|705|22,125
454|67|30,125
454|293|41,125
454|143|47,125
454|423|52,125
454|582|52,125
