hash,time
403|514|0,116
403|132|1,116
403|266|1,116
403|324|1,116
403|3|2,116
403|38|2,116
403|75|2,116
403|204|21,116
514|132|1,116
514|266|1,116
514|324|1,116
514|3|2,116
514|38|2,116
514|75|2,116
514|204|21,116
514|453|21,116
132|266|0,117
132|324|0,117
132|3|1,117
132|38|1,117
132|75|1,117
132|204|20,117
132|453|20,117
132|250|22,117
266|324|0,117
266|3|1,117
266|38|1,117
266|75|1,117
266|204|20,117
266|453|20,117
266|250|22,117
266|112|26,117
324|3|1,117
324|38|1,117
324|75|1,117
324|204|20,117
324|453|20,117
324|250|22,117
324|112|26,117
324|26|43,117
3|38|0,118
3|75|0,118
3|204|19,118
3|453|19,118
3|250|21,118
3|112|25,118
3|26|42,118
3|350|42,118
38|75|0,118
38|204|19,118
38|453|19,118
38|250|21,118
38|112|25,118
38|26|42,118
38|350|42,118
38|593|42,118
75|204|19,118
75|453|19,118
75|250|21,118
75|112|25,118
75|26|42,118
75|350|42,118
75|593|42,118
75|431|43,118
204|453|0,137
204|250|2,137
204|112|6,137
204|26|23,137
204|350|23,137
204|593|23,137
204|431|24,137
204|206|35,137
453|250|2,137
453|112|6,137
453|26|23,137
453|350|23,137
453|593|23,137
453|431|24,137
453|206|35,137
453|154|37,137
250|112|4,139
250|26|21,139
250|350|21,139
250|593|21,139
250|431|22,139
250|206|33,139
250|154|35,139
250|504|43,139
112|26|17,143
112|350|17,143
112|593|17,143
112|431|18,143
112|206|29,143
112|154|31,143
112|504|39,143
112|387|41,143
26|350|0,160
26|593|0,160
26|431|1,160
26|206|12,160
26|154|14,160
26|504|22,160
26|387|24,160
26|477|27,160
350|593|0,160
350|431|1,160
350|206|12,160
350|154|14,160
350|504|22,160
350|387|24,160
350|477|27,160
350|340|29,160
593|431|1,160
593|206|12,160
593|154|14,160
593|504|22,160
593|387|24,160
593|477|27,160
593|340|29,160
593|249|30,160
431|206|11,161
431|154|13,161
431|504|21,161
431|387|23,161
431|477|26,161
431|340|28,161
431|249|29,161
431|113|34,161
206|154|2,172
206|504|10,172
206|387|12,172
206|477|15,172
206|340|17,172
206|249|18,172
206|113|23,172
206|286|31,172
154|504|8,174
154|387|10,174
154|477|13,174
154|340|15,174
154|249|16,174
154|113|21,174
154|286|29,174
154|568|55,174
504|387|2,182
504|477|5,182
504|340|7,182
504|249|8,182
504|113|13,182
504|286|21,182
504|568|47,182
504|508|48,182
387|477|3,184
387|340|5,184
387|249|6,184
387|113|11,184
387|286|19,184
387|568|45,184
387|508|46,184
387|209|47,184
477|340|2,187
477|249|3,187
477|113|8,187
477|286|16,187
477|568|42,187
477|508|43,187
477|209|44,187
477|448|45,187
340|249|1,189
340|113|6,189
340|286|14,189
340|568|40,189
340|508|41,189
340|209|42,189
340|448|43,189
340|388|45,189
249|113|5,190
249|286|13,190
249|568|39,190
249|508|40,190
249|209|41,190
249|448|42,190
249|388|44,190
249|9|45,190
113|286|8,195
113|568|34,195
113|508|35,195
113|209|36,195
113|448|37,195
113|388|39,195
113|9|40,195
113|149|43,195
286|568|26,203
286|508|27,203
286|209|28,203
286|448|29,203
286|388|31,203
286|9|32,203
286|149|35,203
286|239|37,203
568|508|1,229
568|209|2,229
568|448|3,229
568|388|5,229
568|9|6,229
568|149|9,229
568|239|11,229
568|126|33,229
508|209|1,230
508|448|2,230
508|388|4,230
508|9|5,230
508|149|8,230
508|239|10,230
508|126|32,230
508|159|42,230
209|448|1,231
209|388|3,231
209|9|4,231
209|149|7,231
209|239|9,231
209|126|31,231
209|159|41,231
209|13|52,231
448|388|2,232
448|9|3,232
448|149|6,232
448|239|8,232
448|126|30,232
448|159|40,232
448|13|51,232
448|112|54,232
388|9|1,234
388|149|4,234
388|239|6,234
388|126|28,234
388|159|38,234
388|13|49,234
388|112|52,234
388|204|63,234
9|149|3,235
9|239|5,235
9|126|27,235
9|159|37,235
9|13|48,235
9|112|51,235
9|204|62,235
9|483|62,235
149|239|2,238
149|126|24,238
149|159|34,238
149|13|45,238
149|112|48,238
149|204|59,238
149|483|59,238
149|76|60,238
239|126|22,240
239|159|32,240
239|13|43,240
239|112|46,240
239|204|57,240
239|483|57,240
239|76|58,240
239|253|59,240
126|159|10,262
126|13|21,262
126|112|24,262
126|204|35,262
126|483|35,262
126|76|36,262
126|253|37,262
126|152|40,262
159|13|11,272
159|112|14,272
159|204|25,272
159|483|25,272
159|76|26,272
159|253|27,272
159|152|30,272
159|94|59,272
13|112|3,283
13|204|14,283
13|483|14,283
13|76|15,283
13|253|16,283
13|152|19,283
13|94|48,283
13|455|60,283
112|204|11,286
112|483|11,286
112|76|12,286
112|253|13,286
112|152|16,286
112|94|45,286
112|455|57,286
112|506|57,286
204|483|0,297
204|76|1,297
204|253|2,297
204|152|5,297
204|94|34,297
204|455|46,297
204|506|46,297
204|582|46,297
483|76|1,297
483|253|2,297
483|152|5,297
483|94|34,297
483|455|46,297
483|506|46,297
483|582|46,297
483|126|47,297
76|253|1,298
76|152|4,298
76|94|33,298
76|455|45,298
76|506|45,298
76|582|45,298
76|126|46,298
76|632|46,298
253|152|3,299
253|94|32,299
253|455|44,299
253|506|44,299
253|582|44,299
253|126|45,299
253|632|45,299
253|253|46,299
152|94|29,302
152|455|41,302
152|506|41,302
152|582|41,302
152|126|42,302
152|632|42,302
152|253|43,302
152|379|47,302
94|455|12,331
94|506|12,331
94|582|12,331
94|126|13,331
94|632|13,331
94|253|14,331
94|379|18,331
94|75|28,331
455|506|0,343
455|582|0,343
455|126|1,343
455|632|1,343
455|253|2,343
455|379|6,343
455|75|16,343
455|522|22,343
506|582|0,343
506|126|1,343
506|632|1,343
506|253|2,343
506|379|6,343
506|75|16,343
506|522|22,343
506|159|23,343
582|126|1,343
582|632|1,343
582|253|2,343
582|379|6,343
582|75|16,343
582|522|22,343
582|159|23,343
582|112|27,343
126|632|0,344
126|253|1,344
126|379|5,344
126|75|15,344
126|522|21,344
126|159|22,344
126|112|26,344
126|205|66,344
632|253|1,344
632|379|5,344
632|75|15,344
632|522|21,344
632|159|22,344
632|112|26,344
632|205|66,344
632|296|66,344
253|379|4,345
253|75|14,345
253|522|20,345
253|159|21,345
253|112|25,345
253|205|65,345
253|296|65,345
253|441|65,345
379|75|10,349
379|522|16,349
379|159|17,349
379|112|21,349
379|205|61,349
379|296|61,349
379|441|61,349
379|583|61,349
75|522|6,359
75|159|7,359
75|112|11,359
75|205|51,359
75|296|51,359
75|441|51,359
75|583|51,359
75|661|51,359
522|159|1,365
522|112|5,365
522|205|45,365
522|296|45,365
522|441|45,365
522|583|45,365
522|661|45,365
522|704|45,365
159|112|4,366
159|205|44,366
159|296|44,366
159|441|44,366
159|583|44,366
159|661|44,366
159|704|44,366
159|253|45,366
112|205|40,370
112|296|40,370
112|441|40,370
112|583|40,370
112|661|40,370
112|704|40,370
112|253|41,370
112|329|41,370
205|296|0,410
205|441|0,410
205|583|0,410
205|661|0,410
205|704|0,410
205|253|1,410
205|329|1,410
205|476|1,410
296|441|0,410
296|583|0,410
296|661|0,410
296|704|0,410
296|253|1,410
296|329|1,410
296|476|1,410
296|524|1,410
441|583|0,410
441|661|0,410
441|704|0,410
441|253|1,410
441|329|1,410
441|476|1,410
441|524|1,410
441|736|1,410
583|661|0,410
583|704|0,410
583|253|1,410
583|329|1,410
583|476|1,410
583|524|1,410
583|736|1,410
583|13|3,410
661|704|0,410
661|253|1,410
661|329|1,410
661|476|1,410
661|524|1,410
661|736|1,410
661|13|3,410
661|113|4,410
704|253|1,410
704|329|1,410
704|476|1,410
704|524|1,410
704|736|1,410
704|13|3,410
704|113|4,410
704|157|16,410
253|329|0,411
253|476|0,411
253|524|0,411
253|736|0,411
253|13|2,411
253|113|3,411
253|157|15,411
253|322|29,411
329|476|0,411
329|524|0,411
329|736|0,411
329|13|2,411
329|113|3,411
329|157|15,411
329|322|29,411
329|642|42,411
476|524|0,411
476|736|0,411
476|13|2,411
476|113|3,411
476|157|15,411
476|322|29,411
476|642|42,411
476|76|43,411
524|736|0,411
524|13|2,411
524|113|3,411
524|157|15,411
524|322|29,411
524|642|42,411
524|76|43,411
524|532|43,411
736|13|2,411
736|113|3,411
736|157|15,411
736|322|29,411
736|642|42,411
736|76|43,411
736|532|43,411
