hash,time
113|189|1,10
113|360|2,10
113|75|5,10
113|226|11,10
113|282|25,10
113|11|42,10
113|226|65,10
113|75|66,10
189|360|1,11
189|75|4,11
189|226|10,11
189|282|24,11
189|11|41,11
189|226|64,11
189|75|65,11
189|150|66,11
360|75|3,12
360|226|9,12
360|282|23,12
360|11|40,12
360|226|63,12
360|75|64,12
360|150|65,12
360|112|70,12
75|226|6,15
75|282|20,15
75|11|37,15
75|226|60,15
75|75|61,15
75|150|62,15
75|112|67,15
75|37|69,15
226|282|14,21
226|11|31,21
226|226|54,21
226|75|55,21
226|150|56,21
226|112|61,21
226|37|63,21
226|12|73,21
282|11|17,35
282|226|40,35
282|75|41,35
282|150|42,35
282|112|47,35
282|37|49,35
282|12|59,35
282|189|60,35
11|226|23,52
11|75|24,52
11|150|25,52
11|112|30,52
11|37|32,52
11|12|42,52
11|189|43,52
11|266|45,52
226|75|1,75
226|150|2,75
226|112|7,75
226|37|9,75
226|12|19,75
226|189|20,75
226|266|22,75
226|349|24,75
75|150|1,76
75|112|6,76
75|37|8,76
75|12|18,76
75|189|19,76
75|266|21,76
75|349|23,76
75|380|23,76
150|112|5,77
150|37|7,77
150|12|17,77
150|189|18,77
150|266|20,77
150|349|22,77
150|380|22,77
150|225|38,77
112|37|2,82
112|12|12,82
112|189|13,82
112|266|15,82
112|349|17,82
112|380|17,82
112|225|33,82
112|42|42,82
37|12|10,84
37|189|11,84
37|266|13,84
37|349|15,84
37|380|15,84
37|225|31,84
37|42|40,84
37|12|50,84
12|189|1,94
12|266|3,94
12|349|5,94
12|380|5,94
12|225|21,94
12|42|30,94
12|12|40,94
12|456|43,94
189|266|2,95
189|349|4,95
189|380|4,95
189|225|20,95
189|42|29,95
189|12|39,95
189|456|42,95
189|152|43,95
266|349|2,97
266|380|2,97
266|225|18,97
266|42|27,97
266|12|37,97
266|456|40,97
266|152|41,97
266|190|41,97
349|380|0,99
349|225|16,99
349|42|25,99
349|12|35,99
349|456|38,99
349|152|39,99
349|190|39,99
349|348|40,99
380|225|16,99
380|42|25,99
380|12|35,99
380|456|38,99
380|152|39,99
380|190|39,99
380|348|40,99
380|63|41,99
225|42|9,115
225|12|19,115
225|456|22,115
225|152|23,115
225|190|23,115
225|348|24,115
225|63|25,115
225|284|25,115
42|12|10,124
42|456|13,124
42|152|14,124
42|190|14,124
42|348|15,124
42|63|16,124
42|284|16,124
42|380|16,124
12|456|3,134
12|152|4,134
12|190|4,134
12|348|5,134
12|63|6,134
12|284|6,134
12|380|6,134
12|94|10,134
456|152|1,137
456|190|1,137
456|348|2,137
456|63|3,137
456|284|3,137
456|380|3,137
456|94|7,137
456|12|42,137
152|190|0,138
152|348|1,138
152|63|2,138
152|284|2,138
152|380|2,138
152|94|6,138
152|12|41,138
152|84|42,138
190|348|1,138
190|63|2,138
190|284|2,138
190|380|2,138
190|94|6,138
190|12|41,138
190|84|42,138
190|169|42,138
348|63|1,139
348|284|1,139
348|380|1,139
348|94|5,139
348|12|40,139
348|84|41,139
348|169|41,139
348|255|42,139
63|284|0,140
63|380|0,140
63|94|4,140
63|12|39,140
63|84|40,140
63|169|40,140
63|255|41,140
63|428|42,140
284|380|0,140
284|94|4,140
284|12|39,140
284|84|40,140
284|169|40,140
284|255|41,140
284|428|42,140
284|214|43,140
380|94|4,140
380|12|39,140
380|84|40,140
380|169|40,140
380|255|41,140
380|428|42,140
380|214|43,140
380|487|43,140
94|12|35,144
94|84|36,144
94|169|36,144
94|255|37,144
94|428|38,144
94|214|39,144
94|487|39,144
94|312|40,144
12|84|1,179
12|169|1,179
12|255|2,179
12|428|3,179
12|214|4,179
12|487|4,179
12|312|5,179
12|370|5,179
84|169|0,180
84|255|1,180
84|428|2,180
84|214|3,180
84|487|3,180
84|312|4,180
84|370|4,180
84|281|21,180
169|255|1,180
169|428|2,180
169|214|3,180
169|487|3,180
169|312|4,180
169|370|4,180
169|281|21,180
169|42|29,180
255|428|1,181
255|214|2,181
255|487|2,181
255|312|3,181
255|370|3,181
255|281|20,181
255|42|28,181
255|12|39,181
428|214|1,182
428|487|1,182
428|312|2,182
428|370|2,182
428|281|19,182
428|42|27,182
428|12|38,182
428|84|59,182
214|487|0,183
214|312|1,183
214|370|1,183
214|281|18,183
214|42|26,183
214|12|37,183
214|84|58,183
214|168|60,183
487|312|1,183
487|370|1,183
487|281|18,183
487|42|26,183
487|12|37,183
487|84|58,183
487|168|60,183
487|691|67,183
312|370|0,184
312|281|17,184
312|42|25,184
312|12|36,184
312|84|57,184
312|168|59,184
312|691|66,184
312|42|74,184
370|281|17,184
370|42|25,184
370|12|36,184
370|84|57,184
370|168|59,184
370|691|66,184
370|42|74,184
370|212|76,184
281|42|8,201
281|12|19,201
281|84|40,201
281|168|42,201
281|691|49,201
281|42|57,201
281|212|59,201
281|255|59,201
42|12|11,209
42|84|32,209
42|168|34,209
42|691|41,209
42|42|49,209
42|212|51,209
42|255|51,209
42|426|54,209
12|84|21,220
12|168|23,220
12|691|30,220
12|42|38,220
12|212|40,220
12|255|40,220
12|426|43,220
12|585|43,220
84|168|2,241
84|691|9,241
84|42|17,241
84|212|19,241
84|255|19,241
84|426|22,241
84|585|22,241
84|460|23,241
168|691|7,243
168|42|15,243
168|212|17,243
168|255|17,243
168|426|20,243
168|585|20,243
168|460|21,243
168|641|21,243
691|42|8,250
691|212|10,250
691|255|10,250
691|426|13,250
691|585|13,250
691|460|14,250
691|641|14,250
691|311|17,250
42|212|2,258
42|255|2,258
42|426|5,258
42|585|5,258
42|460|6,258
42|641|6,258
42|311|9,258
42|369|10,258
212|255|0,260
212|426|3,260
212|585|3,260
212|460|4,260
212|641|4,260
212|311|7,260
212|369|8,260
212|13|17,260
255|426|3,260
255|585|3,260
255|460|4,260
255|641|4,260
255|311|7,260
255|369|8,260
255|13|17,260
255|47|26,260
426|585|0,263
426|460|1,263
426|641|1,263
426|311|4,263
426|369|5,263
426|13|14,263
426|47|23,263
426|169|39,263
585|460|1,263
585|641|1,263
585|311|4,263
585|369|5,263
