hash,time
537|141|1,6
537|422|1,6
537|72|4,6
537|269|4,6
537|661|7,6
537|559|11,6
537|357|19,6
537|522|19,6
141|422|0,7
141|72|3,7
141|269|3,7
141|661|6,7
141|559|10,7
141|357|18,7
141|522|18,7
141|16|22,7
422|72|3,7
422|269|3,7
422|661|6,7
422|559|10,7
422|357|18,7
422|522|18,7
422|16|22,7
422|574|30,7
72|269|0,10
72|661|3,10
72|559|7,10
72|357|15,10
72|522|15,10
72|16|19,10
72|574|27,10
72|83|39,10
269|661|3,10
269|559|7,10
269|357|15,10
269|522|15,10
269|16|19,10
269|574|27,10
269|83|39,10
269|533|39,10
661|559|4,13
661|357|12,13
661|522|12,13
661|16|16,13
661|574|24,13
661|83|36,13
661|533|36,13
661|453|43,13
559|357|8,17
559|522|8,17
559|16|12,17
559|574|20,17
559|83|32,17
559|533|32,17
559|453|39,17
559|849|39,17
357|522|0,25
357|16|4,25
357|574|12,25
357|83|24,25
357|533|24,25
357|453|31,25
357|849|31,25
357|283|32,25
522|16|4,25
522|574|12,25
522|83|24,25
522|533|24,25
522|453|31,25
522|849|31,25
522|283|32,25
522|510|39,25
16|574|8,29
16|83|20,29
16|533|20,29
16|453|27,29
16|849|27,29
16|283|28,29
16|510|35,29
16|667|36,29
574|83|12,37
574|533|12,37
574|453|19,37
574|849|19,37
574|283|20,37
574|510|27,37
574|667|28,37
574|229|31,37
83|533|0,49
83|453|7,49
83|849|7,49
83|283|8,49
83|510|15,49
83|667|16,49
83|229|19,49
83|343|20,49
533|453|7,49
533|849|7,49
533|283|8,49
533|510|15,49
533|667|16,49
533|229|19,49
533|343|20,49
533|11|25,49
453|849|0,56
453|283|1,56
453|510|8,56
453|667|9,56
453|229|12,56
453|343|13,56
453|11|18,56
453|254|21,56
849|283|1,56
849|510|8,56
849|667|9,56
849|229|12,56
849|343|13,56
849|11|18,56
849|254|21,56
849|141|32,56
283|510|7,57
283|667|8,57
283|229|11,57
283|343|12,57
283|11|17,57
283|254|20,57
283|141|31,57
283|84|36,57
510|667|1,64
510|229|4,64
510|343|5,64
510|11|10,64
510|254|13,64
510|141|24,64
510|84|29,64
510|509|35,64
667|229|3,65
667|343|4,65
667|11|9,65
667|254|12,65
667|141|23,65
667|84|28,65
667|509|34,65
667|57|36,65
229|343|1,68
229|11|6,68
229|254|9,68
229|141|20,68
229|84|25,68
229|509|31,68
229|57|33,68
229|254|45,68
343|11|5,69
343|254|8,69
343|141|19,69
343|84|24,69
343|509|30,69
343|57|32,69
343|254|44,69
343|413|44,69
11|254|3,74
11|141|14,74
11|84|19,74
11|509|25,74
11|57|27,74
11|254|39,74
11|413|39,74
11|631|43,74
254|141|11,77
254|84|16,77
254|509|22,77
254|57|24,77
254|254|36,77
254|413|36,77
254|631|40,77
254|284|41,77
141|84|5,88
141|509|11,88
141|57|13,88
141|254|25,88
141|413|25,88
141|631|29,88
141|284|30,88
141|379|30,88
84|509|6,93
84|57|8,93
84|254|20,93
84|413|20,93
84|631|24,93
84|284|25,93
84|379|25,93
84|442|25,93
509|57|2,99
509|254|14,99
509|413|14,99
509|631|18,99
509|284|19,99
509|379|19,99
509|442|19,99
509|537|19,99
57|254|12,101
57|413|12,101
57|631|16,101
57|284|17,101
57|379|17,101
57|442|17,101
57|537|17,101
57|664|17,101
