hash,time
188|151|15,54
188|75|34,54
188|38|37,54
188|113|57,54
188|151|97,54
188|17|119,54
188|85|149,54
151|75|19,69
151|38|22,69
151|113|42,69
151|151|82,69
151|17|104,69
151|85|134,69
75|38|3,88
75|113|23,88
75|151|63,88
75|17|85,88
75|85|115,88
75|36|183,88
75|226|184,88
75|137|188,88
38|113|20,91
38|151|60,91
38|17|82,91
38|85|112,91
38|36|180,91
38|226|181,91
38|137|185,91
38|330|195,91
113|151|40,111
113|17|62,111
113|85|92,111
113|36|160,111
113|226|161,111
113|137|165,111
113|330|175,111
113|202|179,111
151|17|22,151
151|85|52,151
151|36|120,151
151|226|121,151
151|137|125,151
151|330|135,151
151|202|139,151
151|17|175,151
17|85|30,173
17|36|98,173
17|226|99,173
17|137|103,173
17|330|113,173
17|202|117,173
17|17|153,173
85|36|68,203
85|226|69,203
85|137|73,203
85|330|83,203
85|202|87,203
85|17|123,203
85|17|174,203
36|226|1,271
36|137|5,271
36|330|15,271
36|202|19,271
36|17|55,271
36|17|106,271
36|40|140,271
36|72|161,271
226|137|4,272
226|330|14,272
226|202|18,272
226|17|54,272
226|17|105,272
226|40|139,272
226|72|160,272
226|334|160,272
137|330|10,276
137|202|14,276
137|17|50,276
137|17|101,276
137|40|135,276
137|72|156,276
137|334|156,276
137|252|157,276
330|202|4,286
330|17|40,286
330|17|91,286
330|40|125,286
330|72|146,286
330|334|146,286
330|252|147,286
330|158|150,286
202|17|36,290
202|17|87,290
202|40|121,290
202|72|142,290
202|334|142,290
202|252|143,290
202|158|146,290
202|9|148,290
17|17|51,326
17|40|85,326
17|72|106,326
17|334|106,326
17|252|107,326
17|158|110,326
17|9|112,326
17|202|146,326
17|40|34,377
17|72|55,377
17|334|55,377
17|252|56,377
17|158|59,377
17|9|61,377
17|202|95,377
17|97|119,377
40|72|21,411
40|334|21,411
40|252|22,411
40|158|25,411
40|9|27,411
40|202|61,411
40|97|85,411
40|44|88,411
72|334|0,432
72|252|1,432
72|158|4,432
72|9|6,432
72|202|40,432
72|97|64,432
72|44|67,432
72|151|74,432
334|252|1,432
334|158|4,432
334|9|6,432
334|202|40,432
334|97|64,432
334|44|67,432
334|151|74,432
334|12|88,432
252|158|3,433
252|9|5,433
252|202|39,433
252|97|63,433
252|44|66,433
252|151|73,433
252|12|87,433
252|224|87,433
158|9|2,436
158|202|36,436
158|97|60,436
158|44|63,436
158|151|70,436
158|12|84,436
158|224|84,436
158|68|100,436
9|202|34,438
9|97|58,438
9|44|61,438
9|151|68,438
9|12|82,438
9|224|82,438
9|68|98,438
9|136|98,438
202|97|24,472
202|44|27,472
202|151|34,472
202|12|48,472
202|224|48,472
202|68|64,472
202|136|64,472
202|239|78,472
97|44|3,496
97|151|10,496
97|12|24,496
97|224|24,496
97|68|40,496
97|136|40,496
97|239|54,496
97|191|91,496
44|151|7,499
44|12|21,499
44|224|21,499
44|68|37,499
44|136|37,499
44|239|51,499
44|191|88,499
44|235|91,499
151|12|14,506
151|224|14,506
151|68|30,506
151|136|30,506
151|239|44,506
151|191|81,506
151|235|84,506
151|55|90,506
12|224|0,520
12|68|16,520
12|136|16,520
12|239|30,520
12|191|67,520
12|235|70,520
12|55|76,520
12|110|76,520
224|68|16,520
224|136|16,520
224|239|30,520
224|191|67,520
224|235|70,520
224|55|76,520
224|110|76,520
224|191|103,520
68|136|0,536
68|239|14,536
68|191|51,536
68|235|54,536
68|55|60,536
68|110|60,536
68|191|87,536
68|255|90,536
136|239|14,536
136|191|51,536
136|235|54,536
136|55|60,536
136|110|60,536
136|191|87,536
136|255|90,536
136|127|107,536
239|191|37,550
239|235|40,550
239|55|46,550
239|110|46,550
239|191|73,550
239|255|76,550
239|127|93,550
239|42|94,550
191|235|3,587
191|55|9,587
191|110|9,587
191|191|36,587
191|255|39,587
191|127|56,587
191|42|57,587
191|49|106,587
235|55|6,590
235|110|6,590
235|191|33,590
235|255|36,590
235|127|53,590
235|42|54,590
235|49|103,590
235|85|158,590
55|110|0,596
55|191|27,596
55|255|30,596
55|127|47,596
55|42|48,596
55|49|97,596
55|85|152,596
55|21|155,596
110|191|27,596
110|255|30,596
110|127|47,596
110|42|48,596
110|49|97,596
110|85|152,596
110|21|155,596
110|168|163,596
191|255|3,623
191|127|20,623
191|42|21,623
191|49|70,623
191|85|125,623
191|21|128,623
191|168|136,623
191|44|143,623
255|127|17,626
255|42|18,626
255|49|67,626
255|85|122,626
255|21|125,626
255|168|133,626
255|44|140,626
255|135|146,626
127|42|1,643
127|49|50,643
127|85|105,643
127|21|108,643
127|168|116,643
127|44|123,643
127|135|129,643
127|243|133,643
42|49|49,644
42|85|104,644
42|21|107,644
42|168|115,644
42|44|122,644
42|135|128,644
42|243|132,644
42|101|134,644
49|85|55,693
49|21|58,693
49|168|66,693
49|44|73,693
49|135|79,693
49|243|83,693
49|101|85,693
49|22|110,693
85|21|3,748
85|168|11,748
85|44|18,748
85|135|24,748
85|243|28,748
85|101|30,748
85|22|55,748
85|34|89,748
21|168|8,751
21|44|15,751
21|135|21,751
21|243|25,751
21|101|27,751
21|22|52,751
21|34|86,751
21|304|87,751
168|44|7,759
168|135|13,759
168|243|17,759
168|101|19,759
168|22|44,759
168|34|78,759
168|304|79,759
168|101|84,759
44|135|6,766
44|243|10,766
44|101|12,766
44|22|37,766
44|34|71,766
44|304|72,766
44|101|77,766
44|34|146,766
135|243|4,772
135|101|6,772
135|22|31,772
135|34|65,772
135|304|66,772
135|101|71,772
135|34|140,772
135|41|193,772
243|101|2,776
243|22|27,776
243|34|61,776
243|304|62,776
243|101|67,776
243|34|136,776
243|41|189,776
243|190|192,776
101|22|25,778
101|34|59,778
101|304|60,778
101|101|65,778
101|34|134,778
101|41|187,778
101|190|190,778
101|132|192,778
22|34|34,803
22|304|35,803
22|101|40,803
22|34|109,803
22|41|162,803
22|190|165,803
22|132|167,803
34|304|1,837
34|101|6,837
34|34|75,837
34|41|128,837
34|190|131,837
34|132|133,837
34|34|190,837
34|101|191,837
304|101|5,838
304|34|74,838
304|41|127,838
304|190|130,838
304|132|132,838
304|34|189,838
304|101|190,838
304|67|192,838
101|34|69,843
101|41|122,843
101|190|125,843
101|132|127,843
101|34|184,843
101|101|185,843
101|67|187,843
34|41|53,912
34|190|56,912
34|132|58,912
34|34|115,912
34|101|116,912
34|67|118,912
34|34|149,912
34|209|174,912
41|190|3,965
41|132|5,965
41|34|62,965
41|101|63,965
41|67|65,965
41|34|96,965
41|209|121,965
41|351|122,965
190|132|2,968
190|34|59,968
190|101|60,968
190|67|62,968
190|34|93,968
190|209|118,968
190|351|119,968
190|85|121,968
132|34|57,970
132|101|58,970
132|67|60,970
132|34|91,970
132|209|116,970
132|351|117,970
132|85|119,970
132|133|121,970
34|101|1,1027
34|67|3,1027
34|34|34,1027
34|209|59,1027
34|351|60,1027
34|85|62,1027
34|133|64,1027
34|382|65,1027
101|67|2,1028
101|34|33,1028
101|209|58,1028
101|351|59,1028
101|85|61,1028
101|133|63,1028
101|382|64,1028
101|255|67,1028
67|34|31,1030
67|209|56,1030
67|351|57,1030
67|85|59,1030
67|133|61,1030
67|382|62,1030
67|255|65,1030
67|287|65,1030
34|209|25,1061
34|351|26,1061
34|85|28,1061
34|133|30,1061
34|382|31,1061
34|255|34,1061
34|287|34,1061
34|60|47,1061
209|351|1,1086
209|85|3,1086
209|133|5,1086
209|382|6,1086
