hash,time
15|306|2,11
15|178|8,11
15|230|9,11
15|336|12,11
15|479|13,11
15|386|15,11
15|523|15,11
15|756|16,11
306|178|6,13
306|230|7,13
306|336|10,13
306|479|11,13
306|386|13,13
306|523|13,13
306|756|14,13
306|684|15,13
178|230|1,19
178|336|4,19
178|479|5,19
178|386|7,19
178|523|7,19
178|756|8,19
178|684|9,19
178|826|9,19
230|336|3,20
230|479|4,20
230|386|6,20
230|523|6,20
230|756|7,20
230|684|8,20
230|826|8,20
230|651|9,20
336|479|1,23
336|386|3,23
336|523|3,23
336|756|4,23
336|684|5,23
336|826|5,23
336|651|6,23
336|967|7,23
479|386|2,24
479|523|2,24
479|756|3,24
479|684|4,24
479|826|4,24
479|651|5,24
479|967|6,24
479|1185|8,24
386|523|0,26
386|756|1,26
386|684|2,26
386|826|2,26
386|651|3,26
386|967|4,26
386|1185|6,26
386|618|7,26
523|756|1,26
523|684|2,26
523|826|2,26
523|651|3,26
523|967|4,26
523|1185|6,26
523|618|7,26
523|1225|7,26
756|684|1,27
756|826|1,27
756|651|2,27
756|967|3,27
756|1185|5,27
756|618|6,27
756|1225|6,27
756|1029|8,27
684|826|0,28
684|651|1,28
684|967|2,28
684|1185|4,28
684|618|5,28
684|1225|5,28
684|1029|7,28
684|1261|7,28
826|651|1,28
826|967|2,28
826|1185|4,28
826|618|5,28
826|1225|5,28
826|1029|7,28
826|1261|7,28
826|709|8,28
651|967|1,29
651|1185|3,29
651|618|4,29
651|1225|4,29
651|1029|6,29
651|1261|6,29
651|709|7,29
651|1074|7,29
967|1185|2,30
967|618|3,30
967|1225|3,30
967|1029|5,30
967|1261|5,30
967|709|6,30
967|1074|6,30
967|572|7,30
1185|618|1,32
1185|1225|1,32
1185|1029|3,32
1185|1261|3,32
1185|709|4,32
1185|1074|4,32
1185|572|5,32
1185|1308|5,32
618|1225|0,33
618|1029|2,33
618|1261|2,33
618|709|3,33
618|1074|3,33
618|572|4,33
618|1308|4,33
618|60|10,33
1225|1029|2,33
1225|1261|2,33
1225|709|3,33
1225|1074|3,33
1225|572|4,33
1225|1308|4,33
1225|60|10,33
1225|151|12,33
1029|1261|0,35
1029|709|1,35
1029|1074|1,35
1029|572|2,35
1029|1308|2,35
1029|60|8,35
1029|151|10,35
1029|361|11,35
1261|709|1,35
1261|1074|1,35
1261|572|2,35
1261|1308|2,35
1261|60|8,35
1261|151|10,35
1261|361|11,35
1261|112|26,35
709|1074|0,36
709|572|1,36
709|1308|1,36
709|60|7,36
709|151|9,36
709|361|10,36
709|112|25,36
709|179|30,36
1074|572|1,36
1074|1308|1,36
1074|60|7,36
1074|151|9,36
1074|361|10,36
1074|112|25,36
1074|179|30,36
1074|768|36,36
572|1308|0,37
572|60|6,37
572|151|8,37
572|361|9,37
572|112|24,37
572|179|29,37
572|768|35,37
572|336|50,37
1308|60|6,37
1308|151|8,37
1308|361|9,37
1308|112|24,37
1308|179|29,37
1308|768|35,37
1308|336|50,37
1308|612|50,37
60|151|2,43
60|361|3,43
60|112|18,43
60|179|23,43
60|768|29,43
60|336|44,43
60|612|44,43
60|30|51,43
151|361|1,45
151|112|16,45
151|179|21,45
151|768|27,45
151|336|42,45
151|612|42,45
151|30|49,45
151|728|49,45
361|112|15,46
361|179|20,46
361|768|26,46
361|336|41,46
361|612|41,46
361|30|48,46
361|728|48,46
361|910|48,46
112|179|5,61
112|768|11,61
112|336|26,61
112|612|26,61
112|30|33,61
112|728|33,61
112|910|33,61
112|453|37,61
179|768|6,66
179|336|21,66
179|612|21,66
179|30|28,66
179|728|28,66
179|910|28,66
179|453|32,66
179|414|38,66
768|336|15,72
768|612|15,72
768|30|22,72
768|728|22,72
768|910|22,72
768|453|26,72
768|414|32,72
768|59|33,72
336|612|0,87
336|30|7,87
336|728|7,87
336|910|7,87
336|453|11,87
336|414|17,87
336|59|18,87
336|178|20,87
612|30|7,87
612|728|7,87
612|910|7,87
612|453|11,87
612|414|17,87
612|59|18,87
612|178|20,87
612|509|29,87
