hash,time
63|621|1,66
63|973|1,66
63|1092|5,66
63|845|6,66
63|145|7,66
63|220|8,66
63|708|9,66
63|1124|9,66
621|973|0,67
621|1092|4,67
621|845|5,67
621|145|6,67
621|220|7,67
621|708|8,67
621|1124|8,67
621|877|10,67
973|1092|4,67
973|845|5,67
973|145|6,67
973|220|7,67
973|708|8,67
973|1124|8,67
973|877|10,67
973|324|13,67
1092|845|1,71
1092|145|2,71
1092|220|3,71
1092|708|4,71
1092|1124|4,71
1092|877|6,71
1092|324|9,71
1092|452|9,71
845|145|1,72
845|220|2,72
845|708|3,72
845|1124|3,72
845|877|5,72
845|324|8,72
845|452|8,72
845|524|8,72
145|220|1,73
145|708|2,73
145|1124|2,73
145|877|4,73
145|324|7,73
145|452|7,73
145|524|7,73
145|769|8,73
220|708|1,74
220|1124|1,74
220|877|3,74
220|324|6,74
220|452|6,74
220|524|6,74
220|769|7,74
220|381|8,74
708|1124|0,75
708|877|2,75
708|324|5,75
708|452|5,75
708|524|5,75
708|769|6,75
708|381|7,75
708|1236|7,75
1124|877|2,75
1124|324|5,75
1124|452|5,75
1124|524|5,75
1124|769|6,75
1124|381|7,75
1124|1236|7,75
1124|10|8,75
877|324|3,77
877|452|3,77
877|524|3,77
877|769|4,77
877|381|5,77
877|1236|5,77
877|10|6,77
877|941|7,77
324|452|0,80
324|524|0,80
324|769|1,80
324|381|2,80
324|1236|2,80
324|10|3,80
324|941|4,80
324|277|7,80
452|524|0,80
452|769|1,80
452|381|2,80
452|1236|2,80
452|10|3,80
452|941|4,80
452|277|7,80
452|796|7,80
524|769|1,80
524|381|2,80
524|1236|2,80
524|10|3,80
524|941|4,80
524|277|7,80
524|796|7,80
524|556|13,80
769|381|1,81
769|1236|1,81
769|10|2,81
769|941|3,81
769|277|6,81
769|796|6,81
769|556|12,81
769|123|14,81
381|1236|0,82
381|10|1,82
381|941|2,82
381|277|5,82
381|796|5,82
381|556|11,82
381|123|13,82
381|605|14,82
1236|10|1,82
1236|941|2,82
1236|277|5,82
1236|796|5,82
1236|556|11,82
1236|123|13,82
1236|605|14,82
1236|986|14,82
10|941|1,83
10|277|4,83
10|796|4,83
10|556|10,83
10|123|12,83
10|605|13,83
10|986|13,83
10|750|14,83
941|277|3,84
941|796|3,84
941|556|9,84
941|123|11,84
941|605|12,84
941|986|12,84
941|750|13,84
941|910|13,84
277|796|0,87
277|556|6,87
277|123|8,87
277|605|9,87
277|986|9,87
277|750|10,87
277|910|10,87
277|1209|10,87
796|556|6,87
796|123|8,87
796|605|9,87
796|986|9,87
796|750|10,87
796|910|10,87
796|1209|10,87
796|1071|11,87
556|123|2,93
556|605|3,93
556|986|3,93
556|750|4,93
556|910|4,93
556|1209|4,93
556|1071|5,93
556|1178|5,93
123|605|1,95
123|986|1,95
123|750|2,95
123|910|2,95
123|1209|2,95
123|1071|3,95
123|1178|3,95
123|94|7,95
605|986|0,96
605|750|1,96
605|910|1,96
605|1209|1,96
605|1071|2,96
605|1178|2,96
605|94|6,96
605|830|7,96
986|750|1,96
986|910|1,96
986|1209|1,96
986|1071|2,96
986|1178|2,96
986|94|6,96
986|830|7,96
986|10|23,96
750|910|0,97
750|1209|0,97
750|1071|1,97
750|1178|1,97
750|94|5,97
750|830|6,97
750|10|22,97
750|1096|28,97
910|1209|0,97
910|1071|1,97
910|1178|1,97
910|94|5,97
910|830|6,97
910|10|22,97
910|1096|28,97
910|608|29,97
1209|1071|1,97
1209|1178|1,97
1209|94|5,97
1209|830|6,97
1209|10|22,97
1209|1096|28,97
1209|608|29,97
1209|707|29,97
1071|1178|0,98
1071|94|4,98
1071|830|5,98
1071|10|21,98
1071|1096|27,98
1071|608|28,98
1071|707|28,98
1071|1147|28,98
1178|94|4,98
1178|830|5,98
1178|10|21,98
1178|1096|27,98
1178|608|28,98
1178|707|28,98
1178|1147|28,98
1178|554|29,98
94|830|1,102
94|10|17,102
94|1096|23,102
94|608|24,102
94|707|24,102
94|1147|24,102
94|554|25,102
94|821|25,102
830|10|16,103
830|1096|22,103
830|608|23,103
830|707|23,103
830|1147|23,103
830|554|24,103
830|821|24,103
830|1038|25,103
10|1096|6,119
10|608|7,119
10|707|7,119
10|1147|7,119
10|554|8,119
10|821|8,119
10|1038|9,119
10|423|12,119
1096|608|1,125
1096|707|1,125
1096|1147|1,125
1096|554|2,125
1096|821|2,125
1096|1038|3,125
1096|423|6,125
1096|878|7,125
608|707|0,126
608|1147|0,126
608|554|1,126
608|821|1,126
608|1038|2,126
