hash,time
210|451|4,40
210|113|5,40
210|172|7,40
210|368|9,40
210|259|10,40
210|100|29,40
210|251|40,40
210|56|43,40
451|113|1,44
451|172|3,44
451|368|5,44
451|259|6,44
451|100|25,44
451|251|36,44
451|56|39,44
451|176|43,44
113|172|2,45
113|368|4,45
113|259|5,45
113|100|24,45
113|251|35,45
113|56|38,45
113|176|42,45
113|111|46,45
172|368|2,47
172|259|3,47
172|100|22,47
172|251|33,47
172|56|36,47
172|176|40,47
172|111|44,47
172|376|55,47
368|259|1,49
368|100|20,49
368|251|31,49
368|56|34,49
368|176|38,49
368|111|42,49
368|376|53,49
368|149|68,49
259|100|19,50
259|251|30,50
259|56|33,50
259|176|37,50
259|111|41,50
259|376|52,50
259|149|67,50
259|112|83,50
100|251|11,69
100|56|14,69
100|176|18,69
100|111|22,69
100|376|33,69
100|149|48,69
100|112|64,69
100|367|67,69
251|56|3,80
251|176|7,80
251|111|11,80
251|376|22,80
251|149|37,80
251|112|53,80
251|367|56,80
251|56|64,80
56|176|4,83
56|111|8,83
56|376|19,83
56|149|34,83
56|112|50,83
56|367|53,83
56|56|61,83
56|176|67,83
176|111|4,87
176|376|15,87
176|149|30,87
176|112|46,87
176|367|49,87
176|56|57,87
176|176|63,87
176|112|82,87
111|376|11,91
111|149|26,91
111|112|42,91
111|367|45,91
111|56|53,91
111|176|59,91
111|112|78,91
111|375|79,91
376|149|15,102
376|112|31,102
376|367|34,102
376|56|42,102
376|176|48,102
376|112|67,102
376|375|68,102
376|111|99,102
149|112|16,117
149|367|19,117
149|56|27,117
149|176|33,117
149|112|52,117
149|375|53,117
149|111|84,117
149|150|89,117
112|367|3,133
112|56|11,133
112|176|17,133
112|112|36,133
112|375|37,133
112|111|68,133
112|150|73,133
112|55|79,133
367|56|8,136
367|176|14,136
367|112|33,136
367|375|34,136
367|111|65,136
367|150|70,136
367|55|76,136
367|365|81,136
56|176|6,144
56|112|25,144
56|375|26,144
56|111|57,144
56|150|62,144
56|55|68,144
56|365|73,144
56|377|93,144
176|112|19,150
176|375|20,150
176|111|51,150
176|150|56,150
176|55|62,150
176|365|67,150
176|377|87,150
176|25|97,150
112|375|1,169
112|111|32,169
112|150|37,169
112|55|43,169
112|365|48,169
112|377|68,169
112|25|78,169
112|176|85,169
375|111|31,170
375|150|36,170
375|55|42,170
375|365|47,170
375|377|67,170
375|25|77,170
375|176|84,170
375|140|85,170
111|150|5,201
111|55|11,201
111|365|16,201
111|377|36,201
111|25|46,201
111|176|53,201
111|140|54,201
111|111|58,201
150|55|6,206
150|365|11,206
150|377|31,206
150|25|41,206
