hash,time
349|432|0,10
349|779|0,10
349|734|1,10
349|825|2,10
349|534|5,10
349|163|8,10
349|224|8,10
349|40|11,10
432|779|0,10
432|734|1,10
432|825|2,10
432|534|5,10
432|163|8,10
432|224|8,10
432|40|11,10
432|441|35,10
779|734|1,10
779|825|2,10
779|534|5,10
779|163|8,10
779|224|8,10
779|40|11,10
779|441|35,10
779|307|38,10
734|825|1,11
734|534|4,11
734|163|7,11
734|224|7,11
734|40|10,11
734|441|34,11
734|307|37,11
734|701|37,11
825|534|3,12
825|163|6,12
825|224|6,12
825|40|9,12
825|441|33,12
825|307|36,12
825|701|36,12
825|196|53,12
534|163|3,15
534|224|3,15
534|40|6,15
534|441|30,15
534|307|33,15
534|701|33,15
534|196|50,15
534|22|52,15
163|224|0,18
163|40|3,18
163|441|27,18
163|307|30,18
163|701|30,18
163|196|47,18
163|22|49,18
163|885|65,18
224|40|3,18
224|441|27,18
224|307|30,18
224|701|30,18
224|196|47,18
224|22|49,18
224|885|65,18
224|358|66,18
40|441|24,21
40|307|27,21
40|701|27,21
40|196|44,21
40|22|46,21
40|885|62,21
40|358|63,21
40|421|63,21
441|307|3,45
441|701|3,45
441|196|20,45
441|22|22,45
441|885|38,45
441|358|39,45
441|421|39,45
441|502|39,45
307|701|0,48
307|196|17,48
307|22|19,48
307|885|35,48
307|358|36,48
307|421|36,48
307|502|36,48
307|551|36,48
701|196|17,48
701|22|19,48
701|885|35,48
701|358|36,48
701|421|36,48
701|502|36,48
701|551|36,48
701|634|36,48
196|22|2,65
196|885|18,65
196|358|19,65
196|421|19,65
196|502|19,65
196|551|19,65
196|634|19,65
196|281|20,65
22|885|16,67
22|358|17,67
22|421|17,67
22|502|17,67
22|551|17,67
22|634|17,67
22|281|18,67
22|839|18,67
885|358|1,83
885|421|1,83
885|502|1,83
885|551|1,83
885|634|1,83
885|281|2,83
885|839|2,83
885|219|4,83
358|421|0,84
358|502|0,84
358|551|0,84
358|634|0,84
358|281|1,84
358|839|1,84
358|219|3,84
358|163|7,84
421|502|0,84
421|551|0,84
421|634|0,84
421|281|1,84
421|839|1,84
421|219|3,84
421|163|7,84
421|120|19,84
502|551|0,84
502|634|0,84
502|281|1,84
502|839|1,84
502|219|3,84
502|163|7,84
502|120|19,84
502|18|29,84
551|634|0,84
551|281|1,84
551|839|1,84
551|219|3,84
551|163|7,84
551|120|19,84
551|18|29,84
551|555|49,84
634|281|1,84
634|839|1,84
634|219|3,84
634|163|7,84
634|120|19,84
634|18|29,84
634|555|49,84
634|94|57,84
281|839|0,85
281|219|2,85
281|163|6,85
281|120|18,85
281|18|28,85
281|555|48,85
281|94|56,85
281|654|63,85
839|219|2,85
839|163|6,85
839|120|18,85
839|18|28,85
839|555|48,85
839|94|56,85
839|654|63,85
839|18|83,85
219|163|4,87
219|120|16,87
219|18|26,87
219|555|46,87
219|94|54,87
219|654|61,87
219|18|81,87
219|228|89,87
163|120|12,91
163|18|22,91
163|555|42,91
163|94|50,91
163|654|57,91
163|18|77,91
163|228|85,91
163|151|86,91
120|18|10,103
120|555|30,103
120|94|38,103
120|654|45,103
120|18|65,103
120|228|73,103
120|151|74,103
120|300|74,103
18|555|20,113
18|94|28,113
18|654|35,113
18|18|55,113
18|228|63,113
18|151|64,113
18|300|64,113
18|549|64,113
555|94|8,133
555|654|15,133
555|18|35,133
555|228|43,133
555|151|44,133
555|300|44,133
555|549|44,133
555|603|44,133
94|654|7,141
94|18|27,141
94|228|35,141
94|151|36,141
94|300|36,141
94|549|36,141
94|603|36,141
94|90|100,141
654|18|20,148
654|228|28,148
654|151|29,148
654|300|29,148
654|549|29,148
654|603|29,148
654|90|93,148
654|181|94,148
18|228|8,168
18|151|9,168
18|300|9,168
18|549|9,168
18|603|9,168
18|90|73,168
18|181|74,168
18|244|74,168
228|151|1,176
228|300|1,176
228|549|1,176
228|603|1,176
228|90|65,176
228|181|66,176
228|244|66,176
228|298|66,176
151|300|0,177
151|549|0,177
151|603|0,177
151|90|64,177
151|181|65,177
151|244|65,177
151|298|65,177
151|151|69,177
300|549|0,177
300|603|0,177
300|90|64,177
300|181|65,177
300|244|65,177
300|298|65,177
300|151|69,177
300|288|100,177
549|603|0,177
549|90|64,177
549|181|65,177
549|244|65,177
549|298|65,177
549|151|69,177
549|288|100,177
549|325|100,177
603|90|64,177
603|181|65,177
603|244|65,177
603|298|65,177
603|151|69,177
603|288|100,177
603|325|100,177
603|466|100,177
90|181|1,241
90|244|1,241
90|298|1,241
90|151|5,241
90|288|36,241
90|325|36,241
90|466|36,241
90|528|36,241
181|244|0,242
181|298|0,242
181|151|4,242
181|288|35,242
181|325|35,242
181|466|35,242
181|528|35,242
181|648|35,242
244|298|0,242
244|151|4,242
244|288|35,242
244|325|35,242
244|466|35,242
244|528|35,242
244|648|35,242
244|712|35,242
298|151|4,242
298|288|35,242
298|325|35,242
298|466|35,242
298|528|35,242
298|648|35,242
298|712|35,242
298|770|35,242
151|288|31,246
151|325|31,246
151|466|31,246
151|528|31,246
151|648|31,246
151|712|31,246
151|770|31,246
151|889|31,246
288|325|0,277
288|466|0,277
288|528|0,277
288|648|0,277
288|712|0,277
288|770|0,277
288|889|0,277
288|933|0,277
325|466|0,277
325|528|0,277
325|648|0,277
325|712|0,277
325|770|0,277
325|889|0,277
325|933|0,277
325|980|0,277
466|528|0,277
466|648|0,277
466|712|0,277
466|770|0,277
466|889|0,277
466|933|0,277
466|980|0,277
466|224|2,277
528|648|0,277
528|712|0,277
528|770|0,277
528|889|0,277
528|933|0,277
528|980|0,277
528|224|2,277
528|16|3,277
648|712|0,277
648|770|0,277
648|889|0,277
648|933|0,277
648|980|0,277
648|224|2,277
648|16|3,277
648|49|5,277
712|770|0,277
712|889|0,277
712|933|0,277
712|980|0,277
712|224|2,277
712|16|3,277
712|49|5,277
712|88|13,277
770|889|0,277
770|933|0,277
770|980|0,277
770|224|2,277
770|16|3,277
770|49|5,277
770|88|13,277
770|19|37,277
889|933|0,277
889|980|0,277
889|224|2,277
889|16|3,277
889|49|5,277
889|88|13,277
889|19|37,277
889|304|42,277
933|980|0,277
933|224|2,277
933|16|3,277
933|49|5,277
933|88|13,277
933|19|37,277
933|304|42,277
933|571|47,277
980|224|2,277
980|16|3,277
980|49|5,277
980|88|13,277
980|19|37,277
980|304|42,277
980|571|47,277
980|738|52,277
224|16|1,279
224|49|3,279
224|88|11,279
224|19|35,279
224|304|40,279
224|571|45,279
224|738|50,279
224|45|53,279
16|49|2,280
16|88|10,280
16|19|34,280
16|304|39,280
16|571|44,280
16|738|49,280
16|45|52,280
16|181|53,280
49|88|8,282
49|19|32,282
49|304|37,282
49|571|42,282
49|738|47,282
49|45|50,282
49|181|51,282
49|237|57,282
88|19|24,290
88|304|29,290
88|571|34,290
88|738|39,290
88|45|42,290
88|181|43,290
88|237|49,290
88|463|52,290
19|304|5,314
19|571|10,314
19|738|15,314
19|45|18,314
19|181|19,314
19|237|25,314
19|463|28,314
19|25|46,314
304|571|5,319
304|738|10,319
304|45|13,319
304|181|14,319
304|237|20,319
304|463|23,319
304|25|41,319
304|227|41,319
571|738|5,324
571|45|8,324
571|181|9,324
571|237|15,324
571|463|18,324
571|25|36,324
571|227|36,324
571|302|36,324
738|45|3,329
738|181|4,329
738|237|10,329
738|463|13,329
738|25|31,329
738|227|31,329
738|302|31,329
738|352|32,329
45|181|1,332
45|237|7,332
45|463|10,332
45|25|28,332
45|227|28,332
45|302|28,332
45|352|29,332
45|554|29,332
181|237|6,333
181|463|9,333
181|25|27,333
181|227|27,333
181|302|27,333
181|352|28,333
181|554|28,333
181|629|28,333
237|463|3,339
237|25|21,339
237|227|21,339
237|302|21,339
237|352|22,339
237|554|22,339
237|629|22,339
237|705|22,339
463|25|18,342
463|227|18,342
463|302|18,342
463|352|19,342
463|554|19,342
463|629|19,342
463|705|19,342
463|178|27,342
25|227|0,360
25|302|0,360
25|352|1,360
25|554|1,360
25|629|1,360
25|705|1,360
25|178|9,360
25|298|32,360
227|302|0,360
227|352|1,360
227|554|1,360
227|629|1,360
227|705|1,360
227|178|9,360
227|298|32,360
227|51|37,360
302|352|1,360
302|554|1,360
302|629|1,360
302|705|1,360
302|178|9,360
302|298|32,360
302|51|37,360
302|451|40,360
352|554|0,361
352|629|0,361
352|705|0,361
352|178|8,361
352|298|31,361
352|51|36,361
352|451|39,361
352|134|40,361
554|629|0,361
554|705|0,361
554|178|8,361
554|298|31,361
554|51|36,361
554|451|39,361
554|134|40,361
554|17|43,361
629|705|0,361
629|178|8,361
629|298|31,361
629|51|36,361
629|451|39,361
629|134|40,361
629|17|43,361
629|252|60,361
705|178|8,361
705|298|31,361
705|51|36,361
705|451|39,361
705|134|40,361
705|17|43,361
705|252|60,361
705|637|61,361
178|298|23,369
178|51|28,369
178|451|31,369
178|134|32,369
178|17|35,369
178|252|52,369
178|637|53,369
178|570|54,369
298|51|5,392
298|451|8,392
298|134|9,392
298|17|12,392
298|252|29,392
298|637|30,392
298|570|31,392
298|529|38,392
51|451|3,397
51|134|4,397
51|17|7,397
51|252|24,397
51|637|25,397
51|570|26,397
51|529|33,397
51|148|52,397
451|134|1,400
451|17|4,400
451|252|21,400
451|637|22,400
451|570|23,400
451|529|30,400
451|148|49,400
451|16|65,400
134|17|3,401
134|252|20,401
134|637|21,401
134|570|22,401
134|529|29,401
134|148|48,401
134|16|64,401
134|298|67,401
17|252|17,404
17|637|18,404
17|570|19,404
17|529|26,404
17|148|45,404
17|16|61,404
17|298|64,404
17|84|75,404
252|637|1,421
252|570|2,421
252|529|9,421
252|148|28,421
252|16|44,421
252|298|47,421
252|84|58,421
252|22|122,421
637|570|1,422
637|529|8,422
637|148|27,422
637|16|43,422
637|298|46,422
637|84|57,422
637|22|121,422
637|117|122,422
570|529|7,423
570|148|26,423
570|16|42,423
570|298|45,423
570|84|56,423
570|22|120,423
570|117|121,423
570|230|121,423
529|148|19,430
529|16|35,430
529|298|38,430
529|84|49,430
529|22|113,430
529|117|114,430
529|230|114,430
529|186|116,430
148|16|16,449
148|298|19,449
148|84|30,449
148|22|94,449
148|117|95,449
148|230|95,449
148|186|97,449
148|84|102,449
16|298|3,465
16|84|14,465
16|22|78,465
16|117|79,465
16|230|79,465
16|186|81,465
16|84|86,465
16|293|103,465
298|84|11,468
298|22|75,468
298|117|76,468
298|230|76,468
298|186|78,468
298|84|83,468
298|293|100,468
298|158|116,468
84|22|64,479
84|117|65,479
84|230|65,479
84|186|67,479
84|84|72,479
84|293|89,479
84|158|105,479
84|836|137,479
22|117|1,543
22|230|1,543
22|186|3,543
22|84|8,543
22|293|25,543
22|158|41,543
22|836|73,543
22|917|73,543
117|230|0,544
117|186|2,544
117|84|7,544
117|293|24,544
117|158|40,544
117|836|72,544
117|917|72,544
117|298|73,544
230|186|2,544
230|84|7,544
230|293|24,544
230|158|40,544
230|836|72,544
230|917|72,544
230|298|73,544
230|386|73,544
186|84|5,546
186|293|22,546
186|158|38,546
186|836|70,546
186|917|70,546
186|298|71,546
186|386|71,546
186|430|71,546
84|293|17,551
84|158|33,551
84|836|65,551
84|917|65,551
84|298|66,551
84|386|66,551
84|430|66,551
84|623|66,551
293|158|16,568
293|836|48,568
293|917|48,568
293|298|49,568
293|386|49,568
293|430|49,568
293|623|49,568
293|660|49,568
158|836|32,584
158|917|32,584
158|298|33,584
158|386|33,584
158|430|33,584
158|623|33,584
158|660|33,584
158|693|33,584
836|917|0,616
836|298|1,616
836|386|1,616
836|430|1,616
836|623|1,616
836|660|1,616
836|693|1,616
836|118|2,616
917|298|1,616
917|386|1,616
917|430|1,616
917|623|1,616
917|660|1,616
917|693|1,616
917|118|2,616
917|581|2,616
298|386|0,617
298|430|0,617
298|623|0,617
298|660|0,617
298|693|0,617
298|118|1,617
298|581|1,617
298|84|2,617
386|430|0,617
386|623|0,617
386|660|0,617
386|693|0,617
386|118|1,617
386|581|1,617
386|84|2,617
386|354|5,617
430|623|0,617
430|660|0,617
430|693|0,617
430|118|1,617
430|581|1,617
430|84|2,617
430|354|5,617
430|166|11,617
623|660|0,617
623|693|0,617
623|118|1,617
623|581|1,617
623|84|2,617
623|354|5,617
623|166|11,617
623|238|19,617
660|693|0,617
660|118|1,617
660|581|1,617
660|84|2,617
660|354|5,617
660|166|11,617
660|238|19,617
660|34|20,617
693|118|1,617
693|581|1,617
693|84|2,617
693|354|5,617
693|166|11,617
693|238|19,617
693|34|20,617
693|686|36,617
118|581|0,618
118|84|1,618
118|354|4,618
118|166|10,618
118|238|18,618
118|34|19,618
118|686|35,618
118|298|38,618
581|84|1,618
581|354|4,618
581|166|10,618
581|238|18,618
581|34|19,618
581|686|35,618
581|298|38,618
581|226|40,618
84|354|3,619
84|166|9,619
84|238|17,619
84|34|18,619
84|686|34,619
84|298|37,619
84|226|39,619
84|57|43,619
354|166|6,622
354|238|14,622
354|34|15,622
354|686|31,622
354|298|34,622
354|226|36,622
354|57|40,622
354|324|43,622
166|238|8,628
166|34|9,628
166|686|25,628
166|298|28,628
166|226|30,628
166|57|34,628
166|324|37,628
166|19|40,628
238|34|1,636
238|686|17,636
238|298|20,636
238|226|22,636
238|57|26,636
238|324|29,636
238|19|32,636
238|134|33,636
34|686|16,637
34|298|19,637
34|226|21,637
34|57|25,637
34|324|28,637
34|19|31,637
34|134|32,637
34|1006|46,637
686|298|3,653
686|226|5,653
686|57|9,653
686|324|12,653
686|19|15,653
686|134|16,653
686|1006|30,653
686|930|32,653
298|226|2,656
298|57|6,656
298|324|9,656
298|19|12,656
298|134|13,656
298|1006|27,656
298|930|29,656
298|699|30,656
226|57|4,658
226|324|7,658
226|19|10,658
226|134|11,658
226|1006|25,658
226|930|27,658
226|699|28,658
226|663|30,658
57|324|3,662
57|19|6,662
57|134|7,662
57|1006|21,662
57|930|23,662
57|699|24,662
57|663|26,662
57|508|27,662
324|19|3,665
324|134|4,665
324|1006|18,665
324|930|20,665
324|699|21,665
324|663|23,665
324|508|24,665
324|614|24,665
19|134|1,668
19|1006|15,668
19|930|17,668
19|699|18,668
19|663|20,668
19|508|21,668
19|614|21,668
19|817|21,668
134|1006|14,669
134|930|16,669
134|699|17,669
134|663|19,669
134|508|20,669
134|614|20,669
134|817|20,669
134|561|21,669
1006|930|2,683
1006|699|3,683
1006|663|5,683
1006|508|6,683
1006|614|6,683
1006|817|6,683
1006|561|7,683
1006|464|8,683
930|699|1,685
930|663|3,685
930|508|4,685
930|614|4,685
930|817|4,685
930|561|5,685
930|464|6,685
930|981|6,685
699|663|2,686
699|508|3,686
699|614|3,686
699|817|3,686
699|561|4,686
699|464|5,686
699|981|5,686
699|59|13,686
663|508|1,688
663|614|1,688
663|817|1,688
663|561|2,688
663|464|3,688
663|981|3,688
663|59|11,688
663|139|15,688
508|614|0,689
508|817|0,689
508|561|1,689
508|464|2,689
508|981|2,689
508|59|10,689
508|139|14,689
508|318|17,689
614|817|0,689
614|561|1,689
614|464|2,689
614|981|2,689
614|59|10,689
614|139|14,689
614|318|17,689
