hash,time
133|80|4,59
133|26|23,59
133|79|63,59
133|132|63,59
133|26|77,59
133|132|130,59
133|184|130,59
133|80|138,59
80|26|19,63
80|79|59,63
80|132|59,63
80|26|73,63
80|132|126,63
80|184|126,63
80|80|134,63
80|26|141,63
26|79|40,82
26|132|40,82
26|26|54,82
26|132|107,82
26|184|107,82
26|80|115,82
26|26|122,82
26|26|175,82
79|132|0,122
79|26|14,122
79|132|67,122
79|184|67,122
79|80|75,122
79|26|82,122
79|26|135,122
79|79|135,122
132|26|14,122
132|132|67,122
132|184|67,122
132|80|75,122
132|26|82,122
132|26|135,122
132|79|135,122
132|132|136,122
26|132|53,136
26|184|53,136
26|80|61,136
26|26|68,136
26|26|121,136
26|79|121,136
26|132|122,136
26|21|153,136
132|184|0,189
132|80|8,189
132|26|15,189
132|26|68,189
132|79|68,189
132|132|69,189
132|21|100,189
132|550|120,189
184|80|8,189
184|26|15,189
184|26|68,189
184|79|68,189
184|132|69,189
184|21|100,189
184|550|120,189
184|79|135,189
80|26|7,197
80|26|60,197
80|79|60,197
80|132|61,197
80|21|92,197
80|550|112,197
80|79|127,197
80|132|127,197
26|26|53,204
26|79|53,204
26|132|54,204
26|21|85,204
26|550|105,204
26|79|120,204
26|132|120,204
26|550|173,204
26|79|0,257
26|132|1,257
26|21|32,257
26|550|52,257
26|79|67,257
26|132|67,257
26|550|120,257
26|27|136,257
79|132|1,257
79|21|32,257
79|550|52,257
79|79|67,257
79|132|67,257
79|550|120,257
79|27|136,257
79|80|137,257
132|21|31,258
132|550|51,258
132|79|66,258
132|132|66,258
132|550|119,258
132|27|135,258
132|80|136,258
132|133|137,258
21|550|20,289
21|79|35,289
21|132|35,289
21|550|88,289
21|27|104,289
21|80|105,289
21|133|106,289
21|454|135,289
550|79|15,309
550|132|15,309
550|550|68,309
550|27|84,309
550|80|85,309
550|133|86,309
550|454|115,309
550|63|116,309
79|132|0,324
79|550|53,324
79|27|69,324
79|80|70,324
79|133|71,324
79|454|100,324
79|63|101,324
79|126|101,324
132|550|53,324
132|27|69,324
132|80|70,324
132|133|71,324
132|454|100,324
132|63|101,324
132|126|101,324
132|186|131,324
550|27|16,377
550|80|17,377
550|133|18,377
550|454|47,377
550|63|48,377
550|126|48,377
550|186|78,377
550|132|81,377
27|80|1,393
27|133|2,393
27|454|31,393
27|63|32,393
27|126|32,393
27|186|62,393
27|132|65,393
27|288|72,393
80|133|1,394
80|454|30,394
80|63|31,394
80|126|31,394
