hash,time
308|64|4,105
308|86|4,105
308|43|5,105
308|129|5,105
308|151|5,105
308|173|5,105
308|195|5,105
308|216|5,105
64|86|0,109
64|43|1,109
64|129|1,109
64|151|1,109
64|173|1,109
64|195|1,109
64|216|1,109
64|260|1,109
86|43|1,109
86|129|1,109
86|151|1,109
86|173|1,109
86|195|1,109
86|216|1,109
86|260|1,109
86|347|1,109
43|129|0,110
43|151|0,110
43|173|0,110
43|195|0,110
43|216|0,110
43|260|0,110
43|347|0,110
43|520|0,110
129|151|0,110
129|173|0,110
129|195|0,110
129|216|0,110
129|260|0,110
129|347|0,110
129|520|0,110
129|390|1,110
151|173|0,110
151|195|0,110
151|216|0,110
151|260|0,110
151|347|0,110
151|520|0,110
151|390|1,110
151|620|3,110
173|195|0,110
173|216|0,110
173|260|0,110
173|347|0,110
173|520|0,110
173|390|1,110
173|620|3,110
173|335|24,110
195|216|0,110
195|260|0,110
195|347|0,110
195|520|0,110
195|390|1,110
195|620|3,110
195|335|24,110
195|405|24,110
216|260|0,110
216|347|0,110
216|520|0,110
216|390|1,110
216|620|3,110
216|335|24,110
216|405|24,110
216|460|24,110
260|347|0,110
260|520|0,110
260|390|1,110
260|620|3,110
260|335|24,110
260|405|24,110
260|460|24,110
260|525|24,110
347|520|0,110
347|390|1,110
347|620|3,110
347|335|24,110
347|405|24,110
347|460|24,110
347|525|24,110
347|576|24,110
520|390|1,110
520|620|3,110
520|335|24,110
520|405|24,110
520|460|24,110
520|525|24,110
520|576|24,110
520|642|24,110
390|620|2,111
390|335|23,111
390|405|23,111
390|460|23,111
390|525|23,111
390|576|23,111
390|642|23,111
390|696|23,111
620|335|21,113
620|405|21,113
620|460|21,113
620|525|21,113
620|576|21,113
620|642|21,113
620|696|21,113
620|732|21,113
335|405|0,134
335|460|0,134
335|525|0,134
335|576|0,134
335|642|0,134
335|696|0,134
335|732|0,134
335|778|0,134
405|460|0,134
405|525|0,134
405|576|0,134
405|642|0,134
405|696|0,134
405|732|0,134
405|778|0,134
405|814|0,134
460|525|0,134
460|576|0,134
460|642|0,134
460|696|0,134
460|732|0,134
460|778|0,134
460|814|0,134
460|862|0,134
525|576|0,134
525|642|0,134
525|696|0,134
525|732|0,134
525|778|0,134
525|814|0,134
525|862|0,134
525|910|0,134
576|642|0,134
576|696|0,134
576|732|0,134
576|778|0,134
576|814|0,134
576|862|0,134
576|910|0,134
576|986|0,134
642|696|0,134
642|732|0,134
642|778|0,134
642|814|0,134
642|862|0,134
642|910|0,134
642|986|0,134
642|87|3,134
696|732|0,134
696|778|0,134
696|814|0,134
696|862|0,134
696|910|0,134
696|986|0,134
696|87|3,134
696|22|5,134
732|778|0,134
732|814|0,134
732|862|0,134
732|910|0,134
732|986|0,134
732|87|3,134
732|22|5,134
732|45|5,134
778|814|0,134
778|862|0,134
778|910|0,134
778|986|0,134
778|87|3,134
778|22|5,134
778|45|5,134
778|134|5,134
814|862|0,134
814|910|0,134
814|986|0,134
814|87|3,134
814|22|5,134
814|45|5,134
814|134|5,134
814|157|5,134
862|910|0,134
862|986|0,134
862|87|3,134
862|22|5,134
862|45|5,134
862|134|5,134
862|157|5,134
862|179|5,134
910|986|0,134
910|87|3,134
910|22|5,134
910|45|5,134
910|134|5,134
910|157|5,134
910|179|5,134
910|202|5,134
986|87|3,134
986|22|5,134
986|45|5,134
986|134|5,134
986|157|5,134
986|179|5,134
986|202|5,134
986|224|5,134
87|22|2,137
87|45|2,137
87|134|2,137
87|157|2,137
87|179|2,137
87|202|2,137
87|224|2,137
87|268|2,137
22|45|0,139
22|134|0,139
22|157|0,139
22|179|0,139
22|202|0,139
22|224|0,139
22|268|0,139
22|291|0,139
45|134|0,139
45|157|0,139
45|179|0,139
45|202|0,139
45|224|0,139
45|268|0,139
45|291|0,139
45|380|0,139
134|157|0,139
134|179|0,139
134|202|0,139
134|224|0,139
134|268|0,139
134|291|0,139
134|380|0,139
134|484|31,139
157|179|0,139
157|202|0,139
157|224|0,139
157|268|0,139
157|291|0,139
157|380|0,139
157|484|31,139
157|24|33,139
179|202|0,139
179|224|0,139
179|268|0,139
179|291|0,139
179|380|0,139
179|484|31,139
179|24|33,139
179|96|33,139
202|224|0,139
202|268|0,139
202|291|0,139
202|380|0,139
202|484|31,139
202|24|33,139
202|96|33,139
202|123|33,139
224|268|0,139
224|291|0,139
224|380|0,139
224|484|31,139
224|24|33,139
224|96|33,139
224|123|33,139
224|289|33,139
268|291|0,139
268|380|0,139
268|484|31,139
268|24|33,139
268|96|33,139
268|123|33,139
268|289|33,139
268|360|33,139
291|380|0,139
291|484|31,139
291|24|33,139
291|96|33,139
291|123|33,139
291|289|33,139
291|360|33,139
291|623|33,139
380|484|31,139
380|24|33,139
380|96|33,139
380|123|33,139
380|289|33,139
380|360|33,139
380|623|33,139
380|47|34,139
484|24|2,170
484|96|2,170
484|123|2,170
484|289|2,170
484|360|2,170
484|623|2,170
484|47|3,170
484|71|3,170
24|96|0,172
24|123|0,172
24|289|0,172
24|360|0,172
24|623|0,172
24|47|1,172
24|71|1,172
24|163|3,172
96|123|0,172
96|289|0,172
96|360|0,172
96|623|0,172
96|47|1,172
96|71|1,172
96|163|3,172
96|224|4,172
123|289|0,172
123|360|0,172
123|623|0,172
123|47|1,172
123|71|1,172
123|163|3,172
123|224|4,172
123|642|5,172
289|360|0,172
289|623|0,172
289|47|1,172
289|71|1,172
289|163|3,172
289|224|4,172
289|642|5,172
289|526|7,172
360|623|0,172
360|47|1,172
360|71|1,172
360|163|3,172
360|224|4,172
360|642|5,172
360|526|7,172
360|597|8,172
623|47|1,172
623|71|1,172
623|163|3,172
623|224|4,172
623|642|5,172
623|526|7,172
623|597|8,172
623|699|32,172
47|71|0,173
47|163|2,173
47|224|3,173
47|642|4,173
47|526|6,173
47|597|7,173
47|699|31,173
47|777|31,173
71|163|2,173
71|224|3,173
71|642|4,173
71|526|6,173
71|597|7,173
71|699|31,173
71|777|31,173
71|36|32,173
163|224|1,175
163|642|2,175
163|526|4,175
163|597|5,175
163|699|29,175
163|777|29,175
163|36|30,175
163|244|30,175
224|642|1,176
224|526|3,176
224|597|4,176
224|699|28,176
224|777|28,176
224|36|29,176
224|244|29,176
224|465|29,176
642|526|2,177
642|597|3,177
642|699|27,177
642|777|27,177
642|36|28,177
642|244|28,177
642|465|28,177
642|73|30,177
526|597|1,179
526|699|25,179
526|777|25,179
526|36|26,179
526|244|26,179
526|465|26,179
526|73|28,179
526|180|29,179
597|699|24,180
597|777|24,180
597|36|25,180
597|244|25,180
597|465|25,180
597|73|27,180
597|180|28,180
597|432|28,180
699|777|0,204
699|36|1,204
699|244|1,204
699|465|1,204
699|73|3,204
699|180|4,204
699|432|4,204
699|502|4,204
777|36|1,204
777|244|1,204
777|465|1,204
777|73|3,204
777|180|4,204
777|432|4,204
777|502|4,204
777|540|4,204
36|244|0,205
36|465|0,205
36|73|2,205
36|180|3,205
36|432|3,205
36|502|3,205
36|540|3,205
36|575|3,205
244|465|0,205
244|73|2,205
244|180|3,205
244|432|3,205
244|502|3,205
244|540|3,205
244|575|3,205
244|808|4,205
465|73|2,205
465|180|3,205
465|432|3,205
465|502|3,205
465|540|3,205
465|575|3,205
465|808|4,205
465|109|5,205
73|180|1,207
73|432|1,207
73|502|1,207
73|540|1,207
73|575|1,207
73|808|2,207
73|109|3,207
73|384|3,207
180|432|0,208
180|502|0,208
180|540|0,208
180|575|0,208
180|808|1,208
