hash,time
551|124|2,164
551|217|9,164
551|606|21,164
551|37|22,164
551|318|24,164
551|512|26,164
551|562|33,164
551|113|34,164
124|217|7,166
124|606|19,166
124|37|20,166
124|318|22,166
124|512|24,166
124|562|31,166
124|113|32,166
124|218|61,166
217|606|12,173
217|37|13,173
217|318|15,173
217|512|17,173
217|562|24,173
217|113|25,173
217|218|54,173
217|170|56,173
606|37|1,185
606|318|3,185
606|512|5,185
606|562|12,185
606|113|13,185
606|218|42,185
606|170|44,185
606|312|64,185
37|318|2,186
37|512|4,186
37|562|11,186
37|113|12,186
37|218|41,186
37|170|43,186
37|312|63,186
37|604|71,186
318|512|2,188
318|562|9,188
318|113|10,188
318|218|39,188
318|170|41,188
318|312|61,188
318|604|69,188
318|491|73,188
512|562|7,190
512|113|8,190
512|218|37,190
512|170|39,190
512|312|59,190
512|604|67,190
512|491|71,190
512|556|72,190
562|113|1,197
562|218|30,197
562|170|32,197
562|312|52,197
562|604|60,197
562|491|64,197
562|556|65,197
562|106|66,197
113|218|29,198
113|170|31,198
113|312|51,198
113|604|59,198
113|491|63,198
113|556|64,198
113|106|65,198
113|376|71,198
218|170|2,227
218|312|22,227
218|604|30,227
218|491|34,227
218|556|35,227
218|106|36,227
218|376|42,227
218|76|44,227
170|312|20,229
170|604|28,229
170|491|32,229
170|556|33,229
170|106|34,229
170|376|40,229
170|76|42,229
170|227|55,229
312|604|8,249
312|491|12,249
312|556|13,249
312|106|14,249
312|376|20,249
312|76|22,249
312|227|35,249
312|292|35,249
604|491|4,257
604|556|5,257
604|106|6,257
604|376|12,257
604|76|14,257
604|227|27,257
604|292|27,257
604|580|47,257
491|556|1,261
491|106|2,261
491|376|8,261
491|76|10,261
491|227|23,261
491|292|23,261
491|580|43,261
491|76|45,261
556|106|1,262
556|376|7,262
556|76|9,262
556|227|22,262
556|292|22,262
556|580|42,262
556|76|44,262
556|716|44,262
106|376|6,263
106|76|8,263
106|227|21,263
106|292|21,263
106|580|41,263
106|76|43,263
106|716|43,263
106|244|78,263
376|76|2,269
376|227|15,269
376|292|15,269
376|580|35,269
376|76|37,269
376|716|37,269
376|244|72,269
376|304|78,269
76|227|13,271
76|292|13,271
76|580|33,271
76|76|35,271
76|716|35,271
76|244|70,271
76|304|76,271
76|87|78,271
227|292|0,284
227|580|20,284
227|76|22,284
227|716|22,284
227|244|57,284
227|304|63,284
227|87|65,284
227|131|65,284
292|580|20,284
292|76|22,284
292|716|22,284
292|244|57,284
292|304|63,284
