hash,time
256|402|0,11
256|499|0,11
256|560|0,11
256|621|0,11
256|662|0,11
256|721|0,11
256|285|3,11
256|155|4,11
402|499|0,11
402|560|0,11
402|621|0,11
402|662|0,11
402|721|0,11
402|285|3,11
402|155|4,11
402|11|12,11
499|560|0,11
499|621|0,11
499|662|0,11
499|721|0,11
499|285|3,11
499|155|4,11
499|11|12,11
499|329|16,11
560|621|0,11
560|662|0,11
560|721|0,11
560|285|3,11
560|155|4,11
560|11|12,11
560|329|16,11
560|365|18,11
621|662|0,11
621|721|0,11
621|285|3,11
621|155|4,11
621|11|12,11
621|329|16,11
621|365|18,11
621|517|20,11
662|721|0,11
662|285|3,11
662|155|4,11
662|11|12,11
662|329|16,11
662|365|18,11
662|517|20,11
662|646|20,11
721|285|3,11
721|155|4,11
721|11|12,11
721|329|16,11
721|365|18,11
721|517|20,11
721|646|20,11
721|204|21,11
285|155|1,14
285|11|9,14
285|329|13,14
285|365|15,14
285|517|17,14
285|646|17,14
285|204|18,14
285|101|22,14
155|11|8,15
155|329|12,15
155|365|14,15
155|517|16,15
155|646|16,15
155|204|17,15
155|101|21,15
155|459|36,15
11|329|4,23
11|365|6,23
11|517|8,23
11|646|8,23
11|204|9,23
11|101|13,23
11|459|28,23
11|151|30,23
329|365|2,27
329|517|4,27
329|646|4,27
329|204|5,27
329|101|9,27
329|459|24,27
329|151|26,27
329|6|27,27
365|517|2,29
365|646|2,29
365|204|3,29
365|101|7,29
365|459|22,29
365|151|24,29
365|6|25,29
365|63|31,29
517|646|0,31
517|204|1,31
517|101|5,31
517|459|20,31
517|151|22,31
517|6|23,31
517|63|29,31
517|37|37,31
646|204|1,31
646|101|5,31
646|459|20,31
646|151|22,31
646|6|23,31
646|63|29,31
646|37|37,31
646|416|50,31
204|101|4,32
204|459|19,32
204|151|21,32
204|6|22,32
204|63|28,32
204|37|36,32
204|416|49,32
204|180|51,32
101|459|15,36
101|151|17,36
101|6|18,36
101|63|24,36
101|37|32,36
101|416|45,36
101|180|47,36
101|283|50,36
459|151|2,51
459|6|3,51
459|63|9,51
459|37|17,51
459|416|30,51
459|180|32,51
459|283|35,51
459|38|50,51
151|6|1,53
151|63|7,53
151|37|15,53
151|416|28,53
151|180|30,53
151|283|33,53
151|38|48,53
151|120|58,53
6|63|6,54
6|37|14,54
6|416|27,54
6|180|29,54
6|283|32,54
6|38|47,54
6|120|57,54
6|418|57,54
63|37|8,60
63|416|21,60
63|180|23,60
63|283|26,60
63|38|41,60
63|120|51,60
63|418|51,60
63|209|52,60
37|416|13,68
37|180|15,68
