hash,time
124|252|1,46
124|11|19,46
124|135|25,46
124|249|40,46
124|68|61,46
124|597|63,46
124|679|63,46
124|226|64,46
252|11|18,47
252|135|24,47
252|249|39,47
252|68|60,47
252|597|62,47
252|679|62,47
252|226|63,47
252|368|63,47
11|135|6,65
11|249|21,65
11|68|42,65
11|597|44,65
11|679|44,65
11|226|45,65
11|368|45,65
11|858|45,65
135|249|15,71
135|68|36,71
135|597|38,71
135|679|38,71
135|226|39,71
135|368|39,71
135|858|39,71
135|311|40,71
249|68|21,86
249|597|23,86
249|679|23,86
249|226|24,86
249|368|24,86
249|858|24,86
249|311|25,86
249|141|27,86
68|597|2,107
68|679|2,107
68|226|3,107
68|368|3,107
68|858|3,107
68|311|4,107
68|141|6,107
68|539|6,107
597|679|0,109
597|226|1,109
597|368|1,109
597|858|1,109
597|311|2,109
597|141|4,109
597|539|4,109
597|424|7,109
679|226|1,109
679|368|1,109
679|858|1,109
679|311|2,109
679|141|4,109
679|539|4,109
679|424|7,109
679|707|40,109
226|368|0,110
226|858|0,110
226|311|1,110
226|141|3,110
226|539|3,110
226|424|6,110
226|707|39,110
226|34|41,110
368|858|0,110
368|311|1,110
368|141|3,110
368|539|3,110
368|424|6,110
368|707|39,110
368|34|41,110
368|135|41,110
858|311|1,110
858|141|3,110
858|539|3,110
858|424|6,110
858|707|39,110
858|34|41,110
858|135|41,110
858|218|41,110
311|141|2,111
311|539|2,111
311|424|5,111
311|707|38,111
311|34|40,111
311|135|40,111
311|218|40,111
311|364|40,111
141|539|0,113
141|424|3,113
141|707|36,113
141|34|38,113
141|135|38,113
141|218|38,113
141|364|38,113
141|6|58,113
539|424|3,113
539|707|36,113
539|34|38,113
539|135|38,113
539|218|38,113
539|364|38,113
539|6|58,113
539|274|78,113
424|707|33,116
424|34|35,116
424|135|35,116
424|218|35,116
424|364|35,116
424|6|55,116
424|274|75,116
424|34|76,116
707|34|2,149
707|135|2,149
707|218|2,149
707|364|2,149
707|6|22,149
707|274|42,149
707|34|43,149
707|218|45,149
34|135|0,151
34|218|0,151
34|364|0,151
34|6|20,151
34|274|40,151
34|34|41,151
34|218|43,151
34|318|43,151
135|218|0,151
135|364|0,151
135|6|20,151
135|274|40,151
135|34|41,151
135|218|43,151
135|318|43,151
135|68|59,151
218|364|0,151
218|6|20,151
218|274|40,151
218|34|41,151
218|218|43,151
218|318|43,151
218|68|59,151
218|135|61,151
364|6|20,151
364|274|40,151
364|34|41,151
364|218|43,151
364|318|43,151
364|68|59,151
364|135|61,151
364|364|62,151
6|274|20,171
6|34|21,171
6|218|23,171
6|318|23,171
6|68|39,171
6|135|41,171
6|364|42,171
6|19|83,171
274|34|1,191
274|218|3,191
274|318|3,191
274|68|19,191
274|135|21,191
274|364|22,191
274|19|63,191
274|364|65,191
34|218|2,192
34|318|2,192
34|68|18,192
34|135|20,192
34|364|21,192
34|19|62,192
34|364|64,192
34|208|67,192
218|318|0,194
218|68|16,194
218|135|18,194
218|364|19,194
218|19|60,194
218|364|62,194
218|208|65,194
218|141|81,194
318|68|16,194
318|135|18,194
318|364|19,194
318|19|60,194
318|364|62,194
318|208|65,194
318|141|81,194
318|38|83,194
68|135|2,210
68|364|3,210
68|19|44,210
68|364|46,210
68|208|49,210
68|141|65,210
68|38|67,210
68|169|70,210
135|364|1,212
135|19|42,212
135|364|44,212
135|208|47,212
135|141|63,212
135|38|65,212
135|169|68,212
135|310|69,212
364|19|41,213
364|364|43,213
364|208|46,213
364|141|62,213
364|38|64,213
364|169|67,213
364|310|68,213
364|424|69,213
19|364|2,254
19|208|5,254
19|141|21,254
19|38|23,254
19|169|26,254
19|310|27,254
19|424|28,254
19|11|64,254
364|208|3,256
364|141|19,256
364|38|21,256
364|169|24,256
364|310|25,256
364|424|26,256
364|11|62,256
364|318|63,256
208|141|16,259
208|38|18,259
208|169|21,259
208|310|22,259
208|424|23,259
208|11|59,259
208|318|60,259
208|530|60,259
141|38|2,275
141|169|5,275
141|310|6,275
141|424|7,275
141|11|43,275
141|318|44,275
141|530|44,275
141|603|44,275
38|169|3,277
38|310|4,277
38|424|5,277
38|11|41,277
38|318|42,277
38|530|42,277
38|603|42,277
38|706|42,277
169|310|1,280
169|424|2,280
169|11|38,280
169|318|39,280
169|530|39,280
169|603|39,280
169|706|39,280
169|779|39,280
310|424|1,281
310|11|37,281
310|318|38,281
310|530|38,281
310|603|38,281
310|706|38,281
310|779|38,281
310|135|39,281
424|11|36,282
424|318|37,282
424|530|37,282
424|603|37,282
424|706|37,282
424|779|37,282
424|135|38,282
424|364|38,282
11|318|1,318
11|530|1,318
11|603|1,318
11|706|1,318
11|779|1,318
11|135|2,318
11|364|2,318
11|218|8,318
318|530|0,319
318|603|0,319
318|706|0,319
318|779|0,319
318|135|1,319
318|364|1,319
318|218|7,319
318|272|8,319
530|603|0,319
530|706|0,319
530|779|0,319
530|135|1,319
530|364|1,319
530|218|7,319
530|272|8,319
530|67|10,319
603|706|0,319
603|779|0,319
603|135|1,319
603|364|1,319
603|218|7,319
603|272|8,319
603|67|10,319
603|34|40,319
706|779|0,319
706|135|1,319
706|364|1,319
706|218|7,319
706|272|8,319
706|67|10,319
706|34|40,319
706|186|61,319
779|135|1,319
779|364|1,319
779|218|7,319
779|272|8,319
779|67|10,319
779|34|40,319
779|186|61,319
779|17|65,319
135|364|0,320
135|218|6,320
135|272|7,320
135|67|9,320
135|34|39,320
135|186|60,320
135|17|64,320
135|259|64,320
364|218|6,320
364|272|7,320
364|67|9,320
364|34|39,320
364|186|60,320
364|17|64,320
364|259|64,320
364|95|66,320
218|272|1,326
218|67|3,326
218|34|33,326
218|186|54,326
218|17|58,326
218|259|58,326
218|95|60,326
218|310|60,326
272|67|2,327
272|34|32,327
272|186|53,327
272|17|57,327
272|259|57,327
272|95|59,327
272|310|59,327
272|59|60,327
67|34|30,329
67|186|51,329
67|17|55,329
67|259|55,329
67|95|57,329
67|310|57,329
67|59|58,329
67|13|97,329
34|186|21,359
34|17|25,359
34|259|25,359
34|95|27,359
34|310|27,359
34|59|28,359
34|13|67,359
34|437|86,359
186|17|4,380
186|259|4,380
186|95|6,380
186|310|6,380
186|59|7,380
186|13|46,380
186|437|65,380
186|325|67,380
17|259|0,384
17|95|2,384
17|310|2,384
17|59|3,384
17|13|42,384
17|437|61,384
17|325|63,384
17|404|63,384
259|95|2,384
259|310|2,384
259|59|3,384
259|13|42,384
259|437|61,384
259|325|63,384
259|404|63,384
259|707|64,384
95|310|0,386
95|59|1,386
95|13|40,386
95|437|59,386
95|325|61,386
95|404|61,386
95|707|62,386
95|85|64,386
310|59|1,386
310|13|40,386
310|437|59,386
310|325|61,386
310|404|61,386
310|707|62,386
310|85|64,386
310|119|64,386
59|13|39,387
59|437|58,387
59|325|60,387
59|404|60,387
59|707|61,387
59|85|63,387
59|119|63,387
59|569|67,387
13|437|19,426
13|325|21,426
13|404|21,426
13|707|22,426
13|85|24,426
13|119|24,426
13|569|28,426
13|170|32,426
437|325|2,445
437|404|2,445
437|707|3,445
437|85|5,445
437|119|5,445
437|569|9,445
437|170|13,445
437|34|20,445
325|404|0,447
325|707|1,447
325|85|3,447
325|119|3,447
325|569|7,447
325|170|11,447
325|34|18,447
325|609|21,447
404|707|1,447
404|85|3,447
404|119|3,447
404|569|7,447
404|170|11,447
404|34|18,447
404|609|21,447
404|235|27,447
707|85|2,448
707|119|2,448
707|569|6,448
707|170|10,448
707|34|17,448
707|609|20,448
707|235|26,448
707|198|37,448
85|119|0,450
85|569|4,450
85|170|8,450
85|34|15,450
85|609|18,450
85|235|24,450
85|198|35,450
85|528|36,450
119|569|4,450
119|170|8,450
119|34|15,450
119|609|18,450
119|235|24,450
119|198|35,450
119|528|36,450
119|126|37,450
569|170|4,454
569|34|11,454
569|609|14,454
569|235|20,454
569|198|31,454
569|528|32,454
569|126|33,454
569|851|33,454
170|34|7,458
170|609|10,458
170|235|16,458
170|198|27,458
170|528|28,458
170|126|29,458
170|851|29,458
170|679|31,458
34|609|3,465
34|235|9,465
34|198|20,465
34|528|21,465
34|126|22,465
34|851|22,465
34|679|24,465
34|344|25,465
609|235|6,468
609|198|17,468
609|528|18,468
609|126|19,468
609|851|19,468
609|679|21,468
609|344|22,468
609|223|81,468
235|198|11,474
235|528|12,474
235|126|13,474
235|851|13,474
235|679|15,474
235|344|16,474
235|223|75,474
235|296|76,474
198|528|1,485
198|126|2,485
198|851|2,485
198|679|4,485
198|344|5,485
198|223|64,485
198|296|65,485
198|152|70,485
528|126|1,486
528|851|1,486
528|679|3,486
528|344|4,486
528|223|63,486
528|296|64,486
528|152|69,486
528|26|71,486
126|851|0,487
126|679|2,487
126|344|3,487
126|223|62,487
126|296|63,487
126|152|68,487
126|26|70,487
126|194|71,487
851|679|2,487
851|344|3,487
851|223|62,487
851|296|63,487
851|152|68,487
851|26|70,487
851|194|71,487
851|597|71,487
679|344|1,489
679|223|60,489
679|296|61,489
679|152|66,489
679|26|68,489
679|194|69,489
679|597|69,489
679|91|81,489
344|223|59,490
344|296|60,490
344|152|65,490
344|26|67,490
344|194|68,490
344|597|68,490
344|91|80,490
344|309|100,490
223|296|1,549
223|152|6,549
223|26|8,549
223|194|9,549
223|597|9,549
223|91|21,549
223|309|41,549
223|209|60,549
296|152|5,550
296|26|7,550
296|194|8,550
296|597|8,550
296|91|20,550
296|309|40,550
296|209|59,550
296|450|60,550
152|26|2,555
152|194|3,555
152|597|3,555
152|91|15,555
152|309|35,555
152|209|54,555
152|450|55,555
152|260|57,555
26|194|1,557
26|597|1,557
26|91|13,557
26|309|33,557
26|209|52,557
26|450|53,557
26|260|55,557
26|420|55,557
194|597|0,558
194|91|12,558
194|309|32,558
194|209|51,558
194|450|52,558
194|260|54,558
194|420|54,558
194|56|55,558
597|91|12,558
597|309|32,558
597|209|51,558
597|450|52,558
597|260|54,558
597|420|54,558
597|56|55,558
597|111|56,558
91|309|20,570
91|209|39,570
91|450|40,570
91|260|42,570
91|420|42,570
91|56|43,570
91|111|44,570
91|564|46,570
309|209|19,590
309|450|20,590
309|260|22,590
309|420|22,590
309|56|23,590
309|111|24,590
309|564|26,590
309|619|28,590
209|450|1,609
209|260|3,609
209|420|3,609
209|56|4,609
209|111|5,609
209|564|7,609
209|619|9,609
209|160|32,609
450|260|2,610
450|420|2,610
450|56|3,610
450|111|4,610
450|564|6,610
450|619|8,610
450|160|31,610
450|222|32,610
260|420|0,612
260|56|1,612
260|111|2,612
260|564|4,612
260|619|6,612
260|160|29,612
260|222|30,612
260|11|33,612
420|56|1,612
420|111|2,612
420|564|4,612
420|619|6,612
420|160|29,612
420|222|30,612
420|11|33,612
420|56|51,612
56|111|1,613
56|564|3,613
56|619|5,613
56|160|28,613
56|222|29,613
56|11|32,613
56|56|50,613
56|217|56,613
111|564|2,614
111|619|4,614
111|160|27,614
111|222|28,614
111|11|31,614
111|56|49,614
111|217|55,614
111|5|57,614
564|619|2,616
564|160|25,616
564|222|26,616
564|11|29,616
564|56|47,616
564|217|53,616
564|5|55,616
564|342|73,616
619|160|23,618
619|222|24,618
619|11|27,618
619|56|45,618
619|217|51,618
619|5|53,618
619|342|71,618
619|127|76,618
160|222|1,641
160|11|4,641
160|56|22,641
160|217|28,641
160|5|30,641
160|342|48,641
160|127|53,641
160|683|53,641
222|11|3,642
222|56|21,642
222|217|27,642
222|5|29,642
222|342|47,642
222|127|52,642
222|683|52,642
222|255|55,642
11|56|18,645
11|217|24,645
11|5|26,645
11|342|44,645
11|127|49,645
11|683|49,645
11|255|52,645
11|67|64,645
56|217|6,663
56|5|8,663
56|342|26,663
56|127|31,663
56|683|31,663
56|255|34,663
56|67|46,663
56|11|49,663
217|5|2,669
217|342|20,669
217|127|25,669
217|683|25,669
217|255|28,669
217|67|40,669
217|11|43,669
217|672|77,669
5|342|18,671
5|127|23,671
5|683|23,671
5|255|26,671
5|67|38,671
5|11|41,671
5|672|75,671
5|396|76,671
342|127|5,689
342|683|5,689
342|255|8,689
342|67|20,689
342|11|23,689
342|672|57,689
342|396|58,689
342|465|58,689
127|683|0,694
127|255|3,694
127|67|15,694
127|11|18,694
127|672|52,694
127|396|53,694
127|465|53,694
127|870|53,694
683|255|3,694
683|67|15,694
683|11|18,694
683|672|52,694
683|396|53,694
683|465|53,694
683|870|53,694
683|305|54,694
255|67|12,697
255|11|15,697
255|672|49,697
255|396|50,697
255|465|50,697
255|870|50,697
255|305|51,697
255|578|51,697
67|11|3,709
67|672|37,709
67|396|38,709
67|465|38,709
67|870|38,709
67|305|39,709
67|578|39,709
67|534|40,709
11|672|34,712
11|396|35,712
11|465|35,712
11|870|35,712
11|305|36,712
11|578|36,712
11|534|37,712
11|128|45,712
672|396|1,746
672|465|1,746
672|870|1,746
672|305|2,746
672|578|2,746
672|534|3,746
672|128|11,746
672|240|11,746
396|465|0,747
396|870|0,747
396|305|1,747
396|578|1,747
396|534|2,747
396|128|10,747
396|240|10,747
396|33|16,747
465|870|0,747
465|305|1,747
465|578|1,747
465|534|2,747
465|128|10,747
465|240|10,747
465|33|16,747
465|214|17,747
870|305|1,747
870|578|1,747
870|534|2,747
870|128|10,747
870|240|10,747
870|33|16,747
870|214|17,747
870|487|31,747
305|578|0,748
305|534|1,748
305|128|9,748
305|240|9,748
305|33|15,748
305|214|16,748
305|487|30,748
305|586|34,748
578|534|1,748
578|128|9,748
578|240|9,748
578|33|15,748
578|214|16,748
