hash,time
48|134|5,45
48|171|42,45
48|132|70,45
48|38|73,45
48|113|84,45
48|133|123,45
48|38|126,45
48|171|128,45
134|171|37,50
134|132|65,50
134|38|68,50
134|113|79,50
134|133|118,50
134|38|121,50
134|171|123,50
134|48|165,50
171|132|28,87
171|38|31,87
171|113|42,87
171|133|81,87
171|38|84,87
171|171|86,87
171|48|128,87
171|113|162,87
132|38|3,115
132|113|14,115
132|133|53,115
132|38|56,115
132|171|58,115
132|48|100,115
132|113|134,115
132|75|136,115
38|113|11,118
38|133|50,118
38|38|53,118
38|171|55,118
38|48|97,118
38|113|131,118
38|75|133,118
38|38|139,118
113|133|39,129
113|38|42,129
113|171|44,129
113|48|86,129
113|113|120,129
113|75|122,129
113|38|128,129
113|151|128,129
133|38|3,168
133|171|5,168
133|48|47,168
133|113|81,168
133|75|83,168
133|38|89,168
133|151|89,168
133|38|159,168
38|171|2,171
38|48|44,171
38|113|78,171
38|75|80,171
38|38|86,171
38|151|86,171
38|38|156,171
38|209|186,171
171|48|42,173
171|113|76,173
171|75|78,173
171|38|84,173
171|151|84,173
171|38|154,173
171|209|184,173
171|95|192,173
48|113|34,215
48|75|36,215
48|38|42,215
48|151|42,215
48|38|112,215
48|209|142,215
48|95|150,215
48|189|175,215
113|75|2,249
113|38|8,249
113|151|8,249
113|38|78,249
113|209|108,249
113|95|116,249
113|189|141,249
113|151|142,249
75|38|6,251
75|151|6,251
75|38|76,251
75|209|106,251
75|95|114,251
75|189|139,251
75|151|140,251
75|113|141,251
38|151|0,257
38|38|70,257
38|209|100,257
38|95|108,257
38|189|133,257
38|151|134,257
38|113|135,257
38|75|137,257
151|38|70,257
151|209|100,257
151|95|108,257
151|189|133,257
151|151|134,257
151|113|135,257
151|75|137,257
151|38|152,257
38|209|30,327
38|95|38,327
38|189|63,327
38|151|64,327
38|113|65,327
38|75|67,327
38|38|82,327
38|114|119,327
209|95|8,357
209|189|33,357
209|151|34,357
209|113|35,357
209|75|37,357
209|38|52,357
209|114|89,357
209|190|89,357
95|189|25,365
95|151|26,365
95|113|27,365
95|75|29,365
95|38|44,365
95|114|81,365
95|190|81,365
95|151|87,365
189|151|1,390
189|113|2,390
189|75|4,390
189|38|19,390
189|114|56,390
189|190|56,390
189|151|62,390
189|126|93,390
151|113|1,391
151|75|3,391
151|38|18,391
151|114|55,391
151|190|55,391
151|151|61,391
151|126|92,391
151|48|100,391
113|75|2,392
113|38|17,392
113|114|54,392
113|190|54,392
113|151|60,392
113|126|91,392
113|48|99,392
113|38|132,392
75|38|15,394
75|114|52,394
75|190|52,394
75|151|58,394
75|126|89,394
75|48|97,394
75|38|130,394
75|113|130,394
38|114|37,409
38|190|37,409
38|151|43,409
38|126|74,409
38|48|82,409
38|38|115,409
38|113|115,409
38|151|115,409
114|190|0,446
114|151|6,446
114|126|37,446
114|48|45,446
114|38|78,446
114|113|78,446
114|151|78,446
114|189|78,446
190|151|6,446
190|126|37,446
190|48|45,446
190|38|78,446
190|113|78,446
190|151|78,446
190|189|78,446
190|227|89,446
151|126|31,452
151|48|39,452
151|38|72,452
151|113|72,452
151|151|72,452
151|189|72,452
151|227|83,452
151|57|107,452
126|48|8,483
126|38|41,483
126|113|41,483
126|151|41,483
126|189|41,483
126|227|52,483
126|57|76,483
126|208|78,483
48|38|33,491
48|113|33,491
48|151|33,491
48|189|33,491
48|227|44,491
48|57|68,491
48|208|70,491
48|151|78,491
38|113|0,524
38|151|0,524
38|189|0,524
38|227|11,524
38|57|35,524
38|208|37,524
38|151|45,524
38|203|68,524
113|151|0,524
113|189|0,524
113|227|11,524
113|57|35,524
113|208|37,524
113|151|45,524
113|203|68,524
113|38|69,524
151|189|0,524
151|227|11,524
151|57|35,524
151|208|37,524
151|151|45,524
151|203|68,524
151|38|69,524
151|137|125,524
189|227|11,524
189|57|35,524
189|208|37,524
189|151|45,524
189|203|68,524
189|38|69,524
189|137|125,524
189|173|141,524
227|57|24,535
227|208|26,535
227|151|34,535
227|203|57,535
227|38|58,535
227|137|114,535
227|173|130,535
227|290|131,535
57|208|2,559
57|151|10,559
57|203|33,559
57|38|34,559
57|137|90,559
57|173|106,559
57|290|107,559
57|229|108,559
208|151|8,561
208|203|31,561
208|38|32,561
208|137|88,561
208|173|104,561
208|290|105,561
208|229|106,561
208|59|107,561
151|203|23,569
151|38|24,569
151|137|80,569
151|173|96,569
151|290|97,569
151|229|98,569
151|59|99,569
151|326|101,569
203|38|1,592
203|137|57,592
203|173|73,592
203|290|74,592
203|229|75,592
203|59|76,592
203|326|78,592
203|122|81,592
38|137|56,593
38|173|72,593
38|290|73,593
38|229|74,593
38|59|75,593
38|326|77,593
38|122|80,593
38|38|104,593
137|173|16,649
137|290|17,649
137|229|18,649
137|59|19,649
137|326|21,649
137|122|24,649
137|38|48,649
137|310|53,649
173|290|1,665
173|229|2,665
173|59|3,665
173|326|5,665
173|122|8,665
173|38|32,665
173|310|37,665
173|170|42,665
290|229|1,666
290|59|2,666
290|326|4,666
290|122|7,666
290|38|31,666
290|310|36,666
290|170|41,666
290|368|41,666
229|59|1,667
229|326|3,667
229|122|6,667
229|38|30,667
229|310|35,667
229|170|40,667
229|368|40,667
229|225|56,667
59|326|2,668
59|122|5,668
59|38|29,668
59|310|34,668
59|170|39,668
59|368|39,668
59|225|55,668
59|386|55,668
326|122|3,670
326|38|27,670
326|310|32,670
326|170|37,670
326|368|37,670
326|225|53,670
326|386|53,670
326|510|64,670
122|38|24,673
122|310|29,673
122|170|34,673
122|368|34,673
122|225|50,673
122|386|50,673
122|510|61,673
122|155|67,673
38|310|5,697
38|170|10,697
38|368|10,697
38|225|26,697
38|386|26,697
38|510|37,697
38|155|43,697
38|248|43,697
310|170|5,702
310|368|5,702
310|225|21,702
310|386|21,702
310|510|32,702
310|155|38,702
310|248|38,702
310|279|38,702
170|368|0,707
170|225|16,707
170|386|16,707
170|510|27,707
170|155|33,707
170|248|33,707
170|279|33,707
170|101|47,707
368|225|16,707
368|386|16,707
368|510|27,707
368|155|33,707
368|248|33,707
368|279|33,707
368|101|47,707
368|38|51,707
225|386|0,723
225|510|11,723
225|155|17,723
225|248|17,723
225|279|17,723
225|101|31,723
225|38|35,723
225|151|84,723
386|510|11,723
386|155|17,723
386|248|17,723
386|279|17,723
386|101|31,723
386|38|35,723
386|151|84,723
386|113|89,723
510|155|6,734
510|248|6,734
510|279|6,734
510|101|20,734
510|38|24,734
510|151|73,734
510|113|78,734
510|226|83,734
155|248|0,740
155|279|0,740
155|101|14,740
155|38|18,740
155|151|67,740
155|113|72,740
155|226|77,740
155|164|137,740
248|279|0,740
248|101|14,740
248|38|18,740
248|151|67,740
248|113|72,740
248|226|77,740
248|164|137,740
248|27|138,740
279|101|14,740
279|38|18,740
279|151|67,740
279|113|72,740
279|226|77,740
279|164|137,740
279|27|138,740
279|480|145,740
101|38|4,754
101|151|53,754
101|113|58,754
101|226|63,754
101|164|123,754
101|27|124,754
101|480|131,754
101|95|152,754
38|151|49,758
38|113|54,758
38|226|59,758
38|164|119,758
38|27|120,758
38|480|127,758
38|95|148,758
