hash,time
336|435|0,42
336|239|1,42
336|143|2,42
336|9|9,42
336|268|58,42
336|306|58,42
336|191|59,42
336|9|63,42
435|239|1,42
435|143|2,42
435|9|9,42
435|268|58,42
435|306|58,42
435|191|59,42
435|9|63,42
435|361|114,42
239|143|1,43
239|9|8,43
239|268|57,43
239|306|57,43
239|191|58,43
239|9|62,43
239|361|113,43
239|239|114,43
143|9|7,44
143|268|56,44
143|306|56,44
143|191|57,44
143|9|61,44
143|361|112,44
143|239|113,44
143|9|115,44
9|268|49,51
9|306|49,51
9|191|50,51
9|9|54,51
9|361|105,51
9|239|106,51
9|9|108,51
9|143|119,51
268|306|0,100
268|191|1,100
268|9|5,100
268|361|56,100
268|239|57,100
268|9|59,100
268|143|70,100
268|143|113,100
306|191|1,100
306|9|5,100
306|361|56,100
306|239|57,100
306|9|59,100
306|143|70,100
306|143|113,100
306|172|129,100
191|9|4,101
191|361|55,101
191|239|56,101
191|9|58,101
191|143|69,101
191|143|112,101
191|172|128,101
191|287|129,101
9|361|51,105
9|239|52,105
9|9|54,105
9|143|65,105
9|143|108,105
9|172|124,105
9|287|125,105
9|324|138,105
361|239|1,156
361|9|3,156
361|143|14,156
361|143|57,156
361|172|73,156
361|287|74,156
361|324|87,156
361|36|88,156
239|9|2,157
239|143|13,157
239|143|56,157
239|172|72,157
239|287|73,157
239|324|86,157
239|36|87,157
239|7|89,157
9|143|11,159
9|143|54,159
9|172|70,159
9|287|71,159
9|324|84,159
9|36|85,159
9|7|87,159
9|28|158,159
143|143|43,170
143|172|59,170
143|287|60,170
143|324|73,170
143|36|74,170
143|7|76,170
143|28|147,170
143|36|182,170
143|172|16,213
143|287|17,213
143|324|30,213
143|36|31,213
143|7|33,213
143|28|104,213
143|36|139,213
143|96|156,213
172|287|1,229
172|324|14,229
172|36|15,229
172|7|17,229
172|28|88,229
172|36|123,229
172|96|140,229
172|9|180,229
287|324|13,230
287|36|14,230
287|7|16,230
287|28|87,230
287|36|122,230
287|96|139,230
287|9|179,230
324|36|1,243
324|7|3,243
324|28|74,243
324|36|109,243
324|96|126,243
324|9|166,243
36|7|2,244
36|28|73,244
36|36|108,244
36|96|125,244
36|9|165,244
7|28|71,246
7|36|106,246
7|96|123,246
7|9|163,246
28|36|35,317
28|96|52,317
28|9|92,317
28|9|137,317
28|359|155,317
28|435|156,317
28|24|157,317
28|239|157,317
36|96|17,352
36|9|57,352
36|9|102,352
36|359|120,352
