hash,time
200|477|0,25
200|0|7,25
200|216|47,25
200|599|47,25
200|15|49,25
200|213|95,25
200|13|96,25
200|568|96,25
477|0|7,25
477|216|47,25
477|599|47,25
477|15|49,25
477|213|95,25
477|13|96,25
477|568|96,25
477|208|144,25
0|216|40,32
0|599|40,32
0|15|42,32
0|213|88,32
0|13|89,32
0|568|89,32
0|208|137,32
0|510|137,32
216|599|0,72
216|15|2,72
216|213|48,72
216|13|49,72
216|568|49,72
216|208|97,72
216|510|97,72
216|13|98,72
599|15|2,72
599|213|48,72
599|13|49,72
599|568|49,72
599|208|97,72
599|510|97,72
599|13|98,72
599|217|145,72
15|213|46,74
15|13|47,74
15|568|47,74
15|208|95,74
15|510|95,74
15|13|96,74
15|217|143,74
15|517|143,74
213|13|1,120
213|568|1,120
213|208|49,120
213|510|49,120
213|13|50,120
213|217|97,120
213|517|97,120
213|13|98,120
13|568|0,121
13|208|48,121
13|510|48,121
13|13|49,121
13|217|96,121
13|517|96,121
13|13|97,121
13|351|129,121
568|208|48,121
568|510|48,121
568|13|49,121
568|217|96,121
568|517|96,121
568|13|97,121
568|351|129,121
568|443|130,121
208|510|0,169
208|13|1,169
208|217|48,169
208|517|48,169
208|13|49,169
208|351|81,169
208|443|82,169
208|593|82,169
510|13|1,169
510|217|48,169
510|517|48,169
510|13|49,169
510|351|81,169
510|443|82,169
510|593|82,169
510|308|83,169
13|217|47,170
13|517|47,170
13|13|48,170
13|351|80,170
13|443|81,170
13|593|81,170
13|308|82,170
13|536|82,170
217|517|0,217
217|13|1,217
217|351|33,217
217|443|34,217
217|593|34,217
217|308|35,217
217|536|35,217
217|201|49,217
517|13|1,217
517|351|33,217
517|443|34,217
517|593|34,217
517|308|35,217
517|536|35,217
517|201|49,217
517|19|59,217
13|351|32,218
13|443|33,218
13|593|33,218
13|308|34,218
13|536|34,218
13|201|48,218
13|19|58,218
13|290|78,218
351|443|1,250
351|593|1,250
351|308|2,250
351|536|2,250
351|201|16,250
351|19|26,250
351|290|46,250
351|662|46,250
443|593|0,251
443|308|1,251
443|536|1,251
443|201|15,251
443|19|25,251
443|290|45,251
443|662|45,251
443|761|46,251
593|308|1,251
593|536|1,251
593|201|15,251
593|19|25,251
593|290|45,251
593|662|45,251
593|761|46,251
593|373|47,251
308|536|0,252
308|201|14,252
308|19|24,252
308|290|44,252
308|662|44,252
308|761|45,252
308|373|46,252
308|339|47,252
536|201|14,252
536|19|24,252
536|290|44,252
536|662|44,252
536|761|45,252
536|373|46,252
536|339|47,252
536|826|47,252
201|19|10,266
201|290|30,266
201|662|30,266
201|761|31,266
201|373|32,266
201|339|33,266
201|826|33,266
201|748|53,266
19|290|20,276
19|662|20,276
19|761|21,276
19|373|22,276
19|339|23,276
19|826|23,276
19|748|43,276
19|215|44,276
290|662|0,296
290|761|1,296
290|373|2,296
290|339|3,296
290|826|3,296
290|748|23,296
290|215|24,296
290|358|24,296
662|761|1,296
662|373|2,296
662|339|3,296
662|826|3,296
662|748|23,296
662|215|24,296
662|358|24,296
662|418|24,296
761|373|1,297
761|339|2,297
761|826|2,297
761|748|22,297
761|215|23,297
761|358|23,297
761|418|23,297
761|536|23,297
373|339|1,298
373|826|1,298
373|748|21,298
373|215|22,298
373|358|22,298
373|418|22,298
373|536|22,298
373|575|22,298
339|826|0,299
339|748|20,299
339|215|21,299
339|358|21,299
339|418|21,299
339|536|21,299
339|575|21,299
339|609|21,299
826|748|20,299
826|215|21,299
826|358|21,299
826|418|21,299
826|536|21,299
826|575|21,299
826|609|21,299
826|67|22,299
748|215|1,319
748|358|1,319
748|418|1,319
748|536|1,319
748|575|1,319
748|609|1,319
748|67|2,319
748|101|2,319
215|358|0,320
215|418|0,320
215|536|0,320
215|575|0,320
215|609|0,320
215|67|1,320
215|101|1,320
215|271|2,320
358|418|0,320
358|536|0,320
358|575|0,320
358|609|0,320
358|67|1,320
358|101|1,320
358|271|2,320
358|323|3,320
418|536|0,320
418|575|0,320
418|609|0,320
418|67|1,320
418|101|1,320
418|271|2,320
418|323|3,320
418|134|4,320
536|575|0,320
536|609|0,320
536|67|1,320
536|101|1,320
536|271|2,320
536|323|3,320
536|134|4,320
536|45|18,320
575|609|0,320
575|67|1,320
575|101|1,320
575|271|2,320
575|323|3,320
575|134|4,320
575|45|18,320
575|180|43,320
609|67|1,320
609|101|1,320
609|271|2,320
609|323|3,320
609|134|4,320
609|45|18,320
609|180|43,320
609|215|50,320
67|101|0,321
67|271|1,321
67|323|2,321
67|134|3,321
67|45|17,321
67|180|42,321
67|215|49,321
67|20|50,321
101|271|1,321
101|323|2,321
101|134|3,321
101|45|17,321
101|180|42,321
101|215|49,321
101|20|50,321
101|67|50,321
271|323|1,322
271|134|2,322
271|45|16,322
271|180|41,322
271|215|48,322
271|20|49,322
271|67|49,322
271|271|49,322
323|134|1,323
323|45|15,323
323|180|40,323
