hash,time
135|90|1,15
135|22|8,15
135|135|69,15
135|227|70,15
135|180|75,15
135|296|80,15
135|22|83,15
135|56|112,15
90|22|7,16
90|135|68,16
90|227|69,16
90|180|74,16
90|296|79,16
90|22|82,16
90|56|111,16
90|101|150,16
22|135|61,23
22|227|62,23
22|180|67,23
22|296|72,23
22|22|75,23
22|56|104,23
22|101|143,23
22|25|149,23
135|227|1,84
135|180|6,84
135|296|11,84
135|22|14,84
135|56|43,84
135|101|82,84
135|25|88,84
135|25|122,84
227|180|5,85
227|296|10,85
227|22|13,85
227|56|42,85
227|101|81,85
227|25|87,85
227|25|121,85
227|101|158,85
180|296|5,90
180|22|8,90
180|56|37,90
180|101|76,90
180|25|82,90
180|25|116,90
180|101|153,90
180|235|153,90
296|22|3,95
296|56|32,95
296|101|71,95
296|25|77,95
296|25|111,95
296|101|148,95
296|235|148,95
296|25|149,95
22|56|29,98
22|101|68,98
22|25|74,98
22|25|108,98
22|101|145,98
22|235|145,98
22|25|146,98
22|169|147,98
56|101|39,127
56|25|45,127
56|25|79,127
56|101|116,127
56|235|116,127
56|25|117,127
56|169|118,127
56|202|124,127
101|25|6,166
101|25|40,166
101|101|77,166
101|235|77,166
101|25|78,166
101|169|79,166
101|202|85,166
101|25|117,166
25|25|34,172
25|101|71,172
25|235|71,172
25|25|72,172
25|169|73,172
25|202|79,172
25|25|111,172
25|113|148,172
25|101|37,206
25|235|37,206
25|25|38,206
25|169|39,206
25|202|45,206
25|25|77,206
25|113|114,206
25|227|116,206
101|235|0,243
101|25|1,243
101|169|2,243
101|202|8,243
101|25|40,243
101|113|77,243
101|227|79,243
101|113|156,243
235|25|1,243
235|169|2,243
235|202|8,243
235|25|40,243
235|113|77,243
235|227|79,243
235|113|156,243
235|227|156,243
25|169|1,244
25|202|7,244
25|25|39,244
25|113|76,244
25|227|78,244
25|113|155,244
25|227|155,244
25|180|158,244
169|202|6,245
169|25|38,245
169|113|75,245
169|227|77,245
169|113|154,245
169|227|154,245
169|180|157,245
169|22|165,245
202|25|32,251
202|113|69,251
202|227|71,251
202|113|148,251
202|227|148,251
202|180|151,251
202|22|159,251
202|90|160,251
25|113|37,283
25|227|39,283
25|113|116,283
25|227|116,283
25|180|119,283
25|22|127,283
25|90|128,283
25|45|153,283
113|227|2,320
113|113|79,320
113|227|79,320
113|180|82,320
113|22|90,320
113|90|91,320
113|45|116,320
113|113|119,320
227|113|77,322
227|227|77,322
227|180|80,322
227|22|88,322
227|90|89,322
227|45|114,322
227|113|117,322
227|170|152,322
113|227|0,399
113|180|3,399
113|22|11,399
113|90|12,399
113|45|37,399
113|113|40,399
113|170|75,399
113|29|78,399
227|180|3,399
227|22|11,399
227|90|12,399
227|45|37,399
227|113|40,399
227|170|75,399
227|29|78,399
227|90|86,399
180|22|8,402
180|90|9,402
180|45|34,402
180|113|37,402
180|170|72,402
180|29|75,402
180|90|83,402
180|226|87,402
22|90|1,410
22|45|26,410
22|113|29,410
22|170|64,410
22|29|67,410
22|90|75,410
22|226|79,410
22|25|148,410
90|45|25,411
90|113|28,411
90|170|63,411
90|29|66,411
90|90|74,411
90|226|78,411
