hash,time
997|117|1,45
997|176|1,45
997|410|1,45
997|469|1,45
997|645|1,45
997|879|1,45
997|1114|1,45
997|528|2,45
117|176|0,46
117|410|0,46
117|469|0,46
117|645|0,46
117|879|0,46
117|1114|0,46
117|528|1,46
117|209|5,46
176|410|0,46
176|469|0,46
176|645|0,46
176|879|0,46
176|1114|0,46
176|528|1,46
176|209|5,46
176|586|5,46
410|469|0,46
410|645|0,46
410|879|0,46
410|1114|0,46
410|528|1,46
410|209|5,46
410|586|5,46
410|10|9,46
469|645|0,46
469|879|0,46
469|1114|0,46
469|528|1,46
469|209|5,46
469|586|5,46
469|10|9,46
469|933|13,46
645|879|0,46
645|1114|0,46
645|528|1,46
645|209|5,46
645|586|5,46
645|10|9,46
645|933|13,46
645|1050|13,46
879|1114|0,46
879|528|1,46
879|209|5,46
879|586|5,46
879|10|9,46
879|933|13,46
879|1050|13,46
879|116|38,46
1114|528|1,46
1114|209|5,46
1114|586|5,46
1114|10|9,46
1114|933|13,46
1114|1050|13,46
1114|116|38,46
1114|348|38,46
528|209|4,47
528|586|4,47
528|10|8,47
528|933|12,47
528|1050|12,47
528|116|37,47
528|348|37,47
528|696|37,47
209|586|0,51
209|10|4,51
209|933|8,51
209|1050|8,51
209|116|33,51
209|348|33,51
209|696|33,51
209|232|34,51
586|10|4,51
586|933|8,51
586|1050|8,51
586|116|33,51
586|348|33,51
586|696|33,51
586|232|34,51
586|770|37,51
10|933|4,55
10|1050|4,55
10|116|29,55
10|348|29,55
10|696|29,55
10|232|30,55
10|770|33,55
10|556|34,55
933|1050|0,59
933|116|25,59
933|348|25,59
933|696|25,59
933|232|26,59
933|770|29,59
933|556|30,59
933|995|30,59
1050|116|25,59
1050|348|25,59
1050|696|25,59
1050|232|26,59
1050|770|29,59
1050|556|30,59
1050|995|30,59
1050|874|31,59
116|348|0,84
116|696|0,84
116|232|1,84
116|770|4,84
116|556|5,84
116|995|5,84
116|874|6,84
116|465|12,84
348|696|0,84
348|232|1,84
348|770|4,84
348|556|5,84
348|995|5,84
348|874|6,84
348|465|12,84
348|291|28,84
696|232|1,84
696|770|4,84
696|556|5,84
696|995|5,84
696|874|6,84
696|465|12,84
696|291|28,84
696|408|29,84
232|770|3,85
232|556|4,85
232|995|4,85
232|874|5,85
232|465|11,85
232|291|27,85
232|408|28,85
232|641|28,85
770|556|1,88
770|995|1,88
770|874|2,88
770|465|8,88
770|291|24,88
770|408|25,88
770|641|25,88
770|932|25,88
556|995|0,89
556|874|1,89
556|465|7,89
556|291|23,89
556|408|24,89
556|641|24,89
556|932|24,89
556|1049|24,89
995|874|1,89
995|465|7,89
995|291|23,89
995|408|24,89
995|641|24,89
995|932|24,89
995|1049|24,89
995|175|25,89
874|465|6,90
874|291|22,90
874|408|23,90
874|641|23,90
874|932|23,90
874|1049|23,90
874|175|24,90
874|350|24,90
465|291|16,96
465|408|17,96
465|641|17,96
465|932|17,96
465|1049|17,96
465|175|18,96
465|350|18,96
465|609|31,96
291|408|1,112
291|641|1,112
291|932|1,112
291|1049|1,112
291|175|2,112
291|350|2,112
291|609|15,112
291|830|15,112
408|641|0,113
408|932|0,113
408|1049|0,113
408|175|1,113
408|350|1,113
408|609|14,113
408|830|14,113
408|10|16,113
641|932|0,113
641|1049|0,113
641|175|1,113
641|350|1,113
641|609|14,113
641|830|14,113
641|10|16,113
641|224|24,113
932|1049|0,113
932|175|1,113
932|350|1,113
932|609|14,113
932|830|14,113
932|10|16,113
932|224|24,113
932|335|25,113
1049|175|1,113
1049|350|1,113
1049|609|14,113
1049|830|14,113
1049|10|16,113
1049|224|24,113
1049|335|25,113
1049|894|26,113
175|350|0,114
175|609|13,114
175|830|13,114
175|10|15,114
175|224|23,114
175|335|24,114
175|894|25,114
175|391|26,114
350|609|13,114
350|830|13,114
350|10|15,114
350|224|23,114
350|335|24,114
350|894|25,114
350|391|26,114
350|1005|26,114
609|830|0,127
609|10|2,127
609|224|10,127
609|335|11,127
609|894|12,127
609|391|13,127
609|1005|13,127
609|111|15,127
830|10|2,127
830|224|10,127
830|335|11,127
830|894|12,127
830|391|13,127
830|1005|13,127
830|111|15,127
830|502|27,127
10|224|8,129
10|335|9,129
10|894|10,129
10|391|11,129
10|1005|11,129
10|111|13,129
10|502|25,129
10|279|26,129
224|335|1,137
224|894|2,137
224|391|3,137
224|1005|3,137
224|111|5,137
224|502|17,137
224|279|18,137
224|446|18,137
335|894|1,138
335|391|2,138
335|1005|2,138
335|111|4,138
335|502|16,138
335|279|17,138
335|446|17,138
335|167|18,138
894|391|1,139
894|1005|1,139
894|111|3,139
894|502|15,139
894|279|16,139
894|446|16,139
894|167|17,139
894|669|17,139
391|1005|0,140
391|111|2,140
391|502|14,140
391|279|15,140
391|446|15,140
391|167|16,140
391|669|16,140
391|1115|16,140
1005|111|2,140
1005|502|14,140
1005|279|15,140
1005|446|15,140
1005|167|16,140
1005|669|16,140
1005|1115|16,140
1005|725|17,140
111|502|12,142
111|279|13,142
111|446|13,142
111|167|14,142
111|669|14,142
111|1115|14,142
111|725|15,142
111|579|21,142
502|279|1,154
502|446|1,154
502|167|2,154
502|669|2,154
502|1115|2,154
502|725|3,154
502|579|9,154
502|765|11,154
279|446|0,155
279|167|1,155
279|669|1,155
279|1115|1,155
279|725|2,155
279|579|8,155
279|765|10,155
279|947|10,155
446|167|1,155
446|669|1,155
446|1115|1,155
446|725|2,155
446|579|8,155
446|765|10,155
446|947|10,155
446|480|11,155
167|669|0,156
167|1115|0,156
167|725|1,156
167|579|7,156
167|765|9,156
167|947|9,156
167|480|10,156
167|1055|10,156
669|1115|0,156
669|725|1,156
669|579|7,156
669|765|9,156
669|947|9,156
669|480|10,156
669|1055|10,156
669|111|27,156
1115|725|1,156
1115|579|7,156
1115|765|9,156
1115|947|9,156
1115|480|10,156
1115|1055|10,156
1115|111|27,156
1115|333|27,156
725|579|6,157
725|765|8,157
725|947|8,157
725|480|9,157
725|1055|9,157
725|111|26,157
725|333|26,157
725|313|45,157
579|765|2,163
579|947|2,163
579|480|3,163
579|1055|3,163
579|111|20,163
579|333|20,163
579|313|39,163
579|590|39,163
765|947|0,165
765|480|1,165
765|1055|1,165
765|111|18,165
765|333|18,165
765|313|37,165
765|590|37,165
765|11|39,165
947|480|1,165
947|1055|1,165
947|111|18,165
947|333|18,165
947|313|37,165
947|590|37,165
947|11|39,165
947|352|39,165
480|1055|0,166
