hash,time
169|366|0,19
169|422|0,19
169|309|4,19
169|28|5,19
169|112|5,19
169|477|11,19
169|253|12,19
169|37|44,19
366|422|0,19
366|309|4,19
366|28|5,19
366|112|5,19
366|477|11,19
366|253|12,19
366|37|44,19
366|149|44,19
422|309|4,19
422|28|5,19
422|112|5,19
422|477|11,19
422|253|12,19
422|37|44,19
422|149|44,19
422|223|45,19
309|28|1,23
309|112|1,23
309|477|7,23
309|253|8,23
309|37|40,23
309|149|40,23
309|223|41,23
309|372|41,23
28|112|0,24
28|477|6,24
28|253|7,24
28|37|39,24
28|149|39,24
28|223|40,24
28|372|40,24
28|112|43,24
112|477|6,24
112|253|7,24
112|37|39,24
112|149|39,24
112|223|40,24
112|372|40,24
112|112|43,24
112|411|45,24
477|253|1,30
477|37|33,30
477|149|33,30
477|223|34,30
477|372|34,30
477|112|37,30
477|411|39,30
477|262|40,30
253|37|32,31
253|149|32,31
253|223|33,31
253|372|33,31
253|112|36,31
253|411|38,31
253|262|39,31
253|486|39,31
37|149|0,63
37|223|1,63
37|372|1,63
37|112|4,63
37|411|6,63
37|262|7,63
37|486|7,63
37|75|8,63
149|223|1,63
149|372|1,63
149|112|4,63
149|411|6,63
149|262|7,63
149|486|7,63
149|75|8,63
149|336|9,63
223|372|0,64
223|112|3,64
223|411|5,64
223|262|6,64
223|486|6,64
223|75|7,64
223|336|8,64
223|186|14,64
372|112|3,64
372|411|5,64
372|262|6,64
372|486|6,64
372|75|7,64
372|336|8,64
372|186|14,64
372|448|43,64
112|411|2,67
112|262|3,67
112|486|3,67
112|75|4,67
112|336|5,67
112|186|11,67
112|448|40,67
112|280|41,67
411|262|1,69
411|486|1,69
411|75|2,69
411|336|3,69
411|186|9,69
411|448|38,69
411|280|39,69
411|561|40,69
262|486|0,70
262|75|1,70
262|336|2,70
262|186|8,70
262|448|37,70
262|280|38,70
262|561|39,70
262|225|41,70
486|75|1,70
486|336|2,70
486|186|8,70
486|448|37,70
486|280|38,70
486|561|39,70
486|225|41,70
486|337|41,70
75|336|1,71
75|186|7,71
75|448|36,71
75|280|37,71
75|561|38,71
75|225|40,71
75|337|40,71
75|56|42,71
336|186|6,72
336|448|35,72
336|280|36,72
336|561|37,72
336|225|39,72
336|337|39,72
336|56|41,72
336|112|42,72
186|448|29,78
186|280|30,78
186|561|31,78
186|225|33,78
186|337|33,78
186|56|35,78
186|112|36,78
186|167|38,78
448|280|1,107
448|561|2,107
448|225|4,107
448|337|4,107
448|56|6,107
448|112|7,107
448|167|9,107
448|501|9,107
280|561|1,108
280|225|3,108
280|337|3,108
280|56|5,108
280|112|6,108
280|167|8,108
280|501|8,108
280|390|21,108
561|225|2,109
561|337|2,109
561|56|4,109
561|112|5,109
561|167|7,109
561|501|7,109
561|390|20,109
561|112|39,109
225|337|0,111
225|56|2,111
225|112|3,111
225|167|5,111
225|501|5,111
225|390|18,111
225|112|37,111
225|33|48,111
337|56|2,111
337|112|3,111
337|167|5,111
337|501|5,111
337|390|18,111
337|112|37,111
337|33|48,111
337|134|52,111
56|112|1,113
56|167|3,113
56|501|3,113
56|390|16,113
56|112|35,113
56|33|46,113
56|134|50,113
56|67|52,113
112|167|2,114
112|501|2,114
112|390|15,114
112|112|34,114
112|33|45,114
112|134|49,114
112|67|51,114
112|334|51,114
167|501|0,116
167|390|13,116
167|112|32,116
167|33|43,116
167|134|47,116
167|67|49,116
167|334|49,116
167|366|52,116
501|390|13,116
501|112|32,116
501|33|43,116
501|134|47,116
501|67|49,116
501|334|49,116
501|366|52,116
501|33|78,116
390|112|19,129
390|33|30,129
390|134|34,129
390|67|36,129
390|334|36,129
390|366|39,129
390|33|65,129
390|56|79,129
112|33|11,148
112|134|15,148
112|67|17,148
112|334|17,148
112|366|20,148
112|33|46,148
112|56|60,148
112|503|62,148
33|134|4,159
33|67|6,159
33|334|6,159
33|366|9,159
33|33|35,159
33|56|49,159
33|503|51,159
33|224|52,159
134|67|2,163
134|334|2,163
134|366|5,163
134|33|31,163
134|56|45,163
134|503|47,163
134|224|48,163
134|112|50,163
67|334|0,165
67|366|3,165
67|33|29,165
67|56|43,165
67|503|45,165
67|224|46,165
67|112|48,165
67|281|49,165
334|366|3,165
334|33|29,165
334|56|43,165
334|503|45,165
334|224|46,165
334|112|48,165
334|281|49,165
334|337|49,165
366|33|26,168
366|56|40,168
366|503|42,168
366|224|43,168
366|112|45,168
366|281|46,168
366|337|46,168
366|167|52,168
33|56|14,194
33|503|16,194
33|224|17,194
33|112|19,194
33|281|20,194
33|337|20,194
33|167|26,194
33|390|27,194
56|503|2,208
56|224|3,208
56|112|5,208
56|281|6,208
56|337|6,208
56|167|12,208
56|390|13,208
56|37|42,208
503|224|1,210
503|112|3,210
503|281|4,210
503|337|4,210
503|167|10,210
503|390|11,210
503|37|40,210
503|410|40,210
224|112|2,211
224|281|3,211
224|337|3,211
224|167|9,211
224|390|10,211
224|37|39,211
224|410|39,211
224|447|39,211
112|281|1,213
112|337|1,213
112|167|7,213
112|390|8,213
112|37|37,213
112|410|37,213
112|447|37,213
112|373|39,213
281|337|0,214
281|167|6,214
281|390|7,214
281|37|36,214
281|410|36,214
281|447|36,214
281|373|38,214
281|337|40,214
337|167|6,214
337|390|7,214
337|37|36,214
337|410|36,214
337|447|36,214
337|373|38,214
337|337|40,214
337|75|53,214
167|390|1,220
167|37|30,220
167|410|30,220
167|447|30,220
167|373|32,220
167|337|34,220
167|75|47,220
167|262|47,220
390|37|29,221
390|410|29,221
390|447|29,221
390|373|31,221
390|337|33,221
390|75|46,221
390|262|46,221
390|149|47,221
37|410|0,250
37|447|0,250
37|373|2,250
37|337|4,250
37|75|17,250
37|262|17,250
37|149|18,250
37|223|25,250
410|447|0,250
410|373|2,250
410|337|4,250
410|75|17,250
410|262|17,250
410|149|18,250
410|223|25,250
410|314|46,250
447|373|2,250
447|337|4,250
447|75|17,250
447|262|17,250
447|149|18,250
447|223|25,250
447|314|46,250
447|345|47,250
373|337|2,252
373|75|15,252
373|262|15,252
373|149|16,252
373|223|23,252
373|314|44,252
373|345|45,252
373|282|46,252
337|75|13,254
337|262|13,254
337|149|14,254
337|223|21,254
337|314|42,254
337|345|43,254
337|282|44,254
337|125|45,254
75|262|0,267
75|149|1,267
75|223|8,267
75|314|29,267
75|345|30,267
75|282|31,267
75|125|32,267
75|470|32,267
262|149|1,267
262|223|8,267
262|314|29,267
262|345|30,267
262|282|31,267
262|125|32,267
262|470|32,267
262|31|34,267
149|223|7,268
149|314|28,268
149|345|29,268
149|282|30,268
149|125|31,268
149|470|31,268
149|31|33,268
149|188|34,268
223|314|21,275
223|345|22,275
223|282|23,275
223|125|24,275
223|470|24,275
223|31|26,275
223|188|27,275
223|409|30,275
314|345|1,296
314|282|2,296
314|125|3,296
314|470|3,296
314|31|5,296
314|188|6,296
314|409|9,296
314|220|13,296
345|282|1,297
345|125|2,297
345|470|2,297
345|31|4,297
345|188|5,297
345|409|8,297
345|220|12,297
345|63|21,297
282|125|1,298
282|470|1,298
282|31|3,298
282|188|4,298
282|409|7,298
282|220|11,298
282|63|20,298
282|224|45,298
125|470|0,299
125|31|2,299
125|188|3,299
125|409|6,299
125|220|10,299
125|63|19,299
125|224|44,299
125|336|44,299
470|31|2,299
470|188|3,299
470|409|6,299
470|220|10,299
470|63|19,299
470|224|44,299
470|336|44,299
470|37|46,299
31|188|1,301
31|409|4,301
31|220|8,301
31|63|17,301
31|224|42,301
31|336|42,301
31|37|44,301
31|486|44,301
188|409|3,302
188|220|7,302
188|63|16,302
188|224|41,302
188|336|41,302
188|37|43,302
188|486|43,302
188|75|44,302
409|220|4,305
409|63|13,305
409|224|38,305
409|336|38,305
409|37|40,305
409|486|40,305
409|75|41,305
409|261|44,305
220|63|9,309
220|224|34,309
220|336|34,309
220|37|36,309
220|486|36,309
220|75|37,309
220|261|40,309
220|149|41,309
63|224|25,318
63|336|25,318
63|37|27,318
63|486|27,318
63|75|28,318
63|261|31,318
63|149|32,318
63|447|32,318
224|336|0,343
224|37|2,343
224|486|2,343
224|75|3,343
224|261|6,343
224|149|7,343
224|447|7,343
224|411|14,343
336|37|2,343
336|486|2,343
336|75|3,343
336|261|6,343
336|149|7,343
336|447|7,343
336|411|14,343
336|372|22,343
37|486|0,345
37|75|1,345
37|261|4,345
37|149|5,345
37|447|5,345
37|411|12,345
37|372|20,345
37|337|41,345
486|75|1,345
486|261|4,345
486|149|5,345
486|447|5,345
486|411|12,345
486|372|20,345
486|337|41,345
486|168|43,345
75|261|3,346
75|149|4,346
75|447|4,346
75|411|11,346
75|372|19,346
