hash,time
85|25|1,11
85|139|1,11
85|170|1,11
85|240|1,11
85|362|1,11
85|395|1,11
85|473|1,11
85|549|1,11
25|139|0,12
25|170|0,12
25|240|0,12
25|362|0,12
25|395|0,12
25|473|0,12
25|549|0,12
25|624|0,12
139|170|0,12
139|240|0,12
139|362|0,12
139|395|0,12
139|473|0,12
139|549|0,12
139|624|0,12
139|711|0,12
170|240|0,12
170|362|0,12
170|395|0,12
170|473|0,12
170|549|0,12
170|624|0,12
170|711|0,12
170|790|0,12
240|362|0,12
240|395|0,12
240|473|0,12
240|549|0,12
240|624|0,12
240|711|0,12
240|790|0,12
240|874|0,12
362|395|0,12
362|473|0,12
362|549|0,12
362|624|0,12
362|711|0,12
362|790|0,12
362|874|0,12
362|1122|0,12
395|473|0,12
395|549|0,12
395|624|0,12
395|711|0,12
395|790|0,12
395|874|0,12
395|1122|0,12
395|297|1,12
473|549|0,12
473|624|0,12
473|711|0,12
473|790|0,12
473|874|0,12
473|1122|0,12
473|297|1,12
473|668|1,12
549|624|0,12
549|711|0,12
549|790|0,12
549|874|0,12
549|1122|0,12
549|297|1,12
549|668|1,12
549|830|1,12
624|711|0,12
624|790|0,12
624|874|0,12
624|1122|0,12
624|297|1,12
624|668|1,12
624|830|1,12
624|923|1,12
711|790|0,12
711|874|0,12
711|1122|0,12
711|297|1,12
711|668|1,12
711|830|1,12
711|923|1,12
711|1001|1,12
790|874|0,12
790|1122|0,12
790|297|1,12
790|668|1,12
790|830|1,12
790|923|1,12
790|1001|1,12
790|79|33,12
874|1122|0,12
874|297|1,12
874|668|1,12
874|830|1,12
874|923|1,12
874|1001|1,12
874|79|33,12
874|24|34,12
1122|297|1,12
1122|668|1,12
1122|830|1,12
1122|923|1,12
1122|1001|1,12
1122|79|33,12
1122|24|34,12
1122|168|34,12
297|668|0,13
297|830|0,13
297|923|0,13
297|1001|0,13
297|79|32,13
297|24|33,13
297|168|33,13
297|217|33,13
668|830|0,13
668|923|0,13
668|1001|0,13
668|79|32,13
668|24|33,13
668|168|33,13
668|217|33,13
668|302|33,13
830|923|0,13
830|1001|0,13
830|79|32,13
830|24|33,13
830|168|33,13
830|217|33,13
830|302|33,13
830|344|33,13
923|1001|0,13
923|79|32,13
923|24|33,13
923|168|33,13
923|217|33,13
923|302|33,13
923|344|33,13
923|653|33,13
1001|79|32,13
1001|24|33,13
1001|168|33,13
1001|217|33,13
1001|302|33,13
1001|344|33,13
1001|653|33,13
1001|712|33,13
79|24|1,45
79|168|1,45
79|217|1,45
79|302|1,45
79|344|1,45
79|653|1,45
79|712|1,45
79|921|1,45
24|168|0,46
24|217|0,46
24|302|0,46
24|344|0,46
24|653|0,46
24|712|0,46
24|921|0,46
24|1049|0,46
168|217|0,46
168|302|0,46
168|344|0,46
168|653|0,46
168|712|0,46
168|921|0,46
168|1049|0,46
168|1095|0,46
217|302|0,46
217|344|0,46
217|653|0,46
217|712|0,46
217|921|0,46
217|1049|0,46
217|1095|0,46
217|536|1,46
302|344|0,46
302|653|0,46
302|712|0,46
302|921|0,46
302|1049|0,46
302|1095|0,46
302|536|1,46
302|767|1,46
344|653|0,46
344|712|0,46
344|921|0,46
344|1049|0,46
344|1095|0,46
344|536|1,46
344|767|1,46
344|800|1,46
653|712|0,46
653|921|0,46
653|1049|0,46
653|1095|0,46
653|536|1,46
653|767|1,46
653|800|1,46
653|843|1,46
712|921|0,46
712|1049|0,46
712|1095|0,46
712|536|1,46
712|767|1,46
712|800|1,46
712|843|1,46
712|995|1,46
921|1049|0,46
921|1095|0,46
921|536|1,46
921|767|1,46
921|800|1,46
921|843|1,46
921|995|1,46
921|474|11,46
1049|1095|0,46
1049|536|1,46
1049|767|1,46
1049|800|1,46
1049|843|1,46
1049|995|1,46
1049|474|11,46
1049|407|12,46
1095|536|1,46
1095|767|1,46
1095|800|1,46
1095|843|1,46
1095|995|1,46
1095|474|11,46
1095|407|12,46
1095|867|12,46
536|767|0,47
536|800|0,47
536|843|0,47
536|995|0,47
536|474|10,47
536|407|11,47
536|867|11,47
536|211|44,47
767|800|0,47
767|843|0,47
767|995|0,47
767|474|10,47
767|407|11,47
767|867|11,47
767|211|44,47
767|800|45,47
800|843|0,47
800|995|0,47
800|474|10,47
800|407|11,47
800|867|11,47
800|211|44,47
800|800|45,47
800|916|45,47
843|995|0,47
843|474|10,47
843|407|11,47
843|867|11,47
843|211|44,47
843|800|45,47
843|916|45,47
843|21|46,47
995|474|10,47
995|407|11,47
995|867|11,47
995|211|44,47
995|800|45,47
995|916|45,47
995|21|46,47
995|58|55,47
474|407|1,57
474|867|1,57
474|211|34,57
474|800|35,57
474|916|35,57
474|21|36,57
474|58|45,57
474|268|45,57
407|867|0,58
407|211|33,58
407|800|34,58
407|916|34,58
407|21|35,58
407|58|44,58
407|268|44,58
407|654|44,58
867|211|33,58
867|800|34,58
867|916|34,58
867|21|35,58
867|58|44,58
867|268|44,58
867|654|44,58
867|971|44,58
211|800|1,91
211|916|1,91
211|21|2,91
211|58|11,91
211|268|11,91
211|654|11,91
211|971|11,91
211|1092|11,91
800|916|0,92
800|21|1,92
800|58|10,92
800|268|10,92
800|654|10,92
800|971|10,92
800|1092|10,92
800|343|11,92
916|21|1,92
916|58|10,92
916|268|10,92
916|654|10,92
916|971|10,92
916|1092|10,92
916|343|11,92
916|388|11,92
21|58|9,93
21|268|9,93
21|654|9,93
21|971|9,93
21|1092|9,93
21|343|10,93
21|388|10,93
21|428|10,93
58|268|0,102
58|654|0,102
58|971|0,102
58|1092|0,102
58|343|1,102
58|388|1,102
58|428|1,102
58|524|1,102
268|654|0,102
268|971|0,102
268|1092|0,102
268|343|1,102
268|388|1,102
268|428|1,102
268|524|1,102
268|588|1,102
654|971|0,102
654|1092|0,102
654|343|1,102
654|388|1,102
654|428|1,102
654|524|1,102
654|588|1,102
654|762|1,102
971|1092|0,102
971|343|1,102
971|388|1,102
971|428|1,102
971|524|1,102
971|588|1,102
971|762|1,102
971|891|1,102
1092|343|1,102
1092|388|1,102
1092|428|1,102
1092|524|1,102
1092|588|1,102
1092|762|1,102
1092|891|1,102
1092|1047|1,102
343|388|0,103
343|428|0,103
343|524|0,103
343|588|0,103
343|762|0,103
343|891|0,103
343|1047|0,103
343|230|10,103
388|428|0,103
388|524|0,103
388|588|0,103
388|762|0,103
388|891|0,103
388|1047|0,103
388|230|10,103
388|934|11,103
428|524|0,103
428|588|0,103
428|762|0,103
428|891|0,103
428|1047|0,103
428|230|10,103
428|934|11,103
428|288|22,103
524|588|0,103
524|762|0,103
524|891|0,103
524|1047|0,103
524|230|10,103
524|934|11,103
524|288|22,103
524|470|22,103
588|762|0,103
588|891|0,103
588|1047|0,103
588|230|10,103
588|934|11,103
588|288|22,103
588|470|22,103
588|9|26,103
762|891|0,103
762|1047|0,103
762|230|10,103
762|934|11,103
762|288|22,103
762|470|22,103
762|9|26,103
762|207|31,103
891|1047|0,103
891|230|10,103
891|934|11,103
891|288|22,103
891|470|22,103
891|9|26,103
891|207|31,103
891|312|37,103
1047|230|10,103
1047|934|11,103
1047|288|22,103
1047|470|22,103
1047|9|26,103
1047|207|31,103
1047|312|37,103
1047|517|37,103
230|934|1,113
230|288|12,113
230|470|12,113
230|9|16,113
230|207|21,113
230|312|27,113
230|517|27,113
230|131|28,113
934|288|11,114
934|470|11,114
934|9|15,114
934|207|20,114
934|312|26,114
934|517|26,114
934|131|27,114
934|181|28,114
288|470|0,125
288|9|4,125
288|207|9,125
288|312|15,125
288|517|15,125
288|131|16,125
288|181|17,125
288|649|23,125
470|9|4,125
470|207|9,125
470|312|15,125
470|517|15,125
470|131|16,125
470|181|17,125
470|649|23,125
470|687|23,125
9|207|5,129
9|312|11,129
9|517|11,129
9|131|12,129
9|181|13,129
9|649|19,129
9|687|19,129
9|988|19,129
207|312|6,134
207|517|6,134
207|131|7,134
207|181|8,134
207|649|14,134
207|687|14,134
207|988|14,134
207|1019|14,134
312|517|0,140
312|131|1,140
312|181|2,140
312|649|8,140
312|687|8,140
312|988|8,140
312|1019|8,140
312|1088|8,140
517|131|1,140
517|181|2,140
517|649|8,140
517|687|8,140
517|988|8,140
517|1019|8,140
517|1088|8,140
517|1125|8,140
131|181|1,141
131|649|7,141
131|687|7,141
131|988|7,141
131|1019|7,141
131|1088|7,141
131|1125|7,141
131|1311|7,141
181|649|6,142
181|687|6,142
181|988|6,142
181|1019|6,142
181|1088|6,142
181|1125|6,142
181|1311|6,142
181|564|7,142
649|687|0,148
649|988|0,148
649|1019|0,148
649|1088|0,148
649|1125|0,148
649|1311|0,148
649|564|1,148
649|910|1,148
687|988|0,148
687|1019|0,148
687|1088|0,148
687|1125|0,148
687|1311|0,148
687|564|1,148
687|910|1,148
687|1205|1,148
988|1019|0,148
988|1088|0,148
988|1125|0,148
988|1311|0,148
988|564|1,148
988|910|1,148
988|1205|1,148
988|784|2,148
1019|1088|0,148
1019|1125|0,148
1019|1311|0,148
1019|564|1,148
1019|910|1,148
1019|1205|1,148
1019|784|2,148
1019|414|3,148
1088|1125|0,148
1088|1311|0,148
1088|564|1,148
1088|910|1,148
1088|1205|1,148
1088|784|2,148
1088|414|3,148
1088|865|3,148
1125|1311|0,148
1125|564|1,148
1125|910|1,148
1125|1205|1,148
1125|784|2,148
1125|414|3,148
1125|865|3,148
1125|527|16,148
1311|564|1,148
1311|910|1,148
1311|1205|1,148
1311|784|2,148
1311|414|3,148
1311|865|3,148
1311|527|16,148
1311|470|22,148
564|910|0,149
564|1205|0,149
564|784|1,149
564|414|2,149
564|865|2,149
564|527|15,149
564|470|21,149
564|616|21,149
910|1205|0,149
910|784|1,149
910|414|2,149
910|865|2,149
910|527|15,149
910|470|21,149
910|616|21,149
910|769|21,149
1205|784|1,149
1205|414|2,149
1205|865|2,149
1205|527|15,149
1205|470|21,149
1205|616|21,149
1205|769|21,149
1205|259|22,149
784|414|1,150
784|865|1,150
784|527|14,150
784|470|20,150
784|616|20,150
784|769|20,150
784|259|21,150
784|384|21,150
414|865|0,151
414|527|13,151
414|470|19,151
