hash,time
170|318|0,42
170|21|2,42
170|84|3,42
170|116|3,42
170|71|48,42
170|319|48,42
170|112|49,42
170|226|50,42
318|21|2,42
318|84|3,42
318|116|3,42
318|71|48,42
318|319|48,42
318|112|49,42
318|226|50,42
318|21|93,42
21|84|1,44
21|116|1,44
21|71|46,44
21|319|46,44
21|112|47,44
21|226|48,44
21|21|91,44
21|319|91,44
84|116|0,45
84|71|45,45
84|319|45,45
84|112|46,45
84|226|47,45
84|21|90,45
84|319|90,45
84|459|90,45
116|71|45,45
116|319|45,45
116|112|46,45
116|226|47,45
116|21|90,45
116|319|90,45
116|459|90,45
116|106|91,45
71|319|0,90
71|112|1,90
71|226|2,90
71|21|45,90
71|319|45,90
71|459|45,90
71|106|46,90
71|191|46,90
319|112|1,90
319|226|2,90
319|21|45,90
319|319|45,90
319|459|45,90
319|106|46,90
319|191|46,90
319|551|46,90
112|226|1,91
112|21|44,91
112|319|44,91
112|459|44,91
112|106|45,91
112|191|45,91
112|551|45,91
112|276|46,91
226|21|43,92
226|319|43,92
226|459|43,92
226|106|44,92
226|191|44,92
226|551|44,92
226|276|45,92
226|399|45,92
21|319|0,135
21|459|0,135
21|106|1,135
21|191|1,135
21|551|1,135
21|276|2,135
21|399|2,135
21|226|3,135
319|459|0,135
319|106|1,135
319|191|1,135
319|551|1,135
319|276|2,135
319|399|2,135
319|226|3,135
319|227|58,135
459|106|1,135
459|191|1,135
459|551|1,135
459|276|2,135
459|399|2,135
459|226|3,135
459|227|58,135
459|113|60,135
106|191|0,136
106|551|0,136
106|276|1,136
106|399|1,136
106|226|2,136
106|227|57,136
106|113|59,136
106|169|67,136
191|551|0,136
191|276|1,136
191|399|1,136
191|226|2,136
191|227|57,136
191|113|59,136
191|169|67,136
191|71|90,136
551|276|1,136
551|399|1,136
551|226|2,136
551|227|57,136
551|113|59,136
551|169|67,136
551|71|90,136
551|18|91,136
276|399|0,137
276|226|1,137
276|227|56,137
276|113|58,137
276|169|66,137
276|71|89,137
276|18|90,137
276|113|92,137
399|226|1,137
399|227|56,137
399|113|58,137
399|169|66,137
399|71|89,137
399|18|90,137
399|113|92,137
399|244|92,137
226|227|55,138
226|113|57,138
226|169|65,138
226|71|88,138
226|18|89,138
226|113|91,138
226|244|91,138
226|341|91,138
227|113|2,193
227|169|10,193
227|71|33,193
227|18|34,193
227|113|36,193
227|244|36,193
227|341|36,193
227|188|44,193
113|169|8,195
113|71|31,195
113|18|32,195
113|113|34,195
113|244|34,195
113|341|34,195
113|188|42,195
113|71|79,195
169|71|23,203
169|18|24,203
169|113|26,203
169|244|26,203
169|341|26,203
169|188|34,203
169|71|71,203
169|142|71,203
71|18|1,226
71|113|3,226
71|244|3,226
71|341|3,226
71|188|11,226
71|71|48,226
71|142|48,226
71|319|48,226
18|113|2,227
18|244|2,227
18|341|2,227
18|188|10,227
18|71|47,227
18|142|47,227
18|319|47,227
18|226|48,227
113|244|0,229
113|341|0,229
113|188|8,229
113|71|45,229
113|142|45,229
113|319|45,229
113|226|46,229
113|18|52,229
244|341|0,229
244|188|8,229
244|71|45,229
244|142|45,229
244|319|45,229
244|226|46,229
244|18|52,229
244|106|55,229
341|188|8,229
341|71|45,229
341|142|45,229
341|319|45,229
341|226|46,229
341|18|52,229
341|106|55,229
341|284|58,229
188|71|37,237
188|142|37,237
188|319|37,237
188|226|38,237
188|18|44,237
188|106|47,237
188|284|50,237
188|290|81,237
71|142|0,274
71|319|0,274
71|226|1,274
71|18|7,274
71|106|10,274
71|284|13,274
71|290|44,274
71|446|44,274
142|319|0,274
142|226|1,274
142|18|7,274
142|106|10,274
142|284|13,274
142|290|44,274
142|446|44,274
142|486|44,274
319|226|1,274
319|18|7,274
319|106|10,274
319|284|13,274
319|290|44,274
319|446|44,274
319|486|44,274
319|191|45,274
226|18|6,275
226|106|9,275
226|284|12,275
226|290|43,275
226|446|43,275
226|486|43,275
226|191|44,275
226|240|44,275
18|106|3,281
18|284|6,281
18|290|37,281
18|446|37,281
18|486|37,281
18|191|38,281
18|240|38,281
18|341|38,281
106|284|3,284
106|290|34,284
106|446|34,284
106|486|34,284
106|191|35,284
106|240|35,284
106|341|35,284
106|159|36,284
284|290|31,287
284|446|31,287
284|486|31,287
284|191|32,287
284|240|32,287
284|341|32,287
284|159|33,287
284|32|34,287
290|446|0,318
290|486|0,318
290|191|1,318
290|240|1,318
290|341|1,318
290|159|2,318
290|32|3,318
290|111|9,318
446|486|0,318
446|191|1,318
446|240|1,318
446|341|1,318
446|159|2,318
446|32|3,318
446|111|9,318
446|672|31,318
486|191|1,318
486|240|1,318
486|341|1,318
486|159|2,318
486|32|3,318
486|111|9,318
486|672|31,318
486|283|32,318
191|240|0,319
191|341|0,319
191|159|1,319
191|32|2,319
191|111|8,319
191|672|30,319
191|283|31,319
191|398|31,319
240|341|0,319
240|159|1,319
240|32|2,319
240|111|8,319
240|672|30,319
240|283|31,319
240|398|31,319
240|437|31,319
341|159|1,319
341|32|2,319
341|111|8,319
341|672|30,319
341|283|31,319
341|398|31,319
341|437|31,319
341|491|31,319
159|32|1,320
159|111|7,320
159|672|29,320
159|283|30,320
159|398|30,320
159|437|30,320
159|491|30,320
159|245|31,320
32|111|6,321
32|672|28,321
32|283|29,321
32|398|29,321
32|437|29,321
32|491|29,321
32|245|30,321
32|580|30,321
111|672|22,327
111|283|23,327
111|398|23,327
111|437|23,327
111|491|23,327
111|245|24,327
111|580|24,327
111|1035|24,327
672|283|1,349
672|398|1,349
672|437|1,349
672|491|1,349
672|245|2,349
672|580|2,349
672|1035|2,349
672|966|3,349
283|398|0,350
283|437|0,350
283|491|0,350
283|245|1,350
283|580|1,350
283|1035|1,350
283|966|2,350
283|188|10,350
398|437|0,350
398|491|0,350
398|245|1,350
398|580|1,350
398|1035|1,350
398|966|2,350
398|188|10,350
398|932|11,350
437|491|0,350
437|245|1,350
437|580|1,350
437|1035|1,350
437|966|2,350
437|188|10,350
437|932|11,350
437|734|12,350
491|245|1,350
491|580|1,350
491|1035|1,350
491|966|2,350
491|188|10,350
491|932|11,350
491|734|12,350
491|301|28,350
245|580|0,351
245|1035|0,351
245|966|1,351
245|188|9,351
245|932|10,351
245|734|11,351
245|301|27,351
245|458|27,351
580|1035|0,351
580|966|1,351
580|188|9,351
580|932|10,351
580|734|11,351
580|301|27,351
580|458|27,351
580|113|28,351
1035|966|1,351
1035|188|9,351
1035|932|10,351
1035|734|11,351
1035|301|27,351
1035|458|27,351
1035|113|28,351
1035|266|28,351
966|188|8,352
966|932|9,352
966|734|10,352
966|301|26,352
966|458|26,352
966|113|27,352
966|266|27,352
966|18|28,352
188|932|1,360
188|734|2,360
188|301|18,360
188|458|18,360
188|113|19,360
188|266|19,360
188|18|20,360
188|964|21,360
932|734|1,361
932|301|17,361
932|458|17,361
932|113|18,361
932|266|18,361
932|18|19,361
932|964|20,361
932|399|22,361
734|301|16,362
734|458|16,362
734|113|17,362
734|266|17,362
734|18|18,362
734|964|19,362
734|399|21,362
734|643|48,362
301|458|0,378
301|113|1,378
301|266|1,378
301|18|2,378
301|964|3,378
301|399|5,378
301|643|32,378
301|790|32,378
458|113|1,378
458|266|1,378
458|18|2,378
458|964|3,378
458|399|5,378
458|643|32,378
458|790|32,378
458|127|33,378
113|266|0,379
113|18|1,379
113|964|2,379
113|399|4,379
113|643|31,379
113|790|31,379
113|127|32,379
113|227|32,379
266|18|1,379
266|964|2,379
266|399|4,379
266|643|31,379
266|790|31,379
266|127|32,379
266|227|32,379
266|490|32,379
18|964|1,380
18|399|3,380
18|643|30,380
18|790|30,380
18|127|31,380
18|227|31,380
18|490|31,380
18|939|31,380
964|399|2,381
964|643|29,381
964|790|29,381
964|127|30,381
964|227|30,381
964|490|30,381
964|939|30,381
964|170|31,381
399|643|27,383
399|790|27,383
399|127|28,383
399|227|28,383
399|490|28,383
399|939|28,383
399|170|29,383
399|426|29,383
643|790|0,410
643|127|1,410
643|227|1,410
643|490|1,410
643|939|1,410
643|170|2,410
643|426|2,410
643|551|2,410
790|127|1,410
790|227|1,410
790|490|1,410
790|939|1,410
790|170|2,410
790|426|2,410
790|551|2,410
790|705|2,410
127|227|0,411
127|490|0,411
127|939|0,411
127|170|1,411
127|426|1,411
127|551|1,411
127|705|1,411
127|275|3,411
227|490|0,411
227|939|0,411
227|170|1,411
227|426|1,411
227|551|1,411
227|705|1,411
227|275|3,411
227|28|25,411
490|939|0,411
490|170|1,411
490|426|1,411
490|551|1,411
490|705|1,411
490|275|3,411
490|28|25,411
490|463|46,411
939|170|1,411
939|426|1,411
939|551|1,411
939|705|1,411
939|275|3,411
939|28|25,411
939|463|46,411
939|142|47,411
170|426|0,412
170|551|0,412
170|705|0,412
170|275|2,412
170|28|24,412
170|463|45,412
170|142|46,412
170|320|46,412
426|551|0,412
426|705|0,412
426|275|2,412
426|28|24,412
426|463|45,412
426|142|46,412
426|320|46,412
426|391|46,412
551|705|0,412
551|275|2,412
551|28|24,412
551|463|45,412
551|142|46,412
551|320|46,412
551|391|46,412
551|427|46,412
705|275|2,412
705|28|24,412
705|463|45,412
705|142|46,412
705|320|46,412
705|391|46,412
705|427|46,412
705|106|59,412
275|28|22,414
275|463|43,414
275|142|44,414
275|320|44,414
275|391|44,414
275|427|44,414
275|106|57,414
275|21|58,414
28|463|21,436
28|142|22,436
28|320|22,436
28|391|22,436
28|427|22,436
28|106|35,436
28|21|36,436
28|543|64,436
463|142|1,457
463|320|1,457
463|391|1,457
463|427|1,457
463|106|14,457
463|21|15,457
463|543|43,457
463|609|43,457
142|320|0,458
142|391|0,458
142|427|0,458
142|106|13,458
142|21|14,458
142|543|42,458
142|609|42,458
142|358|43,458
320|391|0,458
320|427|0,458
320|106|13,458
320|21|14,458
320|543|42,458
320|609|42,458
320|358|43,458
320|461|43,458
391|427|0,458
391|106|13,458
391|21|14,458
391|543|42,458
391|609|42,458
391|358|43,458
391|461|43,458
391|719|43,458
427|106|13,458
427|21|14,458
427|543|42,458
427|609|42,458
427|358|43,458
427|461|43,458
427|719|43,458
427|887|43,458
106|21|1,471
106|543|29,471
106|609|29,471
106|358|30,471
106|461|30,471
106|719|30,471
106|887|30,471
106|940|30,471
21|543|28,472
21|609|28,472
21|358|29,472
21|461|29,472
21|719|29,472
21|887|29,472
21|940|29,472
21|1014|29,472
543|609|0,500
543|358|1,500
543|461|1,500
543|719|1,500
543|887|1,500
543|940|1,500
543|1014|1,500
543|13|2,500
609|358|1,500
609|461|1,500
609|719|1,500
609|887|1,500
609|940|1,500
609|1014|1,500
609|13|2,500
609|127|3,500
358|461|0,501
