hash,time
15|777|15,10
15|85|16,10
15|128|16,10
15|627|16,10
15|162|17,10
15|64|18,10
15|43|20,10
15|239|21,10
777|85|1,25
777|128|1,25
777|627|1,25
777|162|2,25
777|64|3,25
777|43|5,25
777|239|6,25
777|283|6,25
85|128|0,26
85|627|0,26
85|162|1,26
85|64|2,26
85|43|4,26
85|239|5,26
85|283|5,26
85|458|5,26
128|627|0,26
128|162|1,26
128|64|2,26
128|43|4,26
128|239|5,26
128|283|5,26
128|458|5,26
128|719|5,26
627|162|1,26
627|64|2,26
627|43|4,26
627|239|5,26
627|283|5,26
627|458|5,26
627|719|5,26
627|502|6,26
162|64|1,27
162|43|3,27
162|239|4,27
162|283|4,27
162|458|4,27
162|719|4,27
162|502|5,27
162|609|5,27
64|43|2,28
64|239|3,28
64|283|3,28
64|458|3,28
64|719|3,28
64|502|4,28
64|609|4,28
64|578|11,28
43|239|1,30
43|283|1,30
43|458|1,30
43|719|1,30
43|502|2,30
43|609|2,30
43|578|9,30
43|1076|9,30
239|283|0,31
239|458|0,31
239|719|0,31
239|502|1,31
239|609|1,31
239|578|8,31
239|1076|8,31
239|531|9,31
283|458|0,31
283|719|0,31
283|502|1,31
283|609|1,31
283|578|8,31
283|1076|8,31
283|531|9,31
283|965|10,31
458|719|0,31
458|502|1,31
458|609|1,31
458|578|8,31
458|1076|8,31
458|531|9,31
458|965|10,31
458|16|11,31
719|502|1,31
719|609|1,31
719|578|8,31
719|1076|8,31
719|531|9,31
719|965|10,31
719|16|11,31
719|923|11,31
502|609|0,32
502|578|7,32
502|1076|7,32
502|531|8,32
502|965|9,32
502|16|10,32
502|923|10,32
502|195|11,32
609|578|7,32
609|1076|7,32
609|531|8,32
609|965|9,32
609|16|10,32
609|923|10,32
609|195|11,32
609|313|12,32
578|1076|0,39
578|531|1,39
578|965|2,39
578|16|3,39
578|923|3,39
578|195|4,39
578|313|5,39
578|488|5,39
1076|531|1,39
1076|965|2,39
1076|16|3,39
1076|923|3,39
1076|195|4,39
1076|313|5,39
1076|488|5,39
1076|820|5,39
531|965|1,40
531|16|2,40
531|923|2,40
531|195|3,40
531|313|4,40
531|488|4,40
531|820|4,40
531|844|4,40
965|16|1,41
965|923|1,41
965|195|2,41
965|313|3,41
965|488|3,41
965|820|3,41
965|844|3,41
965|892|3,41
16|923|0,42
16|195|1,42
16|313|2,42
16|488|2,42
16|820|2,42
16|844|2,42
16|892|2,42
16|1133|2,42
923|195|1,42
923|313|2,42
923|488|2,42
923|820|2,42
923|844|2,42
923|892|2,42
923|1133|2,42
923|219|3,42
195|313|1,43
195|488|1,43
195|820|1,43
195|844|1,43
195|892|1,43
195|1133|1,43
195|219|2,43
195|341|2,43
313|488|0,44
313|820|0,44
313|844|0,44
313|892|0,44
313|1133|0,44
313|219|1,44
313|341|1,44
313|699|1,44
488|820|0,44
488|844|0,44
488|892|0,44
488|1133|0,44
488|219|1,44
488|341|1,44
488|699|1,44
488|1022|3,44
820|844|0,44
820|892|0,44
820|1133|0,44
820|219|1,44
820|341|1,44
820|699|1,44
820|1022|3,44
820|1047|3,44
844|892|0,44
844|1133|0,44
844|219|1,44
844|341|1,44
844|699|1,44
844|1022|3,44
844|1047|3,44
844|663|4,44
892|1133|0,44
892|219|1,44
892|341|1,44
892|699|1,44
892|1022|3,44
892|1047|3,44
892|663|4,44
892|904|13,44
1133|219|1,44
1133|341|1,44
1133|699|1,44
1133|1022|3,44
1133|1047|3,44
1133|663|4,44
1133|904|13,44
1133|127|14,44
219|341|0,45
219|699|0,45
219|1022|2,45
219|1047|2,45
219|663|3,45
219|904|12,45
219|127|13,45
219|607|13,45
341|699|0,45
341|1022|2,45
341|1047|2,45
341|663|3,45
341|904|12,45
341|127|13,45
341|607|13,45
341|635|13,45
699|1022|2,45
699|1047|2,45
699|663|3,45
699|904|12,45
699|127|13,45
699|607|13,45
699|635|13,45
699|791|13,45
1022|1047|0,47
1022|663|1,47
1022|904|10,47
1022|127|11,47
1022|607|11,47
1022|635|11,47
1022|791|11,47
1022|948|11,47
1047|663|1,47
1047|904|10,47
1047|127|11,47
1047|607|11,47
1047|635|11,47
1047|791|11,47
1047|948|11,47
1047|21|12,47
663|904|9,48
663|127|10,48
663|607|10,48
663|635|10,48
663|791|10,48
663|948|10,48
663|21|11,48
663|54|11,48
904|127|1,57
904|607|1,57
904|635|1,57
904|791|1,57
904|948|1,57
904|21|2,57
904|54|2,57
904|528|4,57
127|607|0,58
127|635|0,58
127|791|0,58
127|948|0,58
127|21|1,58
127|54|1,58
127|528|3,58
127|502|4,58
607|635|0,58
607|791|0,58
607|948|0,58
607|21|1,58
607|54|1,58
607|528|3,58
607|502|4,58
607|581|4,58
635|791|0,58
635|948|0,58
635|21|1,58
635|54|1,58
635|528|3,58
635|502|4,58
635|581|4,58
635|1214|4,58
791|948|0,58
791|21|1,58
791|54|1,58
