hash,time
5|268|7,106
5|10|47,106
5|238|48,106
5|417|48,106
5|450|48,106
5|610|48,106
5|111|49,106
5|284|49,106
268|10|40,113
268|238|41,113
268|417|41,113
268|450|41,113
268|610|41,113
268|111|42,113
268|284|42,113
268|482|42,113
10|238|1,153
10|417|1,153
10|450|1,153
10|610|1,153
10|111|2,153
10|284|2,153
10|482|2,153
10|161|4,153
238|417|0,154
238|450|0,154
238|610|0,154
238|111|1,154
238|284|1,154
238|482|1,154
238|161|3,154
238|339|3,154
417|450|0,154
417|610|0,154
417|111|1,154
417|284|1,154
417|482|1,154
417|161|3,154
417|339|3,154
417|520|4,154
450|610|0,154
450|111|1,154
450|284|1,154
450|482|1,154
450|161|3,154
450|339|3,154
450|520|4,154
450|162|47,154
610|111|1,154
610|284|1,154
610|482|1,154
610|161|3,154
610|339|3,154
610|520|4,154
610|162|47,154
610|249|48,154
111|284|0,155
111|482|0,155
111|161|2,155
111|339|2,155
111|520|3,155
111|162|46,155
111|249|47,155
111|5|51,155
284|482|0,155
284|161|2,155
284|339|2,155
284|520|3,155
284|162|46,155
284|249|47,155
284|5|51,155
284|10|98,155
482|161|2,155
482|339|2,155
482|520|3,155
482|162|46,155
482|249|47,155
482|5|51,155
482|10|98,155
482|165|99,155
161|339|0,157
161|520|1,157
161|162|44,157
161|249|45,157
161|5|49,157
161|10|96,157
161|165|97,157
161|214|97,157
339|520|1,157
339|162|44,157
339|249|45,157
339|5|49,157
339|10|96,157
339|165|97,157
339|214|97,157
339|410|97,157
520|162|43,158
520|249|44,158
520|5|48,158
520|10|95,158
520|165|96,158
520|214|96,158
520|410|96,158
520|554|96,158
162|249|1,201
162|5|5,201
162|10|52,201
162|165|53,201
162|214|53,201
162|410|53,201
162|554|53,201
162|647|53,201
249|5|4,202
249|10|51,202
249|165|52,202
249|214|52,202
249|410|52,202
249|554|52,202
249|647|52,202
249|679|52,202
5|10|47,206
5|165|48,206
5|214|48,206
5|410|48,206
5|554|48,206
5|647|48,206
5|679|48,206
5|760|48,206
10|165|1,253
10|214|1,253
10|410|1,253
10|554|1,253
10|647|1,253
10|679|1,253
10|760|1,253
10|111|2,253
165|214|0,254
165|410|0,254
165|554|0,254
165|647|0,254
165|679|0,254
165|760|0,254
165|111|1,254
165|250|1,254
214|410|0,254
214|554|0,254
214|647|0,254
214|679|0,254
214|760|0,254
214|111|1,254
214|250|1,254
214|284|1,254
410|554|0,254
410|647|0,254
410|679|0,254
410|760|0,254
410|111|1,254
410|250|1,254
410|284|1,254
410|482|1,254
554|647|0,254
554|679|0,254
554|760|0,254
554|111|1,254
554|250|1,254
554|284|1,254
554|482|1,254
554|593|2,254
647|679|0,254
647|760|0,254
647|111|1,254
647|250|1,254
647|284|1,254
647|482|1,254
647|593|2,254
647|339|3,254
679|760|0,254
679|111|1,254
679|250|1,254
679|284|1,254
679|482|1,254
679|593|2,254
679|339|3,254
679|256|48,254
760|111|1,254
760|250|1,254
760|284|1,254
760|482|1,254
760|593|2,254
760|339|3,254
760|256|48,254
760|300|48,254
111|250|0,255
111|284|0,255
111|482|0,255
111|593|1,255
111|339|2,255
111|256|47,255
111|300|47,255
111|5|51,255
250|284|0,255
250|482|0,255
250|593|1,255
250|339|2,255
250|256|47,255
250|300|47,255
250|5|51,255
250|10|98,255
284|482|0,255
284|593|1,255
284|339|2,255
284|256|47,255
