hash,time
96|959|3,67
96|1122|5,67
96|1059|6,67
96|31|13,67
96|246|20,67
96|1079|22,67
96|688|24,67
96|318|26,67
959|1122|2,70
959|1059|3,70
959|31|10,70
959|246|17,70
959|1079|19,70
959|688|21,70
959|318|23,70
959|595|23,70
1122|1059|1,72
1122|31|8,72
1122|246|15,72
1122|1079|17,72
1122|688|19,72
1122|318|21,72
1122|595|21,72
1122|1015|21,72
1059|31|7,73
1059|246|14,73
1059|1079|16,73
1059|688|18,73
1059|318|20,73
1059|595|20,73
1059|1015|20,73
1059|195|21,73
31|246|7,80
31|1079|9,80
31|688|11,80
31|318|13,80
31|595|13,80
31|1015|13,80
31|195|14,80
31|10|16,80
246|1079|2,87
246|688|4,87
246|318|6,87
246|595|6,87
246|1015|6,87
246|195|7,87
246|10|9,87
246|524|15,87
1079|688|2,89
1079|318|4,89
1079|595|4,89
1079|1015|4,89
1079|195|5,89
1079|10|7,89
1079|524|13,89
1079|339|14,89
688|318|2,91
688|595|2,91
688|1015|2,91
688|195|3,91
688|10|5,91
688|524|11,91
688|339|12,91
688|719|13,91
318|595|0,93
318|1015|0,93
318|195|1,93
318|10|3,93
318|524|9,93
318|339|10,93
318|719|11,93
318|924|11,93
595|1015|0,93
595|195|1,93
595|10|3,93
595|524|9,93
595|339|10,93
595|719|11,93
595|924|11,93
595|1110|11,93
1015|195|1,93
1015|10|3,93
1015|524|9,93
1015|339|10,93
1015|719|11,93
1015|924|11,93
1015|1110|11,93
1015|617|13,93
195|10|2,94
195|524|8,94
195|339|9,94
195|719|10,94
195|924|10,94
195|1110|10,94
195|617|12,94
195|422|14,94
10|524|6,96
10|339|7,96
10|719|8,96
10|924|8,96
10|1110|8,96
10|617|10,96
10|422|12,96
10|894|12,96
524|339|1,102
524|719|2,102
524|924|2,102
524|1110|2,102
524|617|4,102
524|422|6,102
524|894|6,102
524|987|6,102
339|719|1,103
339|924|1,103
339|1110|1,103
339|617|3,103
339|422|5,103
339|894|5,103
339|987|5,103
339|1038|6,103
719|924|0,104
719|1110|0,104
719|617|2,104
719|422|4,104
719|894|4,104
719|987|4,104
719|1038|5,104
719|473|6,104
924|1110|0,104
924|617|2,104
924|422|4,104
924|894|4,104
924|987|4,104
924|1038|5,104
924|473|6,104
924|575|6,104
1110|617|2,104
1110|422|4,104
1110|894|4,104
1110|987|4,104
1110|1038|5,104
1110|473|6,104
1110|575|6,104
1110|164|7,104
617|422|2,106
617|894|2,106
617|987|2,106
617|1038|3,106
617|473|4,106
617|575|4,106
617|164|5,106
617|278|5,106
422|894|0,108
422|987|0,108
422|1038|1,108
422|473|2,108
422|575|2,108
422|164|3,108
422|278|3,108
422|852|3,108
894|987|0,108
894|1038|1,108
894|473|2,108
894|575|2,108
894|164|3,108
894|278|3,108
894|852|3,108
894|772|10,108
987|1038|1,108
987|473|2,108
987|575|2,108
987|164|3,108
987|278|3,108
987|852|3,108
987|772|10,108
987|957|10,108
1038|473|1,109
1038|575|1,109
1038|164|2,109
1038|278|2,109
1038|852|2,109
1038|772|9,109
1038|957|9,109
1038|247|12,109
473|575|0,110
473|164|1,110
473|278|1,110
473|852|1,110
473|772|8,110
473|957|8,110
473|247|11,110
473|1069|11,110
575|164|1,110
575|278|1,110
575|852|1,110
575|772|8,110
575|957|8,110
575|247|11,110
575|1069|11,110
575|62|17,110
164|278|0,111
164|852|0,111
164|772|7,111
164|957|7,111
164|247|10,111
164|1069|10,111
164|62|16,111
164|93|23,111
278|852|0,111
278|772|7,111
278|957|7,111
278|247|10,111
278|1069|10,111
278|62|16,111
278|93|23,111
278|526|23,111
852|772|7,111
852|957|7,111
852|247|10,111
852|1069|10,111
852|62|16,111
852|93|23,111
852|526|23,111
852|846|26,111
772|957|0,118
772|247|3,118
772|1069|3,118
772|62|9,118
772|93|16,118
772|526|16,118
772|846|19,118
772|1032|19,118
957|247|3,118
