hash,time
28|28|45,239
28|45|75,239
28|147|126,239
28|188|138,239
28|25|144,239
28|122|145,239
28|45|30,284
28|147|81,284
28|188|93,284
28|25|99,284
28|122|100,284
28|147|156,284
28|111|158,284
28|25|159,284
45|147|51,314
45|188|63,314
45|25|69,314
45|122|70,314
45|147|126,314
45|111|128,314
45|25|129,314
45|67|136,314
147|188|12,365
147|25|18,365
147|122|19,365
147|147|75,365
147|111|77,365
147|25|78,365
147|67|85,365
147|52|118,365
188|25|6,377
188|122|7,377
188|147|63,377
188|111|65,377
188|25|66,377
188|67|73,377
188|52|106,377
188|111|107,377
25|122|1,383
25|147|57,383
25|111|59,383
25|25|60,383
25|67|67,383
25|52|100,383
25|111|101,383
25|4|122,383
122|147|56,384
122|111|58,384
122|25|59,384
122|67|66,384
122|52|99,384
122|111|100,384
122|4|121,384
122|38|127,384
147|111|2,440
147|25|3,440
147|67|10,440
147|52|43,440
147|111|44,440
147|4|65,440
147|38|71,440
147|188|85,440
111|25|1,442
111|67|8,442
111|52|41,442
111|111|42,442
111|4|63,442
111|38|69,442
111|188|83,442
111|157|86,442
25|67|7,443
25|52|40,443
25|111|41,443
25|4|62,443
25|38|68,443
25|188|82,443
25|157|85,443
25|126|90,443
67|52|33,450
67|111|34,450
67|4|55,450
67|38|61,450
67|188|75,450
67|157|78,450
67|126|83,450
67|282|87,450
52|111|1,483
52|4|22,483
52|38|28,483
52|188|42,483
52|157|45,483
52|126|50,483
52|282|54,483
52|220|73,483
111|4|21,484
111|38|27,484
111|188|41,484
111|157|44,484
111|126|49,484
111|282|53,484
111|220|72,484
111|31|73,484
4|38|6,505
4|188|20,505
4|157|23,505
4|126|28,505
4|282|32,505
4|220|51,505
4|31|52,505
4|63|52,505
38|188|14,511
38|157|17,511
38|126|22,511
38|282|26,511
38|220|45,511
38|31|46,511
38|63|46,511
38|165|80,511
188|157|3,525
188|126|8,525
188|282|12,525
188|220|31,525
188|31|32,525
188|63|32,525
188|165|66,525
188|289|66,525
157|126|5,528
157|282|9,528
157|220|28,528
157|31|29,528
157|63|29,528
157|165|63,528
157|289|63,528
157|42|66,528
126|282|4,533
126|220|23,533
126|31|24,533
126|63|24,533
126|165|58,533
126|289|58,533
126|42|61,533
126|122|82,533
282|220|19,537
282|31|20,537
282|63|20,537
282|165|54,537
282|289|54,537
282|42|57,537
282|122|78,537
282|354|81,537
220|31|1,556
220|63|1,556
220|165|35,556
220|289|35,556
220|42|38,556
220|122|59,556
220|354|62,556
220|21|67,556
31|63|0,557
31|165|34,557
31|289|34,557
31|42|37,557
31|122|58,557
31|354|61,557
31|21|66,557
31|111|93,557
63|165|34,557
63|289|34,557
63|42|37,557
63|122|58,557
63|354|61,557
63|21|66,557
63|111|93,557
63|148|96,557
165|289|0,591
165|42|3,591
165|122|24,591
165|354|27,591
165|21|32,591
165|111|59,591
165|148|62,591
165|64|65,591
289|42|3,591
289|122|24,591
289|354|27,591
289|21|32,591
289|111|59,591
289|148|62,591
289|64|65,591
289|41|88,591
42|122|21,594
42|354|24,594
42|21|29,594
42|111|56,594
42|148|59,594
42|64|62,594
42|41|85,594
42|6|94,594
122|354|3,615
122|21|8,615
122|111|35,615
122|148|38,615
122|64|41,615
122|41|64,615
122|6|73,615
122|132|88,615
354|21|5,618
354|111|32,618
354|148|35,618
354|64|38,618
354|41|61,618
354|6|70,618
354|132|85,618
354|264|87,618
21|111|27,623
21|148|30,623
21|64|33,623
21|41|56,623
21|6|65,623
21|132|80,623
21|264|82,623
21|42|95,623
111|148|3,650
111|64|6,650
111|41|29,650
111|6|38,650
111|132|53,650
111|264|55,650
111|42|68,650
111|169|73,650
148|64|3,653
148|41|26,653
148|6|35,653
148|132|50,653
148|264|52,653
148|42|65,653
148|169|70,653
148|5|74,653
64|41|23,656
64|6|32,656
64|132|47,656
64|264|49,656
64|42|62,656
64|169|67,656
64|5|71,656
64|27|89,656
41|6|9,679
41|132|24,679
41|264|26,679
41|42|39,679
41|169|44,679
41|5|48,679
41|27|66,679
41|137|93,679
6|132|15,688
6|264|17,688
6|42|30,688
6|169|35,688
6|5|39,688
6|27|57,688
6|137|84,688
6|38|89,688
132|264|2,703
132|42|15,703
132|169|20,703
132|5|24,703
132|27|42,703
132|137|69,703
