hash,time
101|40|1,34
101|142|3,34
101|324|5,34
101|364|5,34
101|182|9,34
101|627|10,34
101|566|13,34
101|444|15,34
40|142|2,35
40|324|4,35
40|364|4,35
40|182|8,35
40|627|9,35
40|566|12,35
40|444|14,35
40|682|22,35
142|324|2,37
142|364|2,37
142|182|6,37
142|627|7,37
142|566|10,37
142|444|12,37
142|682|20,37
142|23|23,37
324|364|0,39
324|182|4,39
324|627|5,39
324|566|8,39
324|444|10,39
324|682|18,39
324|23|21,39
324|204|31,39
364|182|4,39
364|627|5,39
364|566|8,39
364|444|10,39
364|682|18,39
364|23|21,39
364|204|31,39
364|297|31,39
182|627|1,43
182|566|4,43
182|444|6,43
182|682|14,43
182|23|17,43
182|204|27,43
182|297|27,43
182|128|37,43
627|566|3,44
627|444|5,44
627|682|13,44
627|23|16,44
627|204|26,44
627|297|26,44
627|128|36,44
627|438|38,44
566|444|2,47
566|682|10,47
566|23|13,47
566|204|23,47
566|297|23,47
566|128|33,47
566|438|35,47
566|360|38,47
444|682|8,49
444|23|11,49
444|204|21,49
444|297|21,49
444|128|31,49
444|438|33,49
444|360|36,49
444|281|40,49
682|23|3,57
682|204|13,57
682|297|13,57
682|128|23,57
682|438|25,57
682|360|28,57
682|281|32,57
682|638|36,57
23|204|10,60
23|297|10,60
23|128|20,60
23|438|22,60
23|360|25,60
23|281|29,60
23|638|33,60
23|26|38,60
204|297|0,70
204|128|10,70
204|438|12,70
204|360|15,70
204|281|19,70
204|638|23,70
204|26|28,70
204|298|37,70
297|128|10,70
297|438|12,70
297|360|15,70
297|281|19,70
297|638|23,70
297|26|28,70
297|298|37,70
297|108|48,70
128|438|2,80
128|360|5,80
128|281|9,80
128|638|13,80
128|26|18,80
128|298|27,80
128|108|38,80
128|128|51,80
438|360|3,82
438|281|7,82
438|638|11,82
438|26|16,82
438|298|25,82
438|108|36,82
438|128|49,82
438|438|50,82
360|281|4,85
360|638|8,85
360|26|13,85
360|298|22,85
360|108|33,85
360|128|46,85
360|438|47,85
360|25|49,85
281|638|4,89
281|26|9,89
281|298|18,89
281|108|29,89
281|128|42,89
281|438|43,89
281|25|45,89
281|360|45,89
638|26|5,93
638|298|14,93
638|108|25,93
638|128|38,93
638|438|39,93
638|25|41,93
638|360|41,93
638|230|46,93
26|298|9,98
26|108|20,98
26|128|33,98
26|438|34,98
26|25|36,98
26|360|36,98
26|230|41,98
26|281|45,98
298|108|11,107
298|128|24,107
298|438|25,107
298|25|27,107
298|360|27,107
298|230|32,107
298|281|36,107
298|459|37,107
108|128|13,118
108|438|14,118
108|25|16,118
108|360|16,118
108|230|21,118
108|281|25,118
108|459|26,118
108|739|27,118
128|438|1,131
128|25|3,131
128|360|3,131
128|230|8,131
128|281|12,131
128|459|13,131
128|739|14,131
128|637|15,131
438|25|2,132
438|360|2,132
438|230|7,132
438|281|11,132
438|459|12,132
438|739|13,132
438|637|14,132
438|408|16,132
25|360|0,134
25|230|5,134
25|281|9,134
25|459|10,134
25|739|11,134
25|637|12,134
25|408|14,134
25|108|21,134
360|230|5,134
360|281|9,134
360|459|10,134
360|739|11,134
360|637|12,134
360|408|14,134
360|108|21,134
360|323|24,134
230|281|4,139
230|459|5,139
230|739|6,139
230|637|7,139
230|408|9,139
230|108|16,139
230|323|19,139
230|214|42,139
281|459|1,143
281|739|2,143
281|637|3,143
281|408|5,143
281|108|12,143
281|323|15,143
281|214|38,143
281|424|38,143
459|739|1,144
459|637|2,144
459|408|4,144
459|108|11,144
459|323|14,144
459|214|37,144
459|424|37,144
459|364|39,144
739|637|1,145
739|408|3,145
739|108|10,145
739|323|13,145
739|214|36,145
739|424|36,145
739|364|38,145
739|454|47,145
637|408|2,146
637|108|9,146
637|323|12,146
637|214|35,146
637|424|35,146
637|364|37,146
637|454|46,146
637|636|47,146
408|108|7,148
408|323|10,148
408|214|33,148
408|424|33,148
408|364|35,148
408|454|44,148
408|636|45,148
408|122|46,148
108|323|3,155
108|214|26,155
108|424|26,155
108|364|28,155
108|454|37,155
108|636|38,155
108|122|39,155
108|91|40,155
323|214|23,158
323|424|23,158
323|364|25,158
323|454|34,158
323|636|35,158
323|122|36,158
323|91|37,158
323|223|53,158
214|424|0,181
214|364|2,181
214|454|11,181
214|636|12,181
214|122|13,181
214|91|14,181
214|223|30,181
214|304|32,181
424|364|2,181
424|454|11,181
424|636|12,181
424|122|13,181
424|91|14,181
424|223|30,181
424|304|32,181
424|669|32,181
364|454|9,183
364|636|10,183
364|122|11,183
364|91|12,183
364|223|28,183
364|304|30,183
364|669|30,183
364|406|39,183
454|636|1,192
454|122|2,192
454|91|3,192
454|223|19,192
454|304|21,192
454|669|21,192
454|406|30,192
454|142|34,192
636|122|1,193
636|91|2,193
636|223|18,193
636|304|20,193
636|669|20,193
636|406|29,193
636|142|33,193
636|487|33,193
122|91|1,194
122|223|17,194
122|304|19,194
122|669|19,194
122|406|28,194
122|142|32,194
122|487|32,194
122|324|35,194
91|223|16,195
91|304|18,195
91|669|18,195
91|406|27,195
91|142|31,195
91|487|31,195
91|324|34,195
91|10|37,195
223|304|2,211
223|669|2,211
223|406|11,211
223|142|15,211
223|487|15,211
223|324|18,211
223|10|21,211
223|387|45,211
304|669|0,213
304|406|9,213
304|142|13,213
304|487|13,213
304|324|16,213
304|10|19,213
304|387|43,213
304|481|43,213
669|406|9,213
669|142|13,213
669|487|13,213
669|324|16,213
669|10|19,213
669|387|43,213
669|481|43,213
669|354|45,213
406|142|4,222
406|487|4,222
406|324|7,222
406|10|10,222
406|387|34,222
406|481|34,222
406|354|36,222
406|595|36,222
142|487|0,226
142|324|3,226
142|10|6,226
142|387|30,226
142|481|30,226
142|354|32,226
142|595|32,226
142|562|33,226
487|324|3,226
487|10|6,226
487|387|30,226
487|481|30,226
487|354|32,226
487|595|32,226
487|562|33,226
487|670|35,226
324|10|3,229
324|387|27,229
324|481|27,229
324|354|29,229
324|595|29,229
324|562|30,229
324|670|32,229
324|728|32,229
10|387|24,232
10|481|24,232
10|354|26,232
10|595|26,232
10|562|27,232
10|670|29,232
10|728|29,232
10|238|31,232
387|481|0,256
387|354|2,256
387|595|2,256
387|562|3,256
387|670|5,256
387|728|5,256
387|238|7,256
387|323|16,256
481|354|2,256
481|595|2,256
481|562|3,256
481|670|5,256
481|728|5,256
481|238|7,256
481|323|16,256
481|427|18,256
354|595|0,258
354|562|1,258
354|670|3,258
354|728|3,258
354|238|5,258
354|323|14,258
354|427|16,258
354|61|18,258
595|562|1,258
595|670|3,258
595|728|3,258
595|238|5,258
595|323|14,258
595|427|16,258
595|61|18,258
595|540|18,258
562|670|2,259
562|728|2,259
562|238|4,259
562|323|13,259
562|427|15,259
562|61|17,259
562|540|17,259
562|636|18,259
670|728|0,261
670|238|2,261
670|323|11,261
670|427|13,261
670|61|15,261
670|540|15,261
670|636|16,261
670|719|23,261
728|238|2,261
728|323|11,261
728|427|13,261
728|61|15,261
728|540|15,261
728|636|16,261
728|719|23,261
728|489|26,261
238|323|9,263
238|427|11,263
238|61|13,263
238|540|13,263
238|636|14,263
238|719|21,263
238|489|24,263
238|10|26,263
323|427|2,272
323|61|4,272
323|540|4,272
323|636|5,272
323|719|12,272
323|489|15,272
323|10|17,272
323|365|17,272
427|61|2,274
427|540|2,274
427|636|3,274
427|719|10,274
427|489|13,274
427|10|15,274
427|365|15,274
427|405|15,274
61|540|0,276
61|636|1,276
61|719|8,276
61|489|11,276
61|10|13,276
61|365|13,276
61|405|13,276
61|230|14,276
540|636|1,276
540|719|8,276
540|489|11,276
540|10|13,276
540|365|13,276
540|405|13,276
540|230|14,276
540|459|14,276
636|719|7,277
636|489|10,277
636|10|12,277
636|365|12,277
636|405|12,277
636|230|13,277
636|459|13,277
636|758|14,277
719|489|3,284
719|10|5,284
719|365|5,284
719|405|5,284
719|230|6,284
719|459|6,284
719|758|7,284
719|153|8,284
489|10|2,287
489|365|2,287
489|405|2,287
489|230|3,287
489|459|3,287
489|758|4,287
489|153|5,287
489|795|5,287
10|365|0,289
10|405|0,289
10|230|1,289
10|459|1,289
10|758|2,289
10|153|3,289
10|795|3,289
10|595|22,289
365|405|0,289
365|230|1,289
365|459|1,289
365|758|2,289
365|153|3,289
365|795|3,289
365|595|22,289
365|324|25,289
405|230|1,289
405|459|1,289
405|758|2,289
405|153|3,289
405|795|3,289
405|595|22,289
405|324|25,289
405|559|26,289
230|459|0,290
230|758|1,290
230|153|2,290
230|795|2,290
230|595|21,290
230|324|24,290
230|559|25,290
230|669|33,290
459|758|1,290
459|153|2,290
459|795|2,290
459|595|21,290
459|324|24,290
459|559|25,290
459|669|33,290
459|271|34,290
758|153|1,291
758|795|1,291
758|595|20,291
758|324|23,291
758|559|24,291
758|669|32,291
758|271|33,291
758|234|38,291
153|795|0,292
153|595|19,292
153|324|22,292
153|559|23,292
153|669|31,292
153|271|32,292
153|234|37,292
153|180|39,292
795|595|19,292
795|324|22,292
795|559|23,292
795|669|31,292
795|271|32,292
795|234|37,292
795|180|39,292
795|108|41,292
595|324|3,311
595|559|4,311
595|669|12,311
595|271|13,311
595|234|18,311
595|180|20,311
595|108|22,311
595|9|27,311
324|559|1,314
324|669|9,314
324|271|10,314
324|234|15,314
324|180|17,314
324|108|19,314
324|9|24,314
324|489|48,314
559|669|8,315
559|271|9,315
559|234|14,315
559|180|16,315
559|108|18,315
559|9|23,315
559|489|47,315
559|324|48,315
669|271|1,323
669|234|6,323
669|180|8,323
669|108|10,323
669|9|15,323
669|489|39,323
669|324|40,323
669|127|50,323
271|234|5,324
271|180|7,324
271|108|9,324
271|9|14,324
271|489|38,324
271|324|39,324
271|127|49,324
271|631|65,324
234|180|2,329
234|108|4,329
234|9|9,329
234|489|33,329
234|324|34,329
234|127|44,329
234|631|60,329
234|61|61,329
180|108|2,331
180|9|7,331
180|489|31,331
180|324|32,331
180|127|42,331
180|631|58,331
180|61|59,331
180|668|61,331
108|9|5,333
108|489|29,333
108|324|30,333
108|127|40,333
108|631|56,333
108|61|57,333
108|668|59,333
108|428|60,333
9|489|24,338
9|324|25,338
9|127|35,338
9|631|51,338
9|61|52,338
9|668|54,338
9|428|55,338
9|512|56,338
489|324|1,362
489|127|11,362
489|631|27,362
489|61|28,362
489|668|30,362
489|428|31,362
489|512|32,362
489|590|33,362
324|127|10,363
324|631|26,363
324|61|27,363
324|668|29,363
324|428|30,363
324|512|31,363
324|590|32,363
324|394|33,363
127|631|16,373
127|61|17,373
127|668|19,373
127|428|20,373
127|512|21,373
127|590|22,373
127|394|23,373
127|734|23,373
631|61|1,389
631|668|3,389
631|428|4,389
631|512|5,389
631|590|6,389
631|394|7,389
631|734|7,389
631|303|8,389
61|668|2,390
61|428|3,390
61|512|4,390
61|590|5,390
61|394|6,390
61|734|6,390
61|303|7,390
61|272|10,390
668|428|1,392
668|512|2,392
668|590|3,392
668|394|4,392
668|734|4,392
668|303|5,392
668|272|8,392
668|151|20,392
428|512|1,393
428|590|2,393
428|394|3,393
428|734|3,393
428|303|4,393
428|272|7,393
428|151|19,393
428|283|34,393
512|590|1,394
