hash,time
324|291|1,150
324|356|1,150
324|33|10,150
324|66|10,150
324|232|11,150
324|265|11,150
324|400|17,150
324|104|28,150
291|356|0,151
291|33|9,151
291|66|9,151
291|232|10,151
291|265|10,151
291|400|16,151
291|104|27,151
291|139|28,151
356|33|9,151
356|66|9,151
356|232|10,151
356|265|10,151
356|400|16,151
356|104|27,151
356|139|28,151
356|208|28,151
33|66|0,160
33|232|1,160
33|265|1,160
33|400|7,160
33|104|18,160
33|139|19,160
33|208|19,160
33|173|21,160
66|232|1,160
66|265|1,160
66|400|7,160
66|104|18,160
66|139|19,160
66|208|19,160
66|173|21,160
66|346|21,160
232|265|0,161
232|400|6,161
232|104|17,161
232|139|18,161
232|208|18,161
232|173|20,161
232|346|20,161
232|381|20,161
265|400|6,161
265|104|17,161
265|139|18,161
265|208|18,161
265|173|20,161
265|346|20,161
265|381|20,161
265|36|34,161
400|104|11,167
400|139|12,167
400|208|12,167
400|173|14,167
400|346|14,167
400|381|14,167
400|36|28,167
400|250|28,167
104|139|1,178
104|208|1,178
104|173|3,178
104|346|3,178
104|381|3,178
104|36|17,178
104|250|17,178
104|321|17,178
139|208|0,179
139|173|2,179
139|346|2,179
139|381|2,179
139|36|16,179
139|250|16,179
139|321|16,179
139|134|177,179
208|173|2,179
208|346|2,179
208|381|2,179
208|36|16,179
208|250|16,179
208|321|16,179
208|134|177,179
208|106|185,179
173|346|0,181
173|381|0,181
173|36|14,181
173|250|14,181
173|321|14,181
173|134|175,181
173|106|183,181
173|226|193,181
346|381|0,181
346|36|14,181
346|250|14,181
346|321|14,181
346|134|175,181
346|106|183,181
346|226|193,181
381|36|14,181
381|250|14,181
381|321|14,181
381|134|175,181
381|106|183,181
381|226|193,181
36|250|0,195
36|321|0,195
36|134|161,195
36|106|169,195
36|226|179,195
36|144|189,195
36|52|193,195
36|17|199,195
250|321|0,195
250|134|161,195
250|106|169,195
250|226|179,195
250|144|189,195
250|52|193,195
250|17|199,195
321|134|161,195
321|106|169,195
321|226|179,195
321|144|189,195
321|52|193,195
321|17|199,195
134|106|8,356
134|226|18,356
134|144|28,356
134|52|32,356
134|17|38,356
134|384|43,356
134|512|50,356
134|637|56,356
106|226|10,364
106|144|20,364
106|52|24,364
106|17|30,364
106|384|35,364
106|512|42,364
106|637|48,364
106|362|49,364
226|144|10,374
226|52|14,374
226|17|20,374
226|384|25,374
226|512|32,374
226|637|38,374
226|362|39,374
226|402|40,374
144|52|4,384
144|17|10,384
144|384|15,384
144|512|22,384
144|637|28,384
144|362|29,384
144|402|30,384
144|203|34,384
52|17|6,388
52|384|11,388
52|512|18,388
52|637|24,388
52|362|25,388
52|402|26,388
52|203|30,388
52|298|34,388
17|384|5,394
17|512|12,394
17|637|18,394
17|362|19,394
17|402|20,394
17|203|24,394
17|298|28,394
17|332|29,394
384|512|7,399
384|637|13,399
384|362|14,399
384|402|15,399
384|203|19,399
384|298|23,399
384|332|24,399
384|164|27,399
512|637|6,406
512|362|7,406
512|402|8,406
512|203|12,406
512|298|16,406
512|332|17,406
512|164|20,406
512|702|39,406
637|362|1,412
637|402|2,412
637|203|6,412
637|298|10,412
637|332|11,412
637|164|14,412
637|702|33,412
637|356|35,412
362|402|1,413
362|203|5,413
362|298|9,413
362|332|10,413
362|164|13,413
362|702|32,413
362|356|34,413
362|445|34,413
402|203|4,414
402|298|8,414
402|332|9,414
402|164|12,414
402|702|31,414
402|356|33,414
402|445|33,414
402|220|34,414
203|298|4,418
203|332|5,418
203|164|8,418
203|702|27,418
203|356|29,418
203|445|29,418
203|220|30,418
203|131|33,418
298|332|1,422
298|164|4,422
298|702|23,422
298|356|25,422
298|445|25,422
298|220|26,422
298|131|29,422
298|309|37,422
332|164|3,423
332|702|22,423
332|356|24,423
332|445|24,423
332|220|25,423
332|131|28,423
332|309|36,423
332|404|37,423
164|702|19,426
164|356|21,426
164|445|21,426
164|220|22,426
164|131|25,426
164|309|33,426
164|404|34,426
164|90|36,426
702|356|2,445
702|445|2,445
702|220|3,445
702|131|6,445
702|309|14,445
702|404|15,445
702|90|17,445
702|626|21,445
356|445|0,447
356|220|1,447
356|131|4,447
356|309|12,447
356|404|13,447
356|90|15,447
356|626|19,447
356|512|20,447
445|220|1,447
445|131|4,447
445|309|12,447
445|404|13,447
445|90|15,447
445|626|19,447
445|512|20,447
445|265|21,447
220|131|3,448
220|309|11,448
220|404|12,448
220|90|14,448
220|626|18,448
220|512|19,448
220|265|20,448
220|774|25,448
131|309|8,451
131|404|9,451
131|90|11,451
131|626|15,451
131|512|16,451
131|265|17,451
131|774|22,451
131|47|33,451
309|404|1,459
309|90|3,459
309|626|7,459
309|512|8,459
309|265|9,459
309|774|14,459
309|47|25,459
309|233|25,459
404|90|2,460
404|626|6,460
404|512|7,460
404|265|8,460
404|774|13,460
404|47|24,460
404|233|24,460
404|380|26,460
90|626|4,462
90|512|5,462
90|265|6,462
90|774|11,462
90|47|22,462
90|233|22,462
90|380|24,462
90|474|24,462
626|512|1,466
626|265|2,466
626|774|7,466
626|47|18,466
626|233|18,466
626|380|20,466
626|474|20,466
626|569|22,466
512|265|1,467
512|774|6,467
512|47|17,467
512|233|17,467
512|380|19,467
512|474|19,467
512|569|21,467
512|191|23,467
265|774|5,468
265|47|16,468
265|233|16,468
265|380|18,468
265|474|18,468
265|569|20,468
265|191|22,468
265|305|33,468
774|47|11,473
774|233|11,473
774|380|13,473
774|474|13,473
774|569|15,473
774|191|17,473
774|305|28,473
774|442|29,473
47|233|0,484
47|380|2,484
47|474|2,484
47|569|4,484
47|191|6,484
47|305|17,484
47|442|18,484
47|407|24,484
233|380|2,484
233|474|2,484
233|569|4,484
233|191|6,484
233|305|17,484
233|442|18,484
233|407|24,484
233|371|31,484
380|474|0,486
380|569|2,486
380|191|4,486
380|305|15,486
380|442|16,486
380|407|22,486
380|371|29,486
380|106|37,486
474|569|2,486
474|191|4,486
474|305|15,486
474|442|16,486
474|407|22,486
474|371|29,486
474|106|37,486
474|264|37,486
569|191|2,488
569|305|13,488
569|442|14,488
569|407|20,488
569|371|27,488
569|106|35,488
569|264|35,488
569|53|40,488
191|305|11,490
191|442|12,490
191|407|18,490
191|371|25,490
191|106|33,490
191|264|33,490
191|53|38,490
191|327|40,490
305|442|1,501
305|407|7,501
305|371|14,501
305|106|22,501
305|264|22,501
305|53|27,501
305|327|29,501
305|212|45,501
442|407|6,502
442|371|13,502
442|106|21,502
442|264|21,502
442|53|26,502
442|327|28,502
442|212|44,502
442|741|44,502
407|371|7,508
407|106|15,508
407|264|15,508
407|53|20,508
407|327|22,508
407|212|38,508
407|741|38,508
407|570|46,508
371|106|8,515
371|264|8,515
371|53|13,515
371|327|15,515
371|212|31,515
371|741|31,515
371|570|39,515
371|159|43,515
106|264|0,523
106|53|5,523
106|327|7,523
106|212|23,523
106|741|23,523
106|570|31,523
106|159|35,523
106|500|39,523
264|53|5,523
264|327|7,523
264|212|23,523
264|741|23,523
264|570|31,523
264|159|35,523
264|500|39,523
264|384|41,523
53|327|2,528
53|212|18,528
53|741|18,528
53|570|26,528
53|159|30,528
53|500|34,528
53|384|36,528
53|329|38,528
327|212|16,530
327|741|16,530
327|570|24,530
327|159|28,530
327|500|32,530
327|384|34,530
327|329|36,530
327|422|39,530
212|741|0,546
212|570|8,546
212|159|12,546
212|500|16,546
212|384|18,546
212|329|20,546
212|422|23,546
212|105|31,546
741|570|8,546
741|159|12,546
741|500|16,546
741|384|18,546
741|329|20,546
741|422|23,546
741|105|31,546
741|211|31,546
570|159|4,554
570|500|8,554
570|384|10,554
570|329|12,554
570|422|15,554
570|105|23,554
570|211|23,554
570|544|26,554
159|500|4,558
159|384|6,558
159|329|8,558
159|422|11,558
159|105|19,558
159|211|19,558
159|544|22,558
159|160|33,558
500|384|2,562
500|329|4,562
500|422|7,562
500|105|15,562
500|211|15,562
500|544|18,562
500|160|29,562
500|383|35,562
384|329|2,564
384|422|5,564
384|105|13,564
384|211|13,564
384|544|16,564
384|160|27,564
384|383|33,564
384|329|34,564
329|422|3,566
329|105|11,566
329|211|11,566
329|544|14,566
329|160|25,566
329|383|31,566
329|329|32,566
329|265|37,566
422|105|8,569
422|211|8,569
422|544|11,569
422|160|22,569
422|383|28,569
422|329|29,569
422|265|34,569
422|540|42,569
105|211|0,577
105|544|3,577
105|160|14,577
105|383|20,577
105|329|21,577
105|265|26,577
105|540|34,577
105|485|35,577
211|544|3,577
211|160|14,577
211|383|20,577
211|329|21,577
211|265|26,577
211|540|34,577
211|485|35,577
211|105|37,577
544|160|11,580
544|383|17,580
544|329|18,580
544|265|23,580
544|540|31,580
544|485|32,580
544|105|34,580
544|587|38,580
160|383|6,591
160|329|7,591
160|265|12,591
160|540|20,591
160|485|21,591
160|105|23,591
160|587|27,591
160|212|29,591
383|329|1,597
383|265|6,597
383|540|14,597
383|485|15,597
383|105|17,597
383|587|21,597
383|212|23,597
383|158|29,597
329|265|5,598
329|540|13,598
329|485|14,598
329|105|16,598
329|587|20,598
329|212|22,598
329|158|28,598
329|53|30,598
265|540|8,603
265|485|9,603
265|105|11,603
265|587|15,603
265|212|17,603
265|158|23,603
265|53|25,603
265|435|31,603
540|485|1,611
540|105|3,611
540|587|7,611
540|212|9,611
540|158|15,611
540|53|17,611
540|435|23,611
540|634|24,611
485|105|2,612
485|587|6,612
485|212|8,612
485|158|14,612
485|53|16,612
485|435|22,612
485|634|23,612
485|408|28,612
105|587|4,614
105|212|6,614
105|158|12,614
105|53|14,614
105|435|20,614
105|634|21,614
105|408|26,614
105|599|32,614
587|212|2,618
587|158|8,618
587|53|10,618
587|435|16,618
587|634|17,618
587|408|22,618
587|599|28,618
587|106|32,618
212|158|6,620
212|53|8,620
212|435|14,620
212|634|15,620
212|408|20,620
212|599|26,620
212|106|30,620
212|329|31,620
158|53|2,626
158|435|8,626
158|634|9,626
158|408|14,626
158|599|20,626
158|106|24,626
158|329|25,626
158|369|28,626
53|435|6,628
53|634|7,628
53|408|12,628
53|599|18,628
53|106|22,628
53|329|23,628
53|369|26,628
53|502|40,628
435|634|1,634
435|408|6,634
435|599|12,634
435|106|16,634
435|329|17,634
435|369|20,634
435|502|34,634
435|13|181,634
634|408|5,635
634|599|11,635
634|106|15,635
634|329|16,635
634|369|19,635
634|502|33,635
634|13|180,635
634|533|180,635
408|599|6,640
408|106|10,640
408|329|11,640
408|369|14,640
408|502|28,640
408|13|175,640
408|533|175,640
408|133|178,640
599|106|4,646
599|329|5,646
599|369|8,646
599|502|22,646
599|13|169,646
599|533|169,646
599|133|172,646
599|399|177,646
106|329|1,650
106|369|4,650
106|502|18,650
106|13|165,650
106|533|165,650
106|133|168,650
106|399|173,650
106|491|175,650
329|369|3,651
329|502|17,651
329|13|164,651
329|533|164,651
329|133|167,651
329|399|172,651
329|491|174,651
329|706|175,651
369|502|14,654
369|13|161,654
369|533|161,654
369|133|164,654
369|399|169,654
369|491|171,654
369|706|172,654
369|355|176,654
502|13|147,668
502|533|147,668
502|133|150,668
502|399|155,668
502|491|157,668
502|706|158,668
502|355|162,668
502|309|163,668
13|533|0,815
13|133|3,815
13|399|8,815
13|491|10,815
13|706|11,815
13|355|15,815
13|309|16,815
13|746|18,815
533|133|3,815
533|399|8,815
533|491|10,815
533|706|11,815
533|355|15,815
533|309|16,815
533|746|18,815
533|607|19,815
133|399|5,818
133|491|7,818
133|706|8,818
133|355|12,818
133|309|13,818
133|746|15,818
133|607|16,818
133|232|17,818
399|491|2,823
399|706|3,823
399|355|7,823
399|309|8,823
399|746|10,823
399|607|11,823
399|232|12,823
399|88|14,823
491|706|1,825
491|355|5,825
491|309|6,825
491|746|8,825
491|607|9,825
491|232|10,825
491|88|12,825
491|266|16,825
706|355|4,826
706|309|5,826
706|746|7,826
706|607|8,826
706|232|9,826
706|88|11,826
706|266|15,826
706|173|24,826
355|309|1,830
355|746|3,830
355|607|4,830
355|232|5,830
355|88|7,830
355|266|11,830
355|173|20,830
355|529|20,830
309|746|2,831
309|607|3,831
309|232|4,831
309|88|6,831
309|266|10,831
309|173|19,831
309|529|19,831
309|776|20,831
746|607|1,833
746|232|2,833
746|88|4,833
746|266|8,833
746|173|17,833
746|529|17,833
746|776|18,833
746|431|20,833
607|232|1,834
607|88|3,834
607|266|7,834
607|173|16,834
607|529|16,834
607|776|17,834
607|431|19,834
607|388|20,834
232|88|2,835
232|266|6,835
232|173|15,835
232|529|15,835
232|776|16,835
232|431|18,835
232|388|19,835
232|662|46,835
88|266|4,837
88|173|13,837
88|529|13,837
88|776|14,837
88|431|16,837
88|388|17,837
88|662|44,837
88|531|46,837
266|173|9,841
266|529|9,841
266|776|10,841
266|431|12,841
266|388|13,841
266|662|40,841
266|531|42,841
266|234|43,841
