hash,time
240|521|0,105
240|560|0,105
240|622|0,105
240|284|1,105
240|398|1,105
240|437|1,105
240|12|3,105
240|500|42,105
521|560|0,105
521|622|0,105
521|284|1,105
521|398|1,105
521|437|1,105
521|12|3,105
521|500|42,105
521|7|45,105
560|622|0,105
560|284|1,105
560|398|1,105
560|437|1,105
560|12|3,105
560|500|42,105
560|7|45,105
560|119|86,105
622|284|1,105
622|398|1,105
622|437|1,105
622|12|3,105
622|500|42,105
622|7|45,105
622|119|86,105
622|8|88,105
284|398|0,106
284|437|0,106
284|12|2,106
284|500|41,106
284|7|44,106
284|119|85,106
284|8|87,106
284|530|88,106
398|437|0,106
398|12|2,106
398|500|41,106
398|7|44,106
398|119|85,106
398|8|87,106
398|530|88,106
398|89|94,106
437|12|2,106
437|500|41,106
437|7|44,106
437|119|85,106
437|8|87,106
437|530|88,106
437|89|94,106
437|134|109,106
12|500|39,108
12|7|42,108
12|119|83,108
12|8|85,108
12|530|86,108
12|89|92,108
12|134|107,108
12|338|132,108
500|7|3,147
500|119|44,147
500|8|46,147
500|530|47,147
500|89|53,147
500|134|68,147
500|338|93,147
500|376|93,147
7|119|41,150
7|8|43,150
7|530|44,150
7|89|50,150
7|134|65,150
7|338|90,150
7|376|90,150
7|150|92,150
119|8|2,191
119|530|3,191
119|89|9,191
119|134|24,191
119|338|49,191
119|376|49,191
119|150|51,191
119|188|51,191
8|530|1,193
8|89|7,193
8|134|22,193
8|338|47,193
8|376|47,193
8|150|49,193
8|188|49,193
8|263|50,193
530|89|6,194
530|134|21,194
530|338|46,194
530|376|46,194
530|150|48,194
530|188|48,194
530|263|49,194
530|300|50,194
89|134|15,200
89|338|40,200
89|376|40,200
89|150|42,200
89|188|42,200
89|263|43,200
89|300|44,200
89|75|46,200
134|338|25,215
134|376|25,215
134|150|27,215
134|188|27,215
134|263|28,215
134|300|29,215
134|75|31,215
134|225|33,215
338|376|0,240
338|150|2,240
338|188|2,240
338|263|3,240
338|300|4,240
338|75|6,240
338|225|8,240
338|112|10,240
376|150|2,240
376|188|2,240
376|263|3,240
376|300|4,240
376|75|6,240
376|225|8,240
376|112|10,240
376|37|11,240
150|188|0,242
150|263|1,242
150|300|2,242
150|75|4,242
150|225|6,242
150|112|8,242
150|37|9,242
150|321|39,242
188|263|1,242
188|300|2,242
188|75|4,242
188|225|6,242
188|112|8,242
188|37|9,242
188|321|39,242
188|275|40,242
263|300|1,243
263|75|3,243
263|225|5,243
263|112|7,243
263|37|8,243
263|321|38,243
263|275|39,243
263|418|39,243
300|75|2,244
300|225|4,244
300|112|6,244
300|37|7,244
300|321|37,244
300|275|38,244
300|418|38,244
300|504|38,244
75|225|2,246
75|112|4,246
75|37|5,246
75|321|35,246
75|275|36,246
75|418|36,246
75|504|36,246
75|573|36,246
225|112|2,248
225|37|3,248
225|321|33,248
225|275|34,248
225|418|34,248
225|504|34,248
225|573|34,248
225|46|35,248
112|37|1,250
112|321|31,250
112|275|32,250
112|418|32,250
112|504|32,250
112|573|32,250
112|46|33,250
112|616|33,250
37|321|30,251
37|275|31,251
37|418|31,251
37|504|31,251
37|573|31,251
37|46|32,251
37|616|32,251
37|652|32,251
321|275|1,281
321|418|1,281
321|504|1,281
321|573|1,281
321|46|2,281
321|616|2,281
321|652|2,281
321|733|3,281
275|418|0,282
275|504|0,282
275|573|0,282
275|46|1,282
275|616|1,282
275|652|1,282
275|733|2,282
275|136|11,282
418|504|0,282
418|573|0,282
418|46|1,282
418|616|1,282
418|652|1,282
418|733|2,282
418|136|11,282
418|227|11,282
504|573|0,282
504|46|1,282
504|616|1,282
504|652|1,282
504|733|2,282
504|136|11,282
504|227|11,282
504|90|12,282
573|46|1,282
573|616|1,282
573|652|1,282
573|733|2,282
573|136|11,282
573|227|11,282
573|90|12,282
573|149|52,282
46|616|0,283
46|652|0,283
46|733|1,283
46|136|10,283
46|227|10,283
46|90|11,283
46|149|51,283
46|179|53,283
616|652|0,283
616|733|1,283
616|136|10,283
616|227|10,283
616|90|11,283
616|149|51,283
616|179|53,283
616|432|89,283
652|733|1,283
652|136|10,283
652|227|10,283
652|90|11,283
652|149|51,283
652|179|53,283
652|432|89,283
652|476|89,283
733|136|9,284
733|227|9,284
733|90|10,284
733|149|50,284
733|179|52,284
733|432|88,284
733|476|88,284
733|523|88,284
136|227|0,293
136|90|1,293
136|149|41,293
136|179|43,293
136|432|79,293
136|476|79,293
136|523|79,293
136|569|79,293
227|90|1,293
227|149|41,293
227|179|43,293
227|432|79,293
227|476|79,293
227|523|79,293
227|569|79,293
227|6|81,293
90|149|40,294
90|179|42,294
90|432|78,294
90|476|78,294
90|523|78,294
90|569|78,294
90|6|80,294
90|119|80,294
149|179|2,334
149|432|38,334
149|476|38,334
149|523|38,334
149|569|38,334
149|6|40,334
149|119|40,334
149|277|40,334
179|432|36,336
179|476|36,336
179|523|36,336
179|569|36,336
179|6|38,336
179|119|38,336
179|277|38,336
179|666|38,336
432|476|0,372
432|523|0,372
432|569|0,372
432|6|2,372
432|119|2,372
432|277|2,372
432|666|2,372
432|317|4,372
476|523|0,372
476|569|0,372
476|6|2,372
476|119|2,372
476|277|2,372
476|666|2,372
476|317|4,372
476|198|6,372
523|569|0,372
523|6|2,372
523|119|2,372
523|277|2,372
523|666|2,372
523|317|4,372
523|198|6,372
523|158|8,372
569|6|2,372
569|119|2,372
569|277|2,372
569|666|2,372
569|317|4,372
569|198|6,372
569|158|8,372
569|80|15,372
6|119|0,374
6|277|0,374
6|666|0,374
6|317|2,374
6|198|4,374
6|158|6,374
6|80|13,374
6|241|13,374
119|277|0,374
119|666|0,374
119|317|2,374
119|198|4,374
119|158|6,374
119|80|13,374
119|241|13,374
119|746|16,374
277|666|0,374
277|317|2,374
277|198|4,374
277|158|6,374
277|80|13,374
277|241|13,374
277|746|16,374
277|39|21,374
666|317|2,374
666|198|4,374
666|158|6,374
666|80|13,374
666|241|13,374
666|746|16,374
666|39|21,374
666|316|52,374
317|198|2,376
317|158|4,376
317|80|11,376
317|241|11,376
317|746|14,376
317|39|19,376
317|316|50,376
317|252|87,376
198|158|2,378
198|80|9,378
198|241|9,378
198|746|12,378
198|39|17,378
198|316|48,378
198|252|85,378
198|459|85,378
158|80|7,380
158|241|7,380
158|746|10,380
158|39|15,380
158|316|46,380
158|252|83,380
158|459|83,380
158|511|83,380
80|241|0,387
80|746|3,387
80|39|8,387
80|316|39,387
80|252|76,387
80|459|76,387
80|511|76,387
80|675|76,387
241|746|3,387
241|39|8,387
241|316|39,387
241|252|76,387
241|459|76,387
241|511|76,387
241|675|76,387
241|418|77,387
746|39|5,390
746|316|36,390
746|252|73,390
746|459|73,390
746|511|73,390
746|675|73,390
746|418|74,390
746|42|76,390
39|316|31,395
39|252|68,395
39|459|68,395
39|511|68,395
39|675|68,395
39|418|69,395
39|42|71,395
39|126|71,395
316|252|37,426
316|459|37,426
316|511|37,426
316|675|37,426
316|418|38,426
316|42|40,426
316|126|40,426
316|168|40,426
252|459|0,463
252|511|0,463
252|675|0,463
252|418|1,463
252|42|3,463
252|126|3,463
252|168|3,463
252|210|3,463
459|511|0,463
459|675|0,463
459|418|1,463
459|42|3,463
459|126|3,463
459|168|3,463
459|210|3,463
459|337|4,463
511|675|0,463
511|418|1,463
511|42|3,463
511|126|3,463
511|168|3,463
511|210|3,463
511|337|4,463
511|388|4,463
675|418|1,463
675|42|3,463
675|126|3,463
675|168|3,463
675|210|3,463
675|337|4,463
675|388|4,463
675|6|5,463
418|42|2,464
418|126|2,464
418|168|2,464
418|210|2,464
418|337|3,464
418|388|3,464
418|6|4,464
418|295|4,464
42|126|0,466
42|168|0,466
42|210|0,466
42|337|1,466
42|388|1,466
42|6|2,466
42|295|2,466
42|85|8,466
126|168|0,466
126|210|0,466
126|337|1,466
126|388|1,466
126|6|2,466
126|295|2,466
126|85|8,466
126|701|79,466
168|210|0,466
168|337|1,466
168|388|1,466
168|6|2,466
168|295|2,466
168|85|8,466
168|701|79,466
168|463|80,466
210|337|1,466
210|388|1,466
210|6|2,466
210|295|2,466
210|85|8,466
210|701|79,466
210|463|80,466
210|537|81,466
337|388|0,467
337|6|1,467
337|295|1,467
337|85|7,467
337|701|78,467
337|463|79,467
337|537|80,467
337|611|80,467
388|6|1,467
388|295|1,467
388|85|7,467
388|701|78,467
388|463|79,467
388|537|80,467
388|611|80,467
388|240|86,467
6|295|0,468
6|85|6,468
6|701|77,468
6|463|78,468
6|537|79,468
6|611|79,468
6|240|85,468
6|382|85,468
295|85|6,468
295|701|77,468
295|463|78,468
295|537|79,468
295|611|79,468
295|240|85,468
295|382|85,468
295|651|85,468
85|701|71,474
85|463|72,474
85|537|73,474
85|611|73,474
85|240|79,474
85|382|79,474
85|651|79,474
85|746|79,474
701|463|1,545
701|537|2,545
701|611|2,545
701|240|8,545
701|382|8,545
701|651|8,545
701|746|8,545
701|5|9,545
463|537|1,546
