hash,time
14|113|5,78
14|291|21,78
14|160|23,78
14|210|25,78
14|415|25,78
14|10|32,78
14|348|58,78
14|167|59,78
113|291|16,83
113|160|18,83
113|210|20,83
113|415|20,83
113|10|27,83
113|348|53,83
113|167|54,83
113|28|70,83
291|160|2,99
291|210|4,99
291|415|4,99
291|10|11,99
291|348|37,99
291|167|38,99
291|28|54,99
291|199|74,99
160|210|2,101
160|415|2,101
160|10|9,101
160|348|35,101
160|167|36,101
160|28|52,101
160|199|72,101
160|101|73,101
210|415|0,103
210|10|7,103
210|348|33,103
210|167|34,103
210|28|50,103
210|199|70,103
210|101|71,103
210|15|109,103
415|10|7,103
415|348|33,103
415|167|34,103
415|28|50,103
415|199|70,103
415|101|71,103
415|15|109,103
415|46|112,103
10|348|26,110
10|167|27,110
10|28|43,110
10|199|63,110
10|101|64,110
10|15|102,110
10|46|105,110
10|137|107,110
348|167|1,136
348|28|17,136
348|199|37,136
348|101|38,136
348|15|76,136
348|46|79,136
348|137|81,136
348|208|82,136
167|28|16,137
167|199|36,137
167|101|37,137
167|15|75,137
167|46|78,137
167|137|80,137
167|208|81,137
167|5|119,137
28|199|20,153
28|101|21,153
28|15|59,153
28|46|62,153
28|137|64,153
28|208|65,153
28|5|103,153
28|347|123,153
199|101|1,173
199|15|39,173
199|46|42,173
199|137|44,173
199|208|45,173
199|5|83,173
199|347|103,173
199|398|103,173
101|15|38,174
101|46|41,174
101|137|43,174
101|208|44,174
101|5|82,174
101|347|102,174
101|398|102,174
101|433|102,174
15|46|3,212
15|137|5,212
15|208|6,212
15|5|44,212
15|347|64,212
15|398|64,212
15|433|64,212
15|290|66,212
46|137|2,215
46|208|3,215
46|5|41,215
46|347|61,215
46|398|61,215
46|433|61,215
46|290|63,215
46|142|64,215
137|208|1,217
137|5|39,217
137|347|59,217
137|398|59,217
137|433|59,217
137|290|61,217
137|142|62,217
137|192|62,217
208|5|38,218
208|347|58,218
208|398|58,218
208|433|58,218
208|290|60,218
208|142|61,218
208|192|61,218
208|239|61,218
5|347|20,256
5|398|20,256
5|433|20,256
5|290|22,256
5|142|23,256
5|192|23,256
5|239|23,256
5|74|30,256
347|398|0,276
347|433|0,276
347|290|2,276
347|142|3,276
347|192|3,276
347|239|3,276
347|74|10,276
347|32|35,276
398|433|0,276
398|290|2,276
398|142|3,276
398|192|3,276
398|239|3,276
398|74|10,276
398|32|35,276
398|228|35,276
433|290|2,276
433|142|3,276
433|192|3,276
433|239|3,276
433|74|10,276
433|32|35,276
433|228|35,276
433|125|36,276
290|142|1,278
290|192|1,278
290|239|1,278
290|74|8,278
290|32|33,278
290|228|33,278
290|125|34,278
290|376|35,278
142|192|0,279
142|239|0,279
142|74|7,279
142|32|32,279
142|228|32,279
142|125|33,279
142|376|34,279
142|341|46,279
192|239|0,279
192|74|7,279
192|32|32,279
192|228|32,279
192|125|33,279
192|376|34,279
192|341|46,279
192|106|56,279
239|74|7,279
239|32|32,279
239|228|32,279
239|125|33,279
239|376|34,279
239|341|46,279
239|106|56,279
239|195|61,279
74|32|25,286
74|228|25,286
74|125|26,286
74|376|27,286
74|341|39,286
74|106|49,286
74|195|54,286
74|41|61,286
32|228|0,311
32|125|1,311
32|376|2,311
32|341|14,311
32|106|24,311
32|195|29,311
32|41|36,311
32|125|40,311
228|125|1,311
228|376|2,311
228|341|14,311
228|106|24,311
228|195|29,311
228|41|36,311
228|125|40,311
228|10|73,311
125|376|1,312
125|341|13,312
125|106|23,312
125|195|28,312
125|41|35,312
125|125|39,312
125|10|72,312
125|134|72,312
376|341|12,313
376|106|22,313
376|195|27,313
376|41|34,313
376|125|38,313
376|10|71,313
376|134|71,313
376|70|80,313
341|106|10,325
341|195|15,325
341|41|22,325
341|125|26,325
341|10|59,325
341|134|59,325
341|70|68,325
341|165|68,325
106|195|5,335
106|41|12,335
106|125|16,335
106|10|49,335
106|134|49,335
106|70|58,335
106|165|58,335
106|393|69,335
195|41|7,340
195|125|11,340
195|10|44,340
195|134|44,340
195|70|53,340
195|165|53,340
195|393|64,340
195|314|65,340
41|125|4,347
41|10|37,347
41|134|37,347
41|70|46,347
41|165|46,347
41|393|57,347
41|314|58,347
41|57|121,347
125|10|33,351
125|134|33,351
125|70|42,351
125|165|42,351
125|393|53,351
125|314|54,351
125|57|117,351
125|199|133,351
10|134|0,384
10|70|9,384
10|165|9,384
10|393|20,384
10|314|21,384
10|57|84,384
10|199|100,384
10|125|101,384
134|70|9,384
134|165|9,384
134|393|20,384
134|314|21,384
134|57|84,384
134|199|100,384
134|125|101,384
134|6|113,384
70|165|0,393
70|393|11,393
70|314|12,393
70|57|75,393
70|199|91,393
70|125|92,393
70|6|104,393
70|427|135,393
165|393|11,393
165|314|12,393
165|57|75,393
165|199|91,393
165|125|92,393
165|6|104,393
165|427|135,393
165|308|136,393
393|314|1,404
393|57|64,404
393|199|80,404
393|125|81,404
393|6|93,404
393|427|124,404
393|308|125,404
393|808|125,404
314|57|63,405
314|199|79,405
314|125|80,405
314|6|92,405
314|427|123,405
314|308|124,405
314|808|124,405
314|866|124,405
57|199|16,468
57|125|17,468
57|6|29,468
57|427|60,468
57|308|61,468
57|808|61,468
57|866|61,468
57|615|62,468
199|125|1,484
199|6|13,484
199|427|44,484
199|308|45,484
199|808|45,484
199|866|45,484
199|615|46,484
199|267|47,484
125|6|12,485
125|427|43,485
125|308|44,485
125|808|44,485
125|866|44,485
125|615|45,485
125|267|46,485
125|506|46,485
6|427|31,497
6|308|32,497
6|808|32,497
6|866|32,497
6|615|33,497
6|267|34,497
6|506|34,497
6|717|34,497
427|308|1,528
427|808|1,528
427|866|1,528
427|615|2,528
427|267|3,528
427|506|3,528
427|717|3,528
427|564|4,528
308|808|0,529
308|866|0,529
308|615|1,529
308|267|2,529
308|506|2,529
308|717|2,529
308|564|3,529
308|336|4,529
808|866|0,529
808|615|1,529
808|267|2,529
808|506|2,529
808|717|2,529
808|564|3,529
808|336|4,529
808|126|5,529
866|615|1,529
866|267|2,529
866|506|2,529
866|717|2,529
866|564|3,529
866|336|4,529
866|126|5,529
866|649|5,529
615|267|1,530
615|506|1,530
615|717|1,530
615|564|2,530
615|336|3,530
615|126|4,530
615|649|4,530
615|227|16,530
267|506|0,531
267|717|0,531
267|564|1,531
267|336|2,531
