hash,time
151|202|3,14
151|411|5,14
151|533|5,14
151|24|6,14
151|242|6,14
151|54|20,14
151|109|25,14
151|274|25,14
202|411|2,17
202|533|2,17
202|24|3,17
202|242|3,17
202|54|17,17
202|109|22,17
202|274|22,17
202|54|69,17
411|533|0,19
411|24|1,19
411|242|1,19
411|54|15,19
411|109|20,19
411|274|20,19
411|54|67,19
411|104|75,19
533|24|1,19
533|242|1,19
533|54|15,19
533|109|20,19
533|274|20,19
533|54|67,19
533|104|75,19
533|270|83,19
24|242|0,20
24|54|14,20
24|109|19,20
24|274|19,20
24|54|66,20
24|104|74,20
24|270|82,20
24|314|89,20
242|54|14,20
242|109|19,20
242|274|19,20
242|54|66,20
242|104|74,20
242|270|82,20
242|314|89,20
242|50|113,20
54|109|5,34
54|274|5,34
54|54|52,34
54|104|60,34
54|270|68,34
54|314|75,34
54|50|99,34
54|569|102,34
109|274|0,39
109|54|47,39
109|104|55,39
109|270|63,39
109|314|70,39
109|50|94,39
109|569|97,39
109|520|98,39
274|54|47,39
274|104|55,39
274|270|63,39
274|314|70,39
274|50|94,39
274|569|97,39
274|520|98,39
274|446|99,39
54|104|8,86
54|270|16,86
54|314|23,86
54|50|47,86
54|569|50,86
54|520|51,86
54|446|52,86
54|298|54,86
104|270|8,94
104|314|15,94
104|50|39,94
104|569|42,94
104|520|43,94
104|446|44,94
104|298|46,94
104|151|51,94
270|314|7,102
270|50|31,102
270|569|34,102
270|520|35,102
270|446|36,102
270|298|38,102
270|151|43,102
270|252|45,102
314|50|24,109
314|569|27,109
314|520|28,109
314|446|29,109
314|298|31,109
314|151|36,109
314|252|38,109
314|622|46,109
50|569|3,133
50|520|4,133
50|446|5,133
50|298|7,133
50|151|12,133
50|252|14,133
50|622|22,133
50|51|35,133
569|520|1,136
569|446|2,136
569|298|4,136
569|151|9,136
569|252|11,136
569|622|19,136
569|51|32,136
569|201|75,136
520|446|1,137
520|298|3,137
520|151|8,137
520|252|10,137
520|622|18,137
520|51|31,137
520|201|74,137
520|19|79,137
446|298|2,138
446|151|7,138
446|252|9,138
446|622|17,138
446|51|30,138
446|201|73,138
446|19|78,138
446|97|81,138
298|151|5,140
298|252|7,140
298|622|15,140
298|51|28,140
298|201|71,140
298|19|76,140
298|97|79,140
298|237|89,140
151|252|2,145
151|622|10,145
151|51|23,145
151|201|66,145
151|19|71,145
151|97|74,145
151|237|84,145
151|317|84,145
252|622|8,147
252|51|21,147
252|201|64,147
252|19|69,147
252|97|72,147
252|237|82,147
252|317|82,147
252|59|83,147
622|51|13,155
622|201|56,155
622|19|61,155
622|97|64,155
622|237|74,155
622|317|74,155
622|59|75,155
622|162|113,155
51|201|43,168
51|19|48,168
51|97|51,168
51|237|61,168
51|317|61,168
51|59|62,168
51|162|100,168
51|238|108,168
201|19|5,211
201|97|8,211
201|237|18,211
201|317|18,211
201|59|19,211
201|162|57,211
201|238|65,211
201|16|74,211
19|97|3,216
19|237|13,216
19|317|13,216
19|59|14,216
19|162|52,216
19|238|60,216
19|16|69,216
19|38|112,216
97|237|10,219
97|317|10,219
97|59|11,219
97|162|49,219
97|238|57,219
97|16|66,219
97|38|109,219
97|161|109,219
237|317|0,229
237|59|1,229
237|162|39,229
237|238|47,229
237|16|56,229
237|38|99,229
237|161|99,229
237|214|103,229
317|59|1,229
317|162|39,229
317|238|47,229
317|16|56,229
317|38|99,229
317|161|99,229
317|214|103,229
317|97|104,229
59|162|38,230
59|238|46,230
59|16|55,230
59|38|98,230
59|161|98,230
59|214|102,230
59|97|103,230
59|291|104,230
162|238|8,268
162|16|17,268
162|38|60,268
162|161|60,268
162|214|64,268
162|97|65,268
162|291|66,268
162|89|141,268
