hash,time
124|76|1,107
124|334|3,107
124|149|10,107
124|56|19,107
124|364|22,107
124|417|25,107
124|194|26,107
124|305|26,107
76|334|2,108
76|149|9,108
76|56|18,108
76|364|21,108
76|417|24,108
76|194|25,108
76|305|25,108
76|237|44,108
334|149|7,110
334|56|16,110
334|364|19,110
334|417|22,110
334|194|23,110
334|305|23,110
334|237|42,110
334|396|42,110
149|56|9,117
149|364|12,117
149|417|15,117
149|194|16,117
149|305|16,117
149|237|35,117
149|396|35,117
149|297|46,117
56|364|3,126
56|417|6,126
56|194|7,126
56|305|7,126
56|237|26,126
56|396|26,126
56|297|37,126
56|49|38,126
364|417|3,129
364|194|4,129
364|305|4,129
364|237|23,129
364|396|23,129
364|297|34,129
364|49|35,129
364|180|65,129
417|194|1,132
417|305|1,132
417|237|20,132
417|396|20,132
417|297|31,132
417|49|32,132
417|180|62,132
417|307|62,132
194|305|0,133
194|237|19,133
194|396|19,133
194|297|30,133
194|49|31,133
194|180|61,133
194|307|61,133
194|227|87,133
305|237|19,133
305|396|19,133
305|297|30,133
305|49|31,133
305|180|61,133
305|307|61,133
305|227|87,133
305|34|90,133
237|396|0,152
237|297|11,152
237|49|12,152
237|180|42,152
237|307|42,152
237|227|68,152
237|34|71,152
237|189|93,152
396|297|11,152
396|49|12,152
396|180|42,152
396|307|42,152
396|227|68,152
396|34|71,152
396|189|93,152
396|103|116,152
297|49|1,163
297|180|31,163
297|307|31,163
297|227|57,163
297|34|60,163
297|189|82,163
297|103|105,163
297|308|106,163
49|180|30,164
49|307|30,164
49|227|56,164
49|34|59,164
49|189|81,164
49|103|104,164
49|308|105,164
49|218|110,164
180|307|0,194
180|227|26,194
180|34|29,194
180|189|51,194
180|103|74,194
180|308|75,194
180|218|80,194
180|173|84,194
307|227|26,194
307|34|29,194
307|189|51,194
307|103|74,194
307|308|75,194
307|218|80,194
307|173|84,194
307|413|99,194
227|34|3,220
227|189|25,220
227|103|48,220
227|308|49,220
227|218|54,220
227|173|58,220
227|413|73,220
227|465|75,220
34|189|22,223
34|103|45,223
34|308|46,223
34|218|51,223
34|173|55,223
34|413|70,223
34|465|72,223
34|226|81,223
189|103|23,245
189|308|24,245
189|218|29,245
189|173|33,245
189|413|48,245
189|465|50,245
189|226|59,245
189|198|64,245
103|308|1,268
103|218|6,268
103|173|10,268
103|413|25,268
103|465|27,268
103|226|36,268
103|198|41,268
103|74|42,268
308|218|5,269
308|173|9,269
308|413|24,269
308|465|26,269
308|226|35,269
308|198|40,269
308|74|41,269
308|318|44,269
218|173|4,274
218|413|19,274
218|465|21,274
218|226|30,274
218|198|35,274
218|74|36,274
218|318|39,274
218|248|86,274
173|413|15,278
173|465|17,278
173|226|26,278
173|198|31,278
173|74|32,278
173|318|35,278
173|248|82,278
173|74|83,278
413|465|2,293
413|226|11,293
413|198|16,293
413|74|17,293
413|318|20,293
413|248|67,293
413|74|68,293
413|297|68,293
465|226|9,295
465|198|14,295
465|74|15,295
465|318|18,295
465|248|65,295
465|74|66,295
