hash,time
0|89|0,46
0|153|0,46
0|195|2,46
0|235|3,46
0|274|3,46
0|568|3,46
0|790|4,46
0|484|5,46
89|153|0,46
89|195|2,46
89|235|3,46
89|274|3,46
89|568|3,46
89|790|4,46
89|484|5,46
89|945|5,46
153|195|2,46
153|235|3,46
153|274|3,46
153|568|3,46
153|790|4,46
153|484|5,46
153|945|5,46
153|598|6,46
195|235|1,48
195|274|1,48
195|568|1,48
195|790|2,48
195|484|3,48
195|945|3,48
195|598|4,48
195|726|6,48
235|274|0,49
235|568|0,49
235|790|1,49
235|484|2,49
235|945|2,49
235|598|3,49
235|726|5,49
235|418|7,49
274|568|0,49
274|790|1,49
274|484|2,49
274|945|2,49
274|598|3,49
274|726|5,49
274|418|7,49
274|638|8,49
568|790|1,49
568|484|2,49
568|945|2,49
568|598|3,49
568|726|5,49
568|418|7,49
568|638|8,49
568|849|11,49
790|484|1,50
790|945|1,50
790|598|2,50
790|726|4,50
790|418|6,50
790|638|7,50
790|849|10,50
790|693|16,50
484|945|0,51
484|598|1,51
484|726|3,51
484|418|5,51
484|638|6,51
484|849|9,51
484|693|15,51
484|750|17,51
945|598|1,51
945|726|3,51
945|418|5,51
945|638|6,51
945|849|9,51
945|693|15,51
945|750|17,51
945|364|19,51
598|726|2,52
598|418|4,52
598|638|5,52
598|849|8,52
598|693|14,52
598|750|16,52
598|364|18,52
598|897|18,52
726|418|2,54
726|638|3,54
726|849|6,54
726|693|12,54
726|750|14,54
726|364|16,54
726|897|16,54
726|302|17,54
418|638|1,56
418|849|4,56
418|693|10,56
418|750|12,56
418|364|14,56
418|897|14,56
418|302|15,56
418|995|16,56
638|849|3,57
638|693|9,57
638|750|11,57
638|364|13,57
638|897|13,57
638|302|14,57
638|995|15,57
638|1335|15,57
849|693|6,60
849|750|8,60
849|364|10,60
849|897|10,60
849|302|11,60
849|995|12,60
849|1335|12,60
849|549|13,60
693|750|2,66
693|364|4,66
693|897|4,66
693|302|5,66
693|995|6,66
693|1335|6,66
693|549|7,66
693|1058|7,66
750|364|2,68
750|897|2,68
750|302|3,68
750|995|4,68
750|1335|4,68
750|549|5,68
750|1058|5,68
750|1153|5,68
364|897|0,70
364|302|1,70
364|995|2,70
364|1335|2,70
364|549|3,70
364|1058|3,70
364|1153|3,70
364|13|4,70
897|302|1,70
897|995|2,70
897|1335|2,70
897|549|3,70
897|1058|3,70
897|1153|3,70
897|13|4,70
897|1195|4,70
302|995|1,71
302|1335|1,71
302|549|2,71
302|1058|2,71
302|1153|2,71
302|13|3,71
302|1195|3,71
302|362|51,71
995|1335|0,72
995|549|1,72
995|1058|1,72
995|1153|1,72
995|13|2,72
995|1195|2,72
995|362|50,72
995|192|51,72
1335|549|1,72
1335|1058|1,72
1335|1153|1,72
1335|13|2,72
1335|1195|2,72
1335|362|50,72
1335|192|51,72
1335|271|51,72
549|1058|0,73
549|1153|0,73
549|13|1,73
549|1195|1,73
549|362|49,73
549|192|50,73
549|271|50,73
549|420|51,73
1058|1153|0,73
1058|13|1,73
1058|1195|1,73
1058|362|49,73
1058|192|50,73
1058|271|50,73
1058|420|51,73
1058|57|52,73
1153|13|1,73
1153|1195|1,73
1153|362|49,73
1153|192|50,73
1153|271|50,73
1153|420|51,73
1153|57|52,73
1153|305|52,73
13|1195|0,74
13|362|48,74
13|192|49,74
13|271|49,74
13|420|50,74
13|57|51,74
13|305|51,74
13|92|52,74
1195|362|48,74
1195|192|49,74
1195|271|49,74
1195|420|50,74
1195|57|51,74
1195|305|51,74
1195|92|52,74
1195|13|86,74
362|192|1,122
362|271|1,122
362|420|2,122
362|57|3,122
362|305|3,122
362|92|4,122
362|13|38,122
362|66|72,122
192|271|0,123
192|420|1,123
192|57|2,123
192|305|2,123
192|92|3,123
192|13|37,123
192|66|71,123
192|9|72,123
271|420|1,123
271|57|2,123
271|305|2,123
271|92|3,123
271|13|37,123
271|66|71,123
271|9|72,123
271|326|95,123
420|57|1,124
420|305|1,124
420|92|2,124
420|13|36,124
420|66|70,124
420|9|71,124
420|326|94,124
420|161|95,124
57|305|0,125
57|92|1,125
57|13|35,125
57|66|69,125
57|9|70,125
57|326|93,125
57|161|94,125
57|207|94,125
305|92|1,125
305|13|35,125
305|66|69,125
305|9|70,125
305|326|93,125
305|161|94,125
305|207|94,125
305|76|145,125
92|13|34,126
92|66|68,126
92|9|69,126
92|326|92,126
92|161|93,126
92|207|93,126
92|76|144,126
92|12|145,126
13|66|34,160
13|9|35,160
13|326|58,160
13|161|59,160
13|207|59,160
13|76|110,160
13|12|111,160
13|361|158,160
66|9|1,194
66|326|24,194
66|161|25,194
66|207|25,194
66|76|76,194
66|12|77,194
66|361|124,194
66|449|124,194
9|326|23,195
9|161|24,195
9|207|24,195
9|76|75,195
9|12|76,195
9|361|123,195
9|449|123,195
9|487|123,195
326|161|1,218
326|207|1,218
326|76|52,218
326|12|53,218
326|361|100,218
326|449|100,218
326|487|100,218
326|617|100,218
161|207|0,219
161|76|51,219
161|12|52,219
161|361|99,219
161|449|99,219
161|487|99,219
161|617|99,219
161|217|100,219
207|76|51,219
207|12|52,219
207|361|99,219
207|449|99,219
207|487|99,219
207|617|99,219
207|217|100,219
207|120|101,219
76|12|1,270
76|361|48,270
76|449|48,270
76|487|48,270
76|617|48,270
76|217|49,270
76|120|50,270
76|259|50,270
12|361|47,271
12|449|47,271
12|487|47,271
12|617|47,271
12|217|48,271
12|120|49,271
12|259|49,271
12|86|50,271
361|449|0,318
361|487|0,318
361|617|0,318
361|217|1,318
361|120|2,318
361|259|2,318
361|86|3,318
361|13|39,318
449|487|0,318
449|617|0,318
449|217|1,318
449|120|2,318
449|259|2,318
449|86|3,318
449|13|39,318
449|9|76,318
487|617|0,318
487|217|1,318
487|120|2,318
487|259|2,318
487|86|3,318
487|13|39,318
487|9|76,318
487|413|97,318
617|217|1,318
617|120|2,318
617|259|2,318
617|86|3,318
617|13|39,318
617|9|76,318
617|413|97,318
617|524|98,318
217|120|1,319
217|259|1,319
217|86|2,319
217|13|38,319
217|9|75,319
217|413|96,319
217|524|97,319
217|101|99,319
120|259|0,320
120|86|1,320
120|13|37,320
120|9|74,320
120|413|95,320
120|524|96,320
120|101|98,320
120|377|98,320
259|86|1,320
259|13|37,320
259|9|74,320
259|413|95,320
259|524|96,320
259|101|98,320
259|377|98,320
259|461|98,320
86|13|36,321
86|9|73,321
86|413|94,321
86|524|95,321
86|101|97,321
86|377|97,321
86|461|97,321
86|492|97,321
13|9|37,357
13|413|58,357
13|524|59,357
13|101|61,357
13|377|61,357
13|461|61,357
13|492|61,357
13|688|61,357
9|413|21,394
9|524|22,394
9|101|24,394
9|377|24,394
9|461|24,394
9|492|24,394
9|688|24,394
9|203|25,394
413|524|1,415
413|101|3,415
413|377|3,415
413|461|3,415
413|492|3,415
413|688|3,415
413|203|4,415
413|273|4,415
524|101|2,416
524|377|2,416
524|461|2,416
524|492|2,416
524|688|2,416
524|203|3,416
524|273|3,416
524|344|3,416
101|377|0,418
101|461|0,418
101|492|0,418
101|688|0,418
101|203|1,418
101|273|1,418
101|344|1,418
101|67|4,418
377|461|0,418
377|492|0,418
377|688|0,418
377|203|1,418
377|273|1,418
377|344|1,418
377|67|4,418
377|135|4,418
461|492|0,418
461|688|0,418
461|203|1,418
461|273|1,418
461|344|1,418
461|67|4,418
461|135|4,418
461|470|48,418
492|688|0,418
492|203|1,418
492|273|1,418
492|344|1,418
492|67|4,418
492|135|4,418
492|470|48,418
492|556|48,418
688|203|1,418
688|273|1,418
688|344|1,418
688|67|4,418
688|135|4,418
688|470|48,418
688|556|48,418
688|152|49,418
203|273|0,419
203|344|0,419
203|67|3,419
203|135|3,419
203|470|47,419
203|556|47,419
203|152|48,419
203|229|48,419
273|344|0,419
273|67|3,419
273|135|3,419
273|470|47,419
273|556|47,419
273|152|48,419
273|229|48,419
273|387|48,419
344|67|3,419
344|135|3,419
344|470|47,419
344|556|47,419
344|152|48,419
344|229|48,419
344|387|48,419
344|308|49,419
67|135|0,422
67|470|44,422
67|556|44,422
67|152|45,422
67|229|45,422
67|387|45,422
67|308|46,422
67|13|47,422
135|470|44,422
135|556|44,422
135|152|45,422
135|229|45,422
135|387|45,422
135|308|46,422
135|13|47,422
135|76|47,422
470|556|0,466
470|152|1,466
470|229|1,466
470|387|1,466
470|308|2,466
470|13|3,466
470|76|3,466
470|177|49,466
556|152|1,466
556|229|1,466
556|387|1,466
556|308|2,466
556|13|3,466
556|76|3,466
556|177|49,466
556|341|49,466
152|229|0,467
152|387|0,467
152|308|1,467
152|13|2,467
152|76|2,467
152|177|48,467
152|341|48,467
152|260|49,467
229|387|0,467
229|308|1,467
229|13|2,467
229|76|2,467
229|177|48,467
229|341|48,467
229|260|49,467
229|311|49,467
387|308|1,467
387|13|2,467
387|76|2,467
387|177|48,467
387|341|48,467
387|260|49,467
387|311|49,467
387|373|49,467
308|13|1,468
308|76|1,468
308|177|47,468
308|341|47,468
308|260|48,468
308|311|48,468
308|373|48,468
308|430|48,468
13|76|0,469
13|177|46,469
13|341|46,469
13|260|47,469
13|311|47,469
13|373|47,469
13|430|47,469
13|474|47,469
76|177|46,469
76|341|46,469
76|260|47,469
76|311|47,469
76|373|47,469
76|430|47,469
76|474|47,469
76|506|48,469
177|341|0,515
177|260|1,515
177|311|1,515
177|373|1,515
177|430|1,515
177|474|1,515
177|506|2,515
177|78|3,515
341|260|1,515
341|311|1,515
341|373|1,515
341|430|1,515
341|474|1,515
341|506|2,515
341|78|3,515
341|13|4,515
260|311|0,516
260|373|0,516
260|430|0,516
260|474|0,516
