hash,time
120|41|35,88
120|185|37,88
120|60|58,88
120|119|61,88
120|155|76,88
120|200|96,88
120|311|99,88
120|22|107,88
41|185|2,123
41|60|23,123
41|119|26,123
41|155|41,123
41|200|61,123
41|311|64,123
41|22|72,123
41|131|72,123
185|60|21,125
185|119|24,125
185|155|39,125
185|200|59,125
185|311|62,125
185|22|70,125
185|131|70,125
185|87|119,125
60|119|3,146
60|155|18,146
60|200|38,146
60|311|41,146
60|22|49,146
60|131|49,146
60|87|98,146
60|67|124,146
119|155|15,149
119|200|35,149
119|311|38,149
119|22|46,149
119|131|46,149
119|87|95,149
119|67|121,149
119|160|121,149
155|200|20,164
155|311|23,164
155|22|31,164
155|131|31,164
155|87|80,164
155|67|106,164
155|160|106,164
155|134|134,164
200|311|3,184
200|22|11,184
200|131|11,184
200|87|60,184
200|67|86,184
200|160|86,184
200|134|114,184
200|45|116,184
311|22|8,187
311|131|8,187
311|87|57,187
311|67|83,187
311|160|83,187
311|134|111,187
311|45|113,187
311|25|199,187
22|131|0,195
22|87|49,195
22|67|75,195
22|160|75,195
22|134|103,195
22|45|105,195
22|25|191,195
22|100|194,195
131|87|49,195
131|67|75,195
131|160|75,195
131|134|103,195
131|45|105,195
131|25|191,195
131|100|194,195
87|67|26,244
87|160|26,244
87|134|54,244
87|45|56,244
87|25|142,244
87|100|145,244
87|17|172,244
67|160|0,270
67|134|28,270
67|45|30,270
67|25|116,270
67|100|119,270
67|17|146,270
67|12|176,270
160|134|28,270
160|45|30,270
160|25|116,270
160|100|119,270
160|17|146,270
160|12|176,270
134|45|2,298
134|25|88,298
134|100|91,298
134|17|118,298
134|12|148,298
134|237|182,298
134|118|183,298
134|201|183,298
45|25|86,300
45|100|89,300
45|17|116,300
45|12|146,300
45|237|180,300
45|118|181,300
45|201|181,300
45|59|182,300
25|100|3,386
25|17|30,386
25|12|60,386
25|237|94,386
25|118|95,386
25|201|95,386
25|59|96,386
25|8|122,386
100|17|27,389
100|12|57,389
100|237|91,389
100|118|92,389
100|201|92,389
100|59|93,389
100|8|119,389
100|246|166,389
17|12|30,416
17|237|64,416
17|118|65,416
17|201|65,416
17|59|66,416
17|8|92,416
17|246|139,416
17|133|152,416
12|237|34,446
12|118|35,446
12|201|35,446
12|59|36,446
12|8|62,446
12|246|109,446
12|133|122,446
12|67|124,446
237|118|1,480
237|201|1,480
237|59|2,480
237|8|28,480
237|246|75,480
237|133|88,480
237|67|90,480
237|222|90,480
118|201|0,481
118|59|1,481
118|8|27,481
118|246|74,481
118|133|87,481
118|67|89,481
118|222|89,481
118|177|118,481
201|59|1,481
201|8|27,481
201|246|74,481
201|133|87,481
201|67|89,481
201|222|89,481
201|177|118,481
201|244|118,481
59|8|26,482
59|246|73,482
59|133|86,482
59|67|88,482
59|222|88,482
59|177|117,482
59|244|117,482
59|45|122,482
8|246|47,508
8|133|60,508
8|67|62,508
8|222|62,508
8|177|91,508
8|244|91,508
8|45|96,508
8|89|120,508
246|133|13,555
246|67|15,555
246|222|15,555
246|177|44,555
246|244|44,555
246|45|49,555
246|89|73,555
246|134|102,555
133|67|2,568
133|222|2,568
133|177|31,568
133|244|31,568
133|45|36,568
133|89|60,568
133|134|89,568
133|45|91,568
67|222|0,570
67|177|29,570
67|244|29,570
67|45|34,570
67|89|58,570
67|134|87,570
67|45|89,570
222|177|29,570
222|244|29,570
222|45|34,570
222|89|58,570
222|134|87,570
222|45|89,570
177|244|0,599
177|45|5,599
177|89|29,599
177|134|58,599
177|45|60,599
177|17|179,599
177|100|180,599
