hash,time
1252|730|1,11
1252|45|2,11
1252|219|2,11
1252|594|2,11
1252|782|2,11
1252|369|3,11
1252|427|3,11
1252|306|6,11
730|45|1,12
730|219|1,12
730|594|1,12
730|782|1,12
730|369|2,12
730|427|2,12
730|306|5,12
730|700|5,12
45|219|0,13
45|594|0,13
45|782|0,13
45|369|1,13
45|427|1,13
45|306|4,13
45|700|4,13
45|5|5,13
219|594|0,13
219|782|0,13
219|369|1,13
219|427|1,13
219|306|4,13
219|700|4,13
219|5|5,13
219|1049|6,13
594|782|0,13
594|369|1,13
594|427|1,13
594|306|4,13
594|700|4,13
594|5|5,13
594|1049|6,13
594|927|8,13
782|369|1,13
782|427|1,13
782|306|4,13
782|700|4,13
782|5|5,13
782|1049|6,13
782|927|8,13
782|189|10,13
369|427|0,14
369|306|3,14
369|700|3,14
369|5|4,14
369|1049|5,14
369|927|7,14
369|189|9,14
369|100|13,14
427|306|3,14
427|700|3,14
427|5|4,14
427|1049|5,14
427|927|7,14
427|189|9,14
427|100|13,14
427|485|19,14
306|700|0,17
306|5|1,17
306|1049|2,17
306|927|4,17
306|189|6,17
306|100|10,17
306|485|16,17
306|261|21,17
700|5|1,17
700|1049|2,17
700|927|4,17
700|189|6,17
700|100|10,17
700|485|16,17
700|261|21,17
700|325|21,17
5|1049|1,18
5|927|3,18
5|189|5,18
5|100|9,18
5|485|15,18
5|261|20,18
5|325|20,18
5|73|28,18
1049|927|2,19
1049|189|4,19
1049|100|8,19
1049|485|14,19
1049|261|19,19
1049|325|19,19
1049|73|27,19
1049|151|30,19
927|189|2,21
927|100|6,21
927|485|12,21
927|261|17,21
927|325|17,21
927|73|25,21
927|151|28,21
927|875|40,21
189|100|4,23
189|485|10,23
189|261|15,23
189|325|15,23
189|73|23,23
189|151|26,23
189|875|38,23
189|748|40,23
100|485|6,27
100|261|11,27
100|325|11,27
100|73|19,27
100|151|22,27
100|875|34,27
100|748|36,27
100|842|36,27
485|261|5,33
485|325|5,33
485|73|13,33
485|151|16,33
485|875|28,33
485|748|30,33
485|842|30,33
485|489|31,33
261|325|0,38
261|73|8,38
261|151|11,38
261|875|23,38
261|748|25,38
261|842|25,38
261|489|26,38
261|780|26,38
325|73|8,38
325|151|11,38
325|875|23,38
325|748|25,38
325|842|25,38
325|489|26,38
325|780|26,38
325|348|27,38
73|151|3,46
73|875|15,46
73|748|17,46
73|842|17,46
73|489|18,46
73|780|18,46
73|348|19,46
73|428|19,46
151|875|12,49
151|748|14,49
151|842|14,49
151|489|15,49
151|780|15,49
151|348|16,49
151|428|16,49
151|1145|16,49
875|748|2,61
875|842|2,61
875|489|3,61
875|780|3,61
875|348|4,61
875|428|4,61
875|1145|4,61
875|1245|4,61
748|842|0,63
748|489|1,63
748|780|1,63
748|348|2,63
748|428|2,63
748|1145|2,63
748|1245|2,63
748|1409|2,63
842|489|1,63
842|780|1,63
842|348|2,63
842|428|2,63
842|1145|2,63
842|1245|2,63
842|1409|2,63
842|1623|2,63
489|780|0,64
489|348|1,64
489|428|1,64
489|1145|1,64
489|1245|1,64
489|1409|1,64
489|1623|1,64
489|593|2,64
780|348|1,64
780|428|1,64
780|1145|1,64
780|1245|1,64
780|1409|1,64
780|1623|1,64
780|593|2,64
780|937|3,64
348|428|0,65
348|1145|0,65
348|1245|0,65
348|1409|0,65
348|1623|0,65
348|593|1,65
348|937|2,65
348|25|16,65
428|1145|0,65
428|1245|0,65
428|1409|0,65
428|1623|0,65
428|593|1,65
428|937|2,65
428|25|16,65
428|227|19,65
1145|1245|0,65
1145|1409|0,65
1145|1623|0,65
1145|593|1,65
1145|937|2,65
1145|25|16,65
1145|227|19,65
1145|278|20,65
1245|1409|0,65
1245|1623|0,65
1245|593|1,65
1245|937|2,65
1245|25|16,65
1245|227|19,65
1245|278|20,65
1245|176|22,65
1409|1623|0,65
1409|593|1,65
1409|937|2,65
1409|25|16,65
1409|227|19,65
1409|278|20,65
1409|176|22,65
1409|1301|41,65
1623|593|1,65
1623|937|2,65
1623|25|16,65
1623|227|19,65
1623|278|20,65
1623|176|22,65
1623|1301|41,65
1623|485|44,65
593|937|1,66
593|25|15,66
593|227|18,66
593|278|19,66
593|176|21,66
593|1301|40,66
593|485|43,66
593|595|43,66
937|25|14,67
937|227|17,67
937|278|18,67
937|176|20,67
937|1301|39,67
937|485|42,67
937|595|42,67
937|946|42,67
25|227|3,81
25|278|4,81
25|176|6,81
25|1301|25,81
25|485|28,81
25|595|28,81
25|946|28,81
25|788|43,81
227|278|1,84
227|176|3,84
227|1301|22,84
227|485|25,84
227|595|25,84
227|946|25,84
227|788|40,84
227|316|42,84
278|176|2,85
278|1301|21,85
278|485|24,85
278|595|24,85
278|946|24,85
278|788|39,85
278|316|41,85
278|411|41,85
176|1301|19,87
176|485|22,87
176|595|22,87
176|946|22,87
176|788|37,87
176|316|39,87
176|411|39,87
176|190|40,87
1301|485|3,106
1301|595|3,106
1301|946|3,106
1301|788|18,106
1301|316|20,106
1301|411|20,106
1301|190|21,106
1301|647|21,106
485|595|0,109
485|946|0,109
485|788|15,109
485|316|17,109
485|411|17,109
485|190|18,109
485|647|18,109
485|123|19,109
595|946|0,109
595|788|15,109
595|316|17,109
595|411|17,109
595|190|18,109
595|647|18,109
595|123|19,109
595|348|22,109
946|788|15,109
946|316|17,109
946|411|17,109
946|190|18,109
946|647|18,109
946|123|19,109
946|348|22,109
946|844|25,109
788|316|2,124
788|411|2,124
788|190|3,124
788|647|3,124
788|123|4,124
788|348|7,124
788|844|10,124
788|84|13,124
316|411|0,126
316|190|1,126
316|647|1,126
316|123|2,126
316|348|5,126
316|844|8,126
316|84|11,126
316|140|17,126
411|190|1,126
411|647|1,126
411|123|2,126
411|348|5,126
411|844|8,126
411|84|11,126
411|140|17,126
411|1231|20,126
190|647|0,127
190|123|1,127
190|348|4,127
190|844|7,127
190|84|10,127
190|140|16,127
190|1231|19,127
190|452|20,127
647|123|1,127
647|348|4,127
647|844|7,127
647|84|10,127
647|140|16,127
647|1231|19,127
647|452|20,127
647|594|20,127
123|348|3,128
123|844|6,128
123|84|9,128
123|140|15,128
123|1231|18,128
123|452|19,128
123|594|19,128
123|816|22,128
348|844|3,131
348|84|6,131
348|140|12,131
348|1231|15,131
348|452|16,131
348|594|16,131
348|816|19,131
348|308|21,131
844|84|3,134
844|140|9,134
844|1231|12,134
844|452|13,134
844|594|13,134
844|816|16,134
844|308|18,134
844|934|29,134
84|140|6,137
84|1231|9,137
84|452|10,137
84|594|10,137
84|816|13,137
84|308|15,137
84|934|26,137
84|50|34,137
140|1231|3,143
140|452|4,143
140|594|4,143
140|816|7,143
140|308|9,143
140|934|20,143
140|50|28,143
140|766|30,143
1231|452|1,146
1231|594|1,146
1231|816|4,146
1231|308|6,146
1231|934|17,146
1231|50|25,146
1231|766|27,146
1231|480|30,146
452|594|0,147
452|816|3,147
452|308|5,147
452|934|16,147
452|50|24,147
452|766|26,147
452|480|29,147
452|94|30,147
594|816|3,147
594|308|5,147
594|934|16,147
594|50|24,147
594|766|26,147
594|480|29,147
594|94|30,147
594|708|30,147
816|308|2,150
816|934|13,150
816|50|21,150
816|766|23,150
816|480|26,150
816|94|27,150
816|708|27,150
816|227|28,150
308|934|11,152
308|50|19,152
308|766|21,152
308|480|24,152
308|94|25,152
308|708|25,152
308|227|26,152
308|845|26,152
934|50|8,163
934|766|10,163
934|480|13,163
934|94|14,163
934|708|14,163
934|227|15,163
934|845|15,163
934|554|16,163
50|766|2,171
50|480|5,171
50|94|6,171
50|708|6,171
50|227|7,171
50|845|7,171
50|554|8,171
50|411|10,171
766|480|3,173
766|94|4,173
766|708|4,173
766|227|5,173
766|845|5,173
766|554|6,173
766|411|8,173
766|675|8,173
480|94|1,176
480|708|1,176
480|227|2,176
480|845|2,176
480|554|3,176
480|411|5,176
480|675|5,176
480|348|6,176
94|708|0,177
94|227|1,177
94|845|1,177
94|554|2,177
94|411|4,177
94|675|4,177
94|348|5,177
94|246|13,177
708|227|1,177
708|845|1,177
708|554|2,177
708|411|4,177
708|675|4,177
708|348|5,177
708|246|13,177
708|24|16,177
227|845|0,178
227|554|1,178
227|411|3,178
227|675|3,178
227|348|4,178
227|246|12,178
227|24|15,178
227|740|22,178
845|554|1,178
845|411|3,178
845|675|3,178
845|348|4,178
845|246|12,178
845|24|15,178
845|740|22,178
845|605|26,178
554|411|2,179
554|675|2,179
554|348|3,179
554|246|11,179
554|24|14,179
554|740|21,179
554|605|25,179
554|924|25,179
411|675|0,181
411|348|1,181
411|246|9,181
411|24|12,181
411|740|19,181
411|605|23,181
411|924|23,181
411|1178|37,181
675|348|1,181
675|246|9,181
675|24|12,181
675|740|19,181
675|605|23,181
675|924|23,181
675|1178|37,181
675|948|39,181
348|246|8,182
348|24|11,182
348|740|18,182
348|605|22,182
348|924|22,182
348|1178|36,182
348|948|38,182
348|4|52,182
246|24|3,190
246|740|10,190
246|605|14,190
246|924|14,190
246|1178|28,190
246|948|30,190
246|4|44,190
246|226|44,190
24|740|7,193
24|605|11,193
24|924|11,193
24|1178|25,193
24|948|27,193
24|4|41,193
24|226|41,193
24|595|42,193
740|605|4,200
740|924|4,200
740|1178|18,200
740|948|20,200
740|4|34,200
740|226|34,200
740|595|35,200
740|1246|45,200
605|924|0,204
605|1178|14,204
605|948|16,204
605|4|30,204
605|226|30,204
605|595|31,204
605|1246|41,204
605|1182|42,204
924|1178|14,204
924|948|16,204
924|4|30,204
924|226|30,204
924|595|31,204
924|1246|41,204
924|1182|42,204
924|550|44,204
1178|948|2,218
1178|4|16,218
1178|226|16,218
1178|595|17,218
1178|1246|27,218
1178|1182|28,218
1178|550|30,218
1178|844|30,218
948|4|14,220
948|226|14,220
948|595|15,220
948|1246|25,220
948|1182|26,220
948|550|28,220
948|844|28,220
948|368|29,220
4|226|0,234
4|595|1,234
4|1246|11,234
4|1182|12,234
4|550|14,234
4|844|14,234
4|368|15,234
4|277|22,234
226|595|1,234
226|1246|11,234
226|1182|12,234
226|550|14,234
226|844|14,234
226|368|15,234
226|277|22,234
226|1022|25,234
595|1246|10,235
595|1182|11,235
595|550|13,235
595|844|13,235
595|368|14,235
595|277|21,235
595|1022|24,235
595|677|25,235
1246|1182|1,245
