hash,time
213|160|1,613
213|386|5,613
213|237|34,613
213|147|35,613
213|198|35,613
213|336|35,613
213|109|36,613
213|6|38,613
160|386|4,614
160|237|33,614
160|147|34,614
160|198|34,614
160|336|34,614
160|109|35,614
160|6|37,614
160|260|68,614
386|237|29,618
386|147|30,618
386|198|30,618
386|336|30,618
386|109|31,618
386|6|33,618
386|260|64,618
386|407|65,618
237|147|1,647
237|198|1,647
237|336|1,647
237|109|2,647
237|6|4,647
237|260|35,647
237|407|36,647
237|208|38,647
147|198|0,648
147|336|0,648
147|109|1,648
147|6|3,648
147|260|34,648
147|407|35,648
147|208|37,648
147|338|37,648
198|336|0,648
198|109|1,648
198|6|3,648
198|260|34,648
198|407|35,648
198|208|37,648
198|338|37,648
198|466|37,648
336|109|1,648
336|6|3,648
336|260|34,648
336|407|35,648
336|208|37,648
336|338|37,648
336|466|37,648
336|69|38,648
109|6|2,649
109|260|33,649
109|407|34,649
109|208|36,649
109|338|36,649
109|466|36,649
109|69|37,649
109|131|37,649
6|260|31,651
6|407|32,651
6|208|34,651
6|338|34,651
6|466|34,651
6|69|35,651
6|131|35,651
6|158|100,651
260|407|1,682
260|208|3,682
260|338|3,682
260|466|3,682
260|69|4,682
260|131|4,682
260|158|69,682
260|66|75,682
407|208|2,683
407|338|2,683
407|466|2,683
407|69|3,683
407|131|3,683
407|158|68,683
407|66|74,683
407|252|103,683
208|338|0,685
208|466|0,685
208|69|1,685
208|131|1,685
208|158|66,685
208|66|72,685
208|252|101,685
208|336|101,685
338|466|0,685
338|69|1,685
338|131|1,685
338|158|66,685
338|66|72,685
338|252|101,685
338|336|101,685
338|121|103,685
466|69|1,685
466|131|1,685
466|158|66,685
466|66|72,685
466|252|101,685
466|336|101,685
466|121|103,685
466|6|106,685
69|131|0,686
69|158|65,686
69|66|71,686
69|252|100,686
69|336|100,686
69|121|102,686
69|6|105,686
69|216|110,686
131|158|65,686
131|66|71,686
131|252|100,686
131|336|100,686
131|121|102,686
131|6|105,686
131|216|110,686
131|504|136,686
158|66|6,751
158|252|35,751
158|336|35,751
158|121|37,751
158|6|40,751
158|216|45,751
158|504|71,751
158|69|73,751
66|252|29,757
66|336|29,757
66|121|31,757
66|6|34,757
66|216|39,757
66|504|65,757
66|69|67,757
66|184|67,757
252|336|0,786
252|121|2,786
252|6|5,786
252|216|10,786
252|504|36,786
252|69|38,786
252|184|38,786
252|321|40,786
336|121|2,786
336|6|5,786
336|216|10,786
336|504|36,786
336|69|38,786
336|184|38,786
336|321|40,786
336|109|41,786
121|6|3,788
121|216|8,788
121|504|34,788
121|69|36,788
121|184|36,788
121|321|38,788
121|109|39,788
121|475|40,788
6|216|5,791
6|504|31,791
6|69|33,791
6|184|33,791
6|321|35,791
6|109|36,791
6|475|37,791
6|418|40,791
216|504|26,796
216|69|28,796
216|184|28,796
216|321|30,796
216|109|31,796
216|475|32,796
216|418|35,796
216|186|94,796
504|69|2,822
504|184|2,822
504|321|4,822
504|109|5,822
504|475|6,822
504|418|9,822
504|186|68,822
504|250|68,822
69|184|0,824
69|321|2,824
69|109|3,824
69|475|4,824
69|418|7,824
69|186|66,824
69|250|66,824
69|134|69,824
184|321|2,824
184|109|3,824
184|475|4,824
184|418|7,824
184|186|66,824
184|250|66,824
184|134|69,824
184|6|71,824
321|109|1,826
321|475|2,826
321|418|5,826
321|186|64,826
321|250|64,826
321|134|67,826
321|6|69,826
321|336|73,826
109|475|1,827
109|418|4,827
109|186|63,827
109|250|63,827
109|134|66,827
109|6|68,827
109|336|72,827
109|376|74,827
475|418|3,828
475|186|62,828
475|250|62,828
475|134|65,828
475|6|67,828
475|336|71,828
475|376|73,828
475|289|96,828
418|186|59,831
418|250|59,831
418|134|62,831
418|6|64,831
418|336|68,831
418|376|70,831
418|289|93,831
418|121|95,831
186|250|0,890
186|134|3,890
186|6|5,890
186|336|9,890
186|376|11,890
186|289|34,890
186|121|36,890
186|252|36,890
250|134|3,890
250|6|5,890
250|336|9,890
250|376|11,890
250|289|34,890
250|121|36,890
250|252|36,890
250|196|38,890
134|6|2,893
134|336|6,893
134|376|8,893
134|289|31,893
134|121|33,893
134|252|33,893
134|196|35,893
134|396|69,893
6|336|4,895
6|376|6,895
6|289|29,895
6|121|31,895
6|252|31,895
6|196|33,895
6|396|67,895
6|68|68,895
336|376|2,899
336|289|25,899
336|121|27,899
336|252|27,899
336|196|29,899
336|396|63,899
336|68|64,899
336|199|64,899
376|289|23,901
376|121|25,901
376|252|25,901
376|196|27,901
376|396|61,901
376|68|62,901
376|199|62,901
376|355|62,901
289|121|2,924
289|252|2,924
289|196|4,924
289|396|38,924
289|68|39,924
289|199|39,924
289|355|39,924
289|575|39,924
121|252|0,926
121|196|2,926
121|396|36,926
121|68|37,926
121|199|37,926
121|355|37,926
121|575|37,926
121|121|38,926
252|196|2,926
252|396|36,926
252|68|37,926
252|199|37,926
252|355|37,926
252|575|37,926
252|121|38,926
252|322|38,926
196|396|34,928
196|68|35,928
196|199|35,928
196|355|35,928
196|575|35,928
196|121|36,928
196|322|36,928
196|504|37,928
396|68|1,962
396|199|1,962
396|355|1,962
396|575|1,962
396|121|2,962
396|322|2,962
396|504|3,962
396|543|3,962
68|199|0,963
68|355|0,963
68|575|0,963
68|121|1,963
68|322|1,963
68|504|2,963
68|543|2,963
68|453|5,963
199|355|0,963
199|575|0,963
199|121|1,963
199|322|1,963
199|504|2,963
199|543|2,963
199|453|5,963
199|6|71,963
355|575|0,963
355|121|1,963
355|322|1,963
355|504|2,963
355|543|2,963
355|453|5,963
355|6|71,963
355|131|72,963
575|121|1,963
575|322|1,963
575|504|2,963
575|543|2,963
575|453|5,963
575|6|71,963
575|131|72,963
575|177|72,963
121|322|0,964
121|504|1,964
121|543|1,964
121|453|4,964
121|6|70,964
121|131|71,964
121|177|71,964
121|243|72,964
322|504|1,964
322|543|1,964
322|453|4,964
322|6|70,964
322|131|71,964
322|177|71,964
322|243|72,964
322|210|79,964
504|543|0,965
504|453|3,965
504|6|69,965
504|131|70,965
504|177|70,965
504|243|71,965
504|210|78,965
504|354|80,965
543|453|3,965
543|6|69,965
543|131|70,965
543|177|70,965
543|243|71,965
543|210|78,965
543|354|80,965
543|185|101,965
453|6|66,968
453|131|67,968
453|177|67,968
453|243|68,968
453|210|75,968
453|354|77,968
453|185|98,968
453|7|121,968
6|131|1,1034
6|177|1,1034
6|243|2,1034
6|210|9,1034
6|354|11,1034
6|185|32,1034
6|7|55,1034
6|597|67,1034
131|177|0,1035
131|243|1,1035
131|210|8,1035
131|354|10,1035
131|185|31,1035
131|7|54,1035
131|597|66,1035
131|77|67,1035
177|243|1,1035
177|210|8,1035
177|354|10,1035
177|185|31,1035
177|7|54,1035
177|597|66,1035
177|77|67,1035
177|279|67,1035
243|210|7,1036
243|354|9,1036
243|185|30,1036
243|7|53,1036
243|597|65,1036
243|77|66,1036
243|279|66,1036
243|396|66,1036
210|354|2,1043
210|185|23,1043
210|7|46,1043
210|597|58,1043
210|77|59,1043
210|279|59,1043
210|396|59,1043
210|428|60,1043
354|185|21,1045
354|7|44,1045
354|597|56,1045
354|77|57,1045
354|279|57,1045
354|396|57,1045
354|428|58,1045
354|153|59,1045
185|7|23,1066
185|597|35,1066
185|77|36,1066
185|279|36,1066
185|396|36,1066
185|428|37,1066
185|153|38,1066
185|208|39,1066
7|597|12,1089
7|77|13,1089
7|279|13,1089
7|396|13,1089
7|428|14,1089
7|153|15,1089
7|208|16,1089
7|66|83,1089
597|77|1,1101
597|279|1,1101
597|396|1,1101
597|428|2,1101
597|153|3,1101
597|208|4,1101
597|66|71,1101
597|177|72,1101
77|279|0,1102
77|396|0,1102
77|428|1,1102
77|153|2,1102
77|208|3,1102
77|66|70,1102
77|177|71,1102
77|6|72,1102
279|396|0,1102
279|428|1,1102
279|153|2,1102
279|208|3,1102
279|66|70,1102
279|177|71,1102
279|6|72,1102
279|136|77,1102
396|428|1,1102
396|153|2,1102
396|208|3,1102
396|66|70,1102
396|177|71,1102
396|6|72,1102
396|136|77,1102
396|95|79,1102
428|153|1,1103
428|208|2,1103
428|66|69,1103
428|177|70,1103
428|6|71,1103
428|136|76,1103
428|95|78,1103
428|359|79,1103
153|208|1,1104
153|66|68,1104
153|177|69,1104
153|6|70,1104
153|136|75,1104
153|95|77,1104
153|359|78,1104
153|134|105,1104
208|66|67,1105
208|177|68,1105
208|6|69,1105
208|136|74,1105
208|95|76,1105
208|359|77,1105
208|134|104,1105
208|7|115,1105
66|177|1,1172
66|6|2,1172
66|136|7,1172
66|95|9,1172
66|359|10,1172
66|134|37,1172
66|7|48,1172
66|711|70,1172
177|6|1,1173
177|136|6,1173
177|95|8,1173
177|359|9,1173
177|134|36,1173
177|7|47,1173
177|711|69,1173
177|72|70,1173
6|136|5,1174
6|95|7,1174
6|359|8,1174
6|134|35,1174
6|7|46,1174
6|711|68,1174
6|72|69,1174
6|121|69,1174
136|95|2,1179
136|359|3,1179
136|134|30,1179
136|7|41,1179
136|711|63,1179
136|72|64,1179
136|121|64,1179
136|356|64,1179
95|359|1,1181
95|134|28,1181
95|7|39,1181
95|711|61,1181
95|72|62,1181
95|121|62,1181
95|356|62,1181
95|463|63,1181
359|134|27,1182
359|7|38,1182
359|711|60,1182
359|72|61,1182
359|121|61,1182
359|356|61,1182
359|463|62,1182
359|175|63,1182
134|7|11,1209
134|711|33,1209
134|72|34,1209
134|121|34,1209
134|356|34,1209
134|463|35,1209
134|175|36,1209
134|296|38,1209
7|711|22,1220
7|72|23,1220
7|121|23,1220
7|356|23,1220
7|463|24,1220
7|175|25,1220
7|296|27,1220
7|390|28,1220
711|72|1,1242
711|121|1,1242
711|356|1,1242
711|463|2,1242
711|175|3,1242
711|296|5,1242
711|390|6,1242
711|315|69,1242
72|121|0,1243
72|356|0,1243
72|463|1,1243
72|175|2,1243
72|296|4,1243
72|390|5,1243
72|315|68,1243
72|189|70,1243
121|356|0,1243
121|463|1,1243
121|175|2,1243
121|296|4,1243
121|390|5,1243
121|315|68,1243
121|189|70,1243
121|6|71,1243
356|463|1,1243
356|175|2,1243
356|296|4,1243
356|390|5,1243
356|315|68,1243
356|189|70,1243
356|6|71,1243
356|72|77,1243
463|175|1,1244
463|296|3,1244
463|390|4,1244
463|315|67,1244
463|189|69,1244
463|6|70,1244
463|72|76,1244
463|293|102,1244
175|296|2,1245
175|390|3,1245
175|315|66,1245
175|189|68,1245
175|6|69,1245
175|72|75,1245
175|293|101,1245
175|122|102,1245
296|390|1,1247
296|315|64,1247
296|189|66,1247
296|6|67,1247
296|72|73,1247
296|293|99,1247
296|122|100,1247
296|187|101,1247
390|315|63,1248
390|189|65,1248
390|6|66,1248
390|72|72,1248
390|293|98,1248
390|122|99,1248
390|187|100,1248
390|73|132,1248
315|189|2,1311
315|6|3,1311
315|72|9,1311
315|293|35,1311
315|122|36,1311
315|187|37,1311
315|73|69,1311
315|517|71,1311
189|6|1,1313
189|72|7,1313
189|293|33,1313
189|122|34,1313
189|187|35,1313
189|73|67,1313
189|517|69,1313
189|665|69,1313
6|72|6,1314
6|293|32,1314
6|122|33,1314
6|187|34,1314
6|73|66,1314
6|517|68,1314
6|665|68,1314
6|229|69,1314
72|293|26,1320
72|122|27,1320
72|187|28,1320
72|73|60,1320
72|517|62,1320
72|665|62,1320
72|229|63,1320
72|297|64,1320
293|122|1,1346
293|187|2,1346
293|73|34,1346
293|517|36,1346
293|665|36,1346
293|229|37,1346
293|297|38,1346
293|377|38,1346
122|187|1,1347
122|73|33,1347
122|517|35,1347
122|665|35,1347
122|229|36,1347
122|297|37,1347
122|377|37,1347
122|576|37,1347
187|73|32,1348
187|517|34,1348
187|665|34,1348
187|229|35,1348
187|297|36,1348
187|377|36,1348
187|576|36,1348
187|135|37,1348
73|517|2,1380
73|665|2,1380
73|229|3,1380
73|297|4,1380
73|377|4,1380
73|576|4,1380
73|135|5,1380
73|421|6,1380
517|665|0,1382
517|229|1,1382
517|297|2,1382
517|377|2,1382
517|576|2,1382
517|135|3,1382
517|421|4,1382
517|88|69,1382
665|229|1,1382
665|297|2,1382
665|377|2,1382
665|576|2,1382
665|135|3,1382
665|421|4,1382
665|88|69,1382
665|188|69,1382
229|297|1,1383
229|377|1,1383
229|576|1,1383
229|135|2,1383
229|421|3,1383
229|88|68,1383
229|188|68,1383
229|142|69,1383
297|377|0,1384
297|576|0,1384
297|135|1,1384
297|421|2,1384
297|88|67,1384
297|188|67,1384
297|142|68,1384
297|221|68,1384
377|576|0,1384
377|135|1,1384
377|421|2,1384
377|88|67,1384
377|188|67,1384
377|142|68,1384
377|221|68,1384
377|6|69,1384
576|135|1,1384
576|421|2,1384
576|88|67,1384
576|188|67,1384
576|142|68,1384
576|221|68,1384
576|6|69,1384
576|148|101,1384
135|421|1,1385
135|88|66,1385
135|188|66,1385
135|142|67,1385
135|221|67,1385
135|6|68,1385
135|148|100,1385
135|188|102,1385
421|88|65,1386
421|188|65,1386
421|142|66,1386
421|221|66,1386
421|6|67,1386
421|148|99,1386
421|188|101,1386
421|7|118,1386
88|188|0,1451
88|142|1,1451
88|221|1,1451
88|6|2,1451
88|148|34,1451
88|188|36,1451
88|7|53,1451
88|559|67,1451
188|142|1,1451
188|221|1,1451
188|6|2,1451
188|148|34,1451
188|188|36,1451
188|7|53,1451
188|559|67,1451
188|596|67,1451
142|221|0,1452
142|6|1,1452
142|148|33,1452
142|188|35,1452
142|7|52,1452
142|559|66,1452
142|596|66,1452
142|175|67,1452
221|6|1,1452
221|148|33,1452
221|188|35,1452
221|7|52,1452
221|559|66,1452
221|596|66,1452
221|175|67,1452
221|481|67,1452
6|148|32,1453
6|188|34,1453
6|7|51,1453
6|559|65,1453
6|596|65,1453
6|175|66,1453
6|481|66,1453
6|125|67,1453
148|188|2,1485
148|7|19,1485
148|559|33,1485
148|596|33,1485
148|175|34,1485
148|481|34,1485
148|125|35,1485
148|251|35,1485
188|7|17,1487
188|559|31,1487
188|596|31,1487
188|175|32,1487
188|481|32,1487
188|125|33,1487
188|251|33,1487
188|406|33,1487
7|559|14,1504
7|596|14,1504
7|175|15,1504
7|481|15,1504
7|125|16,1504
7|251|16,1504
7|406|16,1504
7|208|17,1504
559|596|0,1518
559|175|1,1518
559|481|1,1518
559|125|2,1518
559|251|2,1518
559|406|2,1518
559|208|3,1518
559|368|4,1518
596|175|1,1518
596|481|1,1518
596|125|2,1518
596|251|2,1518
596|406|2,1518
596|208|3,1518
596|368|4,1518
596|452|4,1518
175|481|0,1519
175|125|1,1519
175|251|1,1519
175|406|1,1519
175|208|2,1519
175|368|3,1519
175|452|3,1519
175|266|71,1519
481|125|1,1519
481|251|1,1519
481|406|1,1519
481|208|2,1519
481|368|3,1519
481|452|3,1519
481|266|71,1519
481|6|76,1519
125|251|0,1520
125|406|0,1520
125|208|1,1520
125|368|2,1520
125|452|2,1520
125|266|70,1520
125|6|75,1520
125|125|75,1520
251|406|0,1520
251|208|1,1520
251|368|2,1520
251|452|2,1520
251|266|70,1520
251|6|75,1520
251|125|75,1520
251|161|75,1520
406|208|1,1520
406|368|2,1520
406|452|2,1520
406|266|70,1520
406|6|75,1520
406|125|75,1520
406|161|75,1520
406|221|76,1520
208|368|1,1521
208|452|1,1521
208|266|69,1521
208|6|74,1521
208|125|74,1521
208|161|74,1521
208|221|75,1521
208|150|105,1521
368|452|0,1522
368|266|68,1522
368|6|73,1522
368|125|73,1522
368|161|73,1522
368|221|74,1522
368|150|104,1522
368|6|105,1522
452|266|68,1522
452|6|73,1522
452|125|73,1522
452|161|73,1522
452|221|74,1522
452|150|104,1522
452|6|105,1522
452|666|134,1522
266|6|5,1590
266|125|5,1590
266|161|5,1590
266|221|6,1590
266|150|36,1590
266|6|37,1590
266|666|66,1590
266|171|67,1590
6|125|0,1595
6|161|0,1595
6|221|1,1595
6|150|31,1595
6|6|32,1595
6|666|61,1595
6|171|62,1595
6|76|64,1595
125|161|0,1595
125|221|1,1595
125|150|31,1595
125|6|32,1595
125|666|61,1595
125|171|62,1595
125|76|64,1595
125|504|64,1595
161|221|1,1595
161|150|31,1595
161|6|32,1595
161|666|61,1595
161|171|62,1595
161|76|64,1595
161|504|64,1595
161|287|65,1595
221|150|30,1596
221|6|31,1596
221|666|60,1596
221|171|61,1596
221|76|63,1596
221|504|63,1596
221|287|64,1596
221|426|64,1596
150|6|1,1626
150|666|30,1626
150|171|31,1626
150|76|33,1626
150|504|33,1626
150|287|34,1626
150|426|34,1626
150|206|35,1626
6|666|29,1627
6|171|30,1627
6|76|32,1627
6|504|32,1627
6|287|33,1627
6|426|33,1627
6|206|34,1627
6|371|34,1627
666|171|1,1656
666|76|3,1656
666|504|3,1656
666|287|4,1656
666|426|4,1656
666|206|5,1656
666|371|5,1656
666|568|5,1656
171|76|2,1657
171|504|2,1657
171|287|3,1657
171|426|3,1657
171|206|4,1657
171|371|4,1657
171|568|4,1657
171|71|77,1657
76|504|0,1659
76|287|1,1659
76|426|1,1659
76|206|2,1659
76|371|2,1659
76|568|2,1659
76|71|75,1659
76|118|75,1659
504|287|1,1659
504|426|1,1659
504|206|2,1659
504|371|2,1659
504|568|2,1659
504|71|75,1659
504|118|75,1659
504|147|80,1659
287|426|0,1660
287|206|1,1660
287|371|1,1660
287|568|1,1660
287|71|74,1660
287|118|74,1660
287|147|79,1660
287|7|80,1660
426|206|1,1660
426|371|1,1660
426|568|1,1660
426|71|74,1660
426|118|74,1660
426|147|79,1660
426|7|80,1660
426|193|99,1660
206|371|0,1661
206|568|0,1661
206|71|73,1661
