hash,time
275|359|3,11
275|392|5,11
275|475|5,11
275|75|6,11
275|114|6,11
275|152|6,11
275|229|6,11
275|190|7,11
359|392|2,14
359|475|2,14
359|75|3,14
359|114|3,14
359|152|3,14
359|229|3,14
359|190|4,14
359|674|6,14
392|475|0,16
392|75|1,16
392|114|1,16
392|152|1,16
392|229|1,16
392|190|2,16
392|674|4,16
392|421|7,16
475|75|1,16
475|114|1,16
475|152|1,16
475|229|1,16
475|190|2,16
475|674|4,16
475|421|7,16
475|9|14,16
75|114|0,17
75|152|0,17
75|229|0,17
75|190|1,17
75|674|3,17
75|421|6,17
75|9|13,17
75|309|16,17
114|152|0,17
114|229|0,17
114|190|1,17
114|674|3,17
114|421|6,17
114|9|13,17
114|309|16,17
114|152|38,17
152|229|0,17
152|190|1,17
152|674|3,17
152|421|6,17
152|9|13,17
152|309|16,17
152|152|38,17
152|229|38,17
229|190|1,17
229|674|3,17
229|421|6,17
229|9|13,17
229|309|16,17
229|152|38,17
229|229|38,17
229|113|39,17
190|674|2,18
190|421|5,18
190|9|12,18
190|309|15,18
190|152|37,18
190|229|37,18
190|113|38,18
190|191|46,18
674|421|3,20
674|9|10,20
674|309|13,20
674|152|35,20
674|229|35,20
674|113|36,20
674|191|44,20
674|475|44,20
421|9|7,23
421|309|10,23
421|152|32,23
421|229|32,23
421|113|33,23
421|191|41,23
421|475|41,23
421|75|42,23
9|309|3,30
9|152|25,30
9|229|25,30
9|113|26,30
9|191|34,30
9|475|34,30
9|75|35,30
9|356|37,30
309|152|22,33
309|229|22,33
309|113|23,33
309|191|31,33
309|475|31,33
309|75|32,33
309|356|34,33
309|674|34,33
152|229|0,55
152|113|1,55
152|191|9,55
152|475|9,55
152|75|10,55
152|356|12,55
152|674|12,55
152|309|18,55
229|113|1,55
229|191|9,55
229|475|9,55
229|75|10,55
229|356|12,55
229|674|12,55
229|309|18,55
229|500|38,55
113|191|8,56
113|475|8,56
113|75|9,56
113|356|11,56
113|674|11,56
113|309|17,56
113|500|37,56
113|653|39,56
191|475|0,64
191|75|1,64
191|356|3,64
191|674|3,64
191|309|9,64
191|500|29,64
191|653|31,64
191|535|34,64
475|75|1,64
475|356|3,64
475|674|3,64
475|309|9,64
475|500|29,64
475|653|31,64
475|535|34,64
475|425|36,64
75|356|2,65
75|674|2,65
75|309|8,65
75|500|28,65
75|653|30,65
75|535|33,65
75|425|35,65
75|385|44,65
356|674|0,67
356|309|6,67
356|500|26,67
356|653|28,67
356|535|31,67
356|425|33,67
356|385|42,67
356|75|47,67
674|309|6,67
674|500|26,67
674|653|28,67
674|535|31,67
674|425|33,67
674|385|42,67
674|75|47,67
674|114|48,67
309|500|20,73
309|653|22,73
309|535|25,73
309|425|27,73
309|385|36,73
309|75|41,73
309|114|42,73
309|152|42,73
500|653|2,93
500|535|5,93
500|425|7,93
500|385|16,93
500|75|21,93
500|114|22,93
500|152|22,93
500|229|22,93
653|535|3,95
653|425|5,95
653|385|14,95
653|75|19,95
653|114|20,95
653|152|20,95
653|229|20,95
653|190|21,95
535|425|2,98
535|385|11,98
535|75|16,98
535|114|17,98
535|152|17,98
535|229|17,98
535|190|18,98
535|269|34,98
425|385|9,100
425|75|14,100
425|114|15,100
425|152|15,100
425|229|15,100
425|190|16,100
425|269|32,100
425|309|64,100
385|75|5,109
385|114|6,109
385|152|6,109
385|229|6,109
385|190|7,109
385|269|23,109
385|309|55,109
385|37|56,109
75|114|1,114
75|152|1,114
75|229|1,114
75|190|2,114
75|269|18,114
75|309|50,114
75|37|51,114
75|75|51,114
114|152|0,115
114|229|0,115
114|190|1,115
114|269|17,115
114|309|49,115
114|37|50,115
114|75|50,115
114|114|51,115
152|229|0,115
152|190|1,115
152|269|17,115
152|309|49,115
152|37|50,115
152|75|50,115
152|114|51,115
152|229|51,115
229|190|1,115
229|269|17,115
229|309|49,115
229|37|50,115
229|75|50,115
229|114|51,115
229|229|51,115
229|674|51,115
190|269|16,116
190|309|48,116
