hash,time
738|793|0,6
738|391|1,6
738|476|1,6
738|622|2,6
738|76|3,6
738|114|3,6
738|33|5,6
738|513|6,6
793|391|1,6
793|476|1,6
793|622|2,6
793|76|3,6
793|114|3,6
793|33|5,6
793|513|6,6
793|168|9,6
391|476|0,7
391|622|1,7
391|76|2,7
391|114|2,7
391|33|4,7
391|513|5,7
391|168|8,7
391|328|11,7
476|622|1,7
476|76|2,7
476|114|2,7
476|33|4,7
476|513|5,7
476|168|8,7
476|328|11,7
476|648|15,7
622|76|1,8
622|114|1,8
622|33|3,8
622|513|4,8
622|168|7,8
622|328|10,8
622|648|14,8
622|415|15,8
76|114|0,9
76|33|2,9
76|513|3,9
76|168|6,9
76|328|9,9
76|648|13,9
76|415|14,9
76|591|14,9
114|33|2,9
114|513|3,9
114|168|6,9
114|328|9,9
114|648|13,9
114|415|14,9
114|591|14,9
114|275|21,9
33|513|1,11
33|168|4,11
33|328|7,11
33|648|11,11
33|415|12,11
33|591|12,11
33|275|19,11
33|89|28,11
513|168|3,12
513|328|6,12
513|648|10,12
513|415|11,12
513|591|11,12
513|275|18,12
513|89|27,12
513|134|30,12
168|328|3,15
168|648|7,15
168|415|8,15
168|591|8,15
168|275|15,15
168|89|24,15
168|134|27,15
168|224|27,15
328|648|4,18
328|415|5,18
328|591|5,18
328|275|12,18
328|89|21,18
328|134|24,18
328|224|24,18
328|639|28,18
648|415|1,22
648|591|1,22
648|275|8,22
648|89|17,22
648|134|20,22
648|224|20,22
648|639|24,22
648|500|25,22
415|591|0,23
415|275|7,23
415|89|16,23
415|134|19,23
415|224|19,23
415|639|23,23
415|500|24,23
415|67|34,23
591|275|7,23
591|89|16,23
591|134|19,23
591|224|19,23
591|639|23,23
591|500|24,23
591|67|34,23
591|392|34,23
275|89|9,30
275|134|12,30
275|224|12,30
275|639|16,30
275|500|17,30
275|67|27,30
275|392|27,30
275|282|28,30
89|134|3,39
89|224|3,39
89|639|7,39
89|500|8,39
89|67|18,39
89|392|18,39
89|282|19,39
89|169|20,39
134|224|0,42
134|639|4,42
134|500|5,42
134|67|15,42
134|392|15,42
134|282|16,42
134|169|17,42
134|425|19,42
224|639|4,42
224|500|5,42
224|67|15,42
224|392|15,42
224|282|16,42
224|169|17,42
224|425|19,42
224|614|20,42
639|500|1,46
639|67|11,46
639|392|11,46
639|282|12,46
639|169|13,46
639|425|15,46
639|614|16,46
639|224|29,46
500|67|10,47
500|392|10,47
500|282|11,47
500|169|12,47
500|425|14,47
500|614|15,47
500|224|28,47
500|476|43,47
67|392|0,57
67|282|1,57
67|169|2,57
67|425|4,57
67|614|5,57
67|224|18,57
67|476|33,57
67|663|45,57
392|282|1,57
392|169|2,57
392|425|4,57
392|614|5,57
392|224|18,57
392|476|33,57
392|663|45,57
392|740|46,57
282|169|1,58
282|425|3,58
282|614|4,58
282|224|17,58
282|476|32,58
282|663|44,58
282|740|45,58
282|67|46,58
169|425|2,59
169|614|3,59
169|224|16,59
169|476|31,59
169|663|43,59
169|740|44,59
169|67|45,59
169|166|46,59
425|614|1,61
425|224|14,61
425|476|29,61
425|663|41,61
425|740|42,61
425|67|43,61
425|166|44,61
425|282|45,61
614|224|13,62
614|476|28,62
614|663|40,62
614|740|41,62
614|67|42,62
614|166|43,62
614|282|44,62
614|514|49,62
224|476|15,75
224|663|27,75
224|740|28,75
224|67|29,75
224|166|30,75
224|282|31,75
224|514|36,75
224|617|37,75
476|663|12,90
476|740|13,90
476|67|14,90
476|166|15,90
476|282|16,90
476|514|21,90
476|617|22,90
476|33|23,90
663|740|1,102
663|67|2,102
663|166|3,102
663|282|4,102
663|514|9,102
663|617|10,102
663|33|11,102
663|133|20,102
740|67|1,103
740|166|2,103
740|282|3,103
740|514|8,103
740|617|9,103
740|33|10,103
740|133|19,103
740|476|20,103
67|166|1,104
67|282|2,104
67|514|7,104
67|617|8,104
67|33|9,104
67|133|18,104
67|476|19,104
67|660|32,104
166|282|1,105
166|514|6,105
166|617|7,105
166|33|8,105
166|133|17,105
166|476|18,105
166|660|31,105
166|391|32,105
282|514|5,106
282|617|6,106
282|33|7,106
282|133|16,106
282|476|17,106
282|660|30,106
282|391|31,106
282|75|33,106
514|617|1,111
514|33|2,111
514|133|11,111
514|476|12,111
514|660|25,111
514|391|26,111
514|75|28,111
514|448|30,111
617|33|1,112
617|133|10,112
617|476|11,112
617|660|24,112
617|391|25,112
617|75|27,112
617|448|29,112
617|737|41,112
33|133|9,113
33|476|10,113
33|660|23,113
33|391|24,113
33|75|26,113
33|448|28,113
33|737|40,113
33|521|42,113
133|476|1,122
133|660|14,122
133|391|15,122
133|75|17,122
133|448|19,122
133|737|31,122
133|521|33,122
133|266|34,122
476|660|13,123
476|391|14,123
476|75|16,123
476|448|18,123
476|737|30,123
476|521|32,123
476|266|33,123
476|636|34,123
660|391|1,136
660|75|3,136
660|448|5,136
660|737|17,136
660|521|19,136
660|266|20,136
660|636|21,136
660|167|23,136
391|75|2,137
391|448|4,137
391|737|16,137
391|521|18,137
391|266|19,137
391|636|20,137
391|167|22,137
391|572|22,137
75|448|2,139
75|737|14,139
75|521|16,139
75|266|17,139
75|636|18,139
75|167|20,139
75|572|20,139
75|33|22,139
448|737|12,141
448|521|14,141
448|266|15,141
448|636|16,141
448|167|18,141
448|572|18,141
448|33|20,141
448|668|27,141
737|521|2,153
737|266|3,153
737|636|4,153
737|167|6,153
737|572|6,153
737|33|8,153
737|668|15,153
737|76|19,153
521|266|1,155
521|636|2,155
521|167|4,155
521|572|4,155
521|33|6,155
521|668|13,155
521|76|17,155
521|224|17,155
266|636|1,156
266|167|3,156
266|572|3,156
266|33|5,156
266|668|12,156
266|76|16,156
266|224|16,156
266|476|16,156
