hash,time
47|334|35,225
47|46|36,225
47|376|54,225
47|47|82,225
47|141|84,225
47|176|84,225
47|329|91,225
47|364|93,225
334|46|1,260
334|376|19,260
334|47|47,260
334|141|49,260
334|176|49,260
334|329|56,260
334|364|58,260
334|658|59,260
46|376|18,261
46|47|46,261
46|141|48,261
46|176|48,261
46|329|55,261
46|364|57,261
46|658|58,261
46|246|82,261
376|47|28,279
376|141|30,279
376|176|30,279
376|329|37,279
376|364|39,279
376|658|40,279
376|246|64,279
376|188|67,279
47|141|2,307
47|176|2,307
47|329|9,307
47|364|11,307
47|658|12,307
47|246|36,307
47|188|39,307
47|364|76,307
141|176|0,309
141|329|7,309
141|364|9,309
141|658|10,309
141|246|34,309
141|188|37,309
141|364|74,309
141|164|75,309
176|329|7,309
176|364|9,309
176|658|10,309
176|246|34,309
176|188|37,309
176|364|74,309
176|164|75,309
176|47|79,309
329|364|2,316
329|658|3,316
329|246|27,316
329|188|30,316
329|364|67,316
329|164|68,316
329|47|72,316
329|187|85,316
364|658|1,318
364|246|25,318
364|188|28,318
364|364|65,318
364|164|66,318
364|47|70,318
364|187|83,318
364|46|102,318
658|246|24,319
658|188|27,319
658|364|64,319
658|164|65,319
658|47|69,319
658|187|82,319
658|46|101,319
658|470|119,319
246|188|3,343
246|364|40,343
246|164|41,343
246|47|45,343
246|187|58,343
246|46|77,343
246|470|95,343
246|147|97,343
188|364|37,346
188|164|38,346
188|47|42,346
188|187|55,346
188|46|74,346
188|470|92,346
188|147|94,346
188|353|94,346
364|164|1,383
364|47|5,383
364|187|18,383
364|46|37,383
364|470|55,383
364|147|57,383
364|353|57,383
364|412|58,383
164|47|4,384
164|187|17,384
164|46|36,384
164|470|54,384
164|147|56,384
164|353|56,384
164|412|57,384
164|89|63,384
47|187|13,388
47|46|32,388
47|470|50,388
47|147|52,388
47|353|52,388
47|412|53,388
47|89|59,388
47|265|60,388
187|46|19,401
187|470|37,401
187|147|39,401
187|353|39,401
187|412|40,401
187|89|46,401
187|265|47,401
187|297|52,401
46|470|18,420
46|147|20,420
46|353|20,420
46|412|21,420
46|89|27,420
46|265|28,420
46|297|33,420
46|229|37,420
470|147|2,438
470|353|2,438
470|412|3,438
470|89|9,438
470|265|10,438
470|297|15,438
470|229|19,438
470|124|26,438
147|353|0,440
147|412|1,440
147|89|7,440
147|265|8,440
147|297|13,440
147|229|17,440
147|124|24,440
147|62|26,440
353|412|1,440
353|89|7,440
353|265|8,440
353|297|13,440
353|229|17,440
353|124|24,440
353|62|26,440
353|591|27,440
412|89|6,441
412|265|7,441
412|297|12,441
412|229|16,441
412|124|23,441
412|62|25,441
412|591|26,441
412|187|27,441
89|265|1,447
89|297|6,447
89|229|10,447
89|124|17,447
89|62|19,447
89|591|20,447
89|187|21,447
89|334|25,447
265|297|5,448
265|229|9,448
