hash,time
401|187|1,41
401|8|2,41
401|124|3,41
401|52|4,41
401|14|58,41
401|15|90,41
401|88|119,41
401|14|146,41
187|8|1,42
187|124|2,42
187|52|3,42
187|14|57,42
187|15|89,42
187|88|118,42
187|14|145,42
187|59|177,42
8|124|1,43
8|52|2,43
8|14|56,43
8|15|88,43
8|88|117,43
8|14|144,43
8|59|176,43
8|111|176,43
124|52|1,44
124|14|55,44
124|15|87,44
124|88|116,44
124|14|143,44
124|59|175,44
124|111|175,44
52|14|54,45
52|15|86,45
52|88|115,45
52|14|142,45
52|59|174,45
52|111|174,45
14|15|32,99
14|88|61,99
14|14|88,99
14|59|120,99
14|111|120,99
14|44|149,99
14|133|156,99
15|88|29,131
15|14|56,131
15|59|88,131
15|111|88,131
15|44|117,131
15|133|124,131
15|13|174,131
88|14|27,160
88|59|59,160
88|111|59,160
88|44|88,160
88|133|95,160
88|13|145,160
14|59|32,187
14|111|32,187
14|44|61,187
14|133|68,187
14|13|118,187
14|313|180,187
14|88|186,187
14|15|189,187
59|111|0,219
59|44|29,219
59|133|36,219
59|13|86,219
59|313|148,219
59|88|154,219
59|15|157,219
111|44|29,219
111|133|36,219
111|13|86,219
111|313|148,219
111|88|154,219
111|15|157,219
44|133|7,248
44|13|57,248
44|313|119,248
44|88|125,248
44|15|128,248
44|13|174,248
44|88|177,248
133|13|50,255
133|313|112,255
133|88|118,255
133|15|121,255
133|13|167,255
133|88|170,255
13|313|62,305
13|88|68,305
13|15|71,305
13|13|117,305
13|88|120,305
13|15|174,305
13|88|189,305
313|88|6,367
313|15|9,367
313|13|55,367
313|88|58,367
313|15|112,367
313|88|127,367
313|159|147,367
313|15|149,367
88|15|3,373
88|13|49,373
88|88|52,373
88|15|106,373
88|88|121,373
88|159|141,373
88|15|143,373
88|435|149,373
15|13|46,376
15|88|49,376
15|15|103,376
15|88|118,376
15|159|138,376
15|15|140,376
15|435|146,376
15|542|147,376
13|88|3,422
13|15|57,422
13|88|72,422
13|159|92,422
13|15|94,422
13|435|100,422
13|542|101,422
13|470|102,422
88|15|54,425
88|88|69,425
88|159|89,425
88|15|91,425
88|435|97,425
88|542|98,425
88|470|99,425
88|771|99,425
15|88|15,479
15|159|35,479
15|15|37,479
15|435|43,479
15|542|44,479
15|470|45,479
15|771|45,479
15|679|46,479
88|159|20,494
88|15|22,494
88|435|28,494
88|542|29,494
88|470|30,494
88|771|30,494
88|679|31,494
88|851|31,494
159|15|2,514
159|435|8,514
159|542|9,514
159|470|10,514
159|771|10,514
159|679|11,514
159|851|11,514
159|600|12,514
15|435|6,516
15|542|7,516
15|470|8,516
