hash,time
439|525|0,42
439|156|1,42
439|213|1,42
439|257|1,42
439|482|1,42
439|28|4,42
439|349|25,42
439|84|32,42
525|156|1,42
525|213|1,42
525|257|1,42
525|482|1,42
525|28|4,42
525|349|25,42
525|84|32,42
525|431|46,42
156|213|0,43
156|257|0,43
156|482|0,43
156|28|3,43
156|349|24,43
156|84|31,43
156|431|45,43
156|159|46,43
213|257|0,43
213|482|0,43
213|28|3,43
213|349|24,43
213|84|31,43
213|431|45,43
213|159|46,43
213|325|46,43
257|482|0,43
257|28|3,43
257|349|24,43
257|84|31,43
257|431|45,43
257|159|46,43
257|325|46,43
257|360|46,43
482|28|3,43
482|349|24,43
482|84|31,43
482|431|45,43
482|159|46,43
482|325|46,43
482|360|46,43
482|63|47,43
28|349|21,46
28|84|28,46
28|431|42,46
28|159|43,46
28|325|43,46
28|360|43,46
28|63|44,46
28|127|44,46
349|84|7,67
349|431|21,67
349|159|22,67
349|325|22,67
349|360|22,67
349|63|23,67
349|127|23,67
349|112|45,67
84|431|14,74
84|159|15,74
84|325|15,74
84|360|15,74
84|63|16,74
84|127|16,74
84|112|38,74
84|339|39,74
431|159|1,88
431|325|1,88
431|360|1,88
431|63|2,88
431|127|2,88
431|112|24,88
431|339|25,88
431|257|43,88
159|325|0,89
159|360|0,89
159|63|1,89
159|127|1,89
159|112|23,89
159|339|24,89
159|257|42,89
159|42|43,89
325|360|0,89
325|63|1,89
325|127|1,89
325|112|23,89
325|339|24,89
325|257|42,89
325|42|43,89
325|170|43,89
360|63|1,89
360|127|1,89
360|112|23,89
360|339|24,89
360|257|42,89
360|42|43,89
360|170|43,89
360|206|44,89
63|127|0,90
63|112|22,90
63|339|23,90
63|257|41,90
63|42|42,90
63|170|42,90
63|206|43,90
63|159|83,90
127|112|22,90
127|339|23,90
127|257|41,90
127|42|42,90
127|170|42,90
127|206|43,90
127|159|83,90
127|31|85,90
112|339|1,112
112|257|19,112
112|42|20,112
112|170|20,112
112|206|21,112
112|159|61,112
112|31|63,112
112|63|64,112
339|257|18,113
339|42|19,113
339|170|19,113
339|206|20,113
339|159|60,113
339|31|62,113
339|63|63,113
339|207|64,113
257|42|1,131
257|170|1,131
257|206|2,131
257|159|42,131
257|31|44,131
257|63|45,131
257|207|46,131
257|113|66,131
42|170|0,132
42|206|1,132
42|159|41,132
42|31|43,132
42|63|44,132
42|207|45,132
42|113|65,132
42|308|66,132
170|206|1,132
170|159|41,132
170|31|43,132
170|63|44,132
170|207|45,132
170|113|65,132
170|308|66,132
170|367|68,132
206|159|40,133
206|31|42,133
206|63|43,133
206|207|44,133
206|113|64,133
206|308|65,133
206|367|67,133
206|261|68,133
159|31|2,173
159|63|3,173
159|207|4,173
159|113|24,173
159|308|25,173
159|367|27,173
159|261|28,173
159|514|28,173
31|63|1,175
31|207|2,175
31|113|22,175
31|308|23,175
31|367|25,175
31|261|26,175
31|514|26,175
31|673|26,175
63|207|1,176
63|113|21,176
63|308|22,176
63|367|24,176
63|261|25,176
63|514|25,176
63|673|25,176
63|735|25,176
207|113|20,177
207|308|21,177
207|367|23,177
207|261|24,177
207|514|24,177
207|673|24,177
207|735|24,177
207|844|25,177
113|308|1,197
113|367|3,197
113|261|4,197
113|514|4,197
113|673|4,197
113|735|4,197
113|844|5,197
113|37|7,197
308|367|2,198
308|261|3,198
308|514|3,198
308|673|3,198
308|735|3,198
308|844|4,198
308|37|6,198
308|448|6,198
367|261|1,200
367|514|1,200
367|673|1,200
367|735|1,200
367|844|2,200
367|37|4,200
367|448|4,200
367|616|6,200
261|514|0,201
261|673|0,201
261|735|0,201
261|844|1,201
261|37|3,201
261|448|3,201
261|616|5,201
261|751|45,201
514|673|0,201
514|735|0,201
514|844|1,201
514|37|3,201
514|448|3,201
514|616|5,201
514|751|45,201
514|868|46,201
673|735|0,201
673|844|1,201
673|37|3,201
673|448|3,201
673|616|5,201
673|751|45,201
673|868|46,201
673|677|47,201
735|844|1,201
735|37|3,201
735|448|3,201
735|616|5,201
735|751|45,201
735|868|46,201
735|677|47,201
735|621|49,201
844|37|2,202
844|448|2,202
844|616|4,202
844|751|44,202
844|868|45,202
844|677|46,202
844|621|48,202
844|253|51,202
37|448|0,204
37|616|2,204
37|751|42,204
37|868|43,204
37|677|44,204
37|621|46,204
37|253|49,204
37|9|50,204
448|616|2,204
448|751|42,204
448|868|43,204
448|677|44,204
448|621|46,204
448|253|49,204
448|9|50,204
448|38|65,204
616|751|40,206
616|868|41,206
616|677|42,206
616|621|44,206
616|253|47,206
616|9|48,206
616|38|63,206
616|288|63,206
751|868|1,246
751|677|2,246
751|621|4,246
751|253|7,246
751|9|8,246
751|38|23,246
751|288|23,246
751|236|24,246
868|677|1,247
868|621|3,247
868|253|6,247
868|9|7,247
868|38|22,247
868|288|22,247
868|236|23,247
868|330|23,247
677|621|2,248
677|253|5,248
677|9|6,248
677|38|21,248
677|288|21,248
677|236|22,248
677|330|22,248
677|367|22,248
621|253|3,250
621|9|4,250
621|38|19,250
621|288|19,250
621|236|20,250
621|330|20,250
621|367|20,250
621|165|21,250
253|9|1,253
253|38|16,253
253|288|16,253
253|236|17,253
253|330|17,253
253|367|17,253
253|165|18,253
253|478|19,253
9|38|15,254
9|288|15,254
9|236|16,254
9|330|16,254
9|367|16,254
9|165|17,254
9|478|18,254
9|428|19,254
38|288|0,269
38|236|1,269
38|330|1,269
38|367|1,269
38|165|2,269
38|478|3,269
38|428|4,269
38|1020|4,269
288|236|1,269
288|330|1,269
288|367|1,269
288|165|2,269
288|478|3,269
288|428|4,269
288|1020|4,269
288|515|5,269
236|330|0,270
236|367|0,270
236|165|1,270
236|478|2,270
236|428|3,270
236|1020|3,270
236|515|4,270
236|661|4,270
330|367|0,270
330|165|1,270
330|478|2,270
330|428|3,270
330|1020|3,270
330|515|4,270
330|661|4,270
330|821|4,270
367|165|1,270
367|478|2,270
367|428|3,270
367|1020|3,270
367|515|4,270
367|661|4,270
367|821|4,270
367|94|5,270
165|478|1,271
165|428|2,271
165|1020|2,271
165|515|3,271
165|661|3,271
